gene	kog
Amillepora16770	Function Unknown
Amillepora16769	Function Unknown
Amillepora16774	Carbohydrate transport and metabolism
Amillepora16773	Carbohydrate transport and metabolism
Amillepora16771	Posttranslational modification, protein turnover, chaperones
Amillepora16778	Function Unknown
Amillepora16777	Cytoskeleton
Amillepora16779	Signal transduction mechanisms
Amillepora16793	Function Unknown
Amillepora16784	Inorganic ion transport and metabolism
Amillepora16795	Posttranslational modification, protein turnover, chaperones
Amillepora16796	Transcription
Amillepora16798	Transcription
Amillepora16797	Function Unknown
Amillepora16812	Posttranslational modification, protein turnover, chaperones
Amillepora16808	Replication, recombination and repair
Amillepora16815	Transcription
Amillepora16806	Energy production and conversion
Amillepora16813	Replication, recombination and repair
Amillepora16807	Intracellular trafficking, secretion, and vesicular transport
Amillepora16814	Intracellular trafficking, secretion, and vesicular transport
Amillepora16811	Posttranslational modification, protein turnover, chaperones
Amillepora16805	Energy production and conversion
Amillepora16809	Transcription
Amillepora16802	Cell wall/membrane/envelope biogenesis
Amillepora16803	Function Unknown
Amillepora16810	Function Unknown
Amillepora16817	Transcription
Amillepora16824	Intracellular trafficking, secretion, and vesicular transport
Amillepora16816	Transcription
Amillepora16823	Intracellular trafficking, secretion, and vesicular transport
Amillepora16822	Intracellular trafficking, secretion, and vesicular transport
Amillepora16821	Transcription
Amillepora16819	Transcription
Amillepora16820	Inorganic ion transport and metabolism
Amillepora16826	Signal transduction mechanisms
Amillepora16825	Nucleotide transport and metabolism
Amillepora16841	Replication, recombination and repair
Amillepora16840	Replication, recombination and repair
Amillepora16849	Function Unknown
Amillepora16853	Transcription
Amillepora16854	Amino acid transport and metabolism
Amillepora16872	Posttranslational modification, protein turnover, chaperones
Amillepora16877	Inorganic ion transport and metabolism
Amillepora16875	Inorganic ion transport and metabolism
Amillepora16876	Transcription
Amillepora16874	Signal transduction mechanisms
Amillepora16891	Secondary metabolites biosynthesis, transport and catabolism
Amillepora16888	Inorganic ion transport and metabolism
Amillepora16890	RNA processing and modification
Amillepora16886	Function Unknown
Amillepora16889	Replication, recombination and repair
Amillepora16878	Cytoskeleton
Amillepora16884	Function Unknown
Amillepora16898	Intracellular trafficking, secretion, and vesicular transport
Amillepora16892	Secondary metabolites biosynthesis, transport and catabolism
Amillepora16893	Secondary metabolites biosynthesis, transport and catabolism
Amillepora16897	Lipid transport and metabolism
Amillepora16897	Signal transduction mechanisms
Amillepora16894	Secondary metabolites biosynthesis, transport and catabolism
Amillepora16896	Secondary metabolites biosynthesis, transport and catabolism
Amillepora16895	Secondary metabolites biosynthesis, transport and catabolism
Amillepora16900	Signal transduction mechanisms
Amillepora16901	Signal transduction mechanisms
Amillepora16903	Signal transduction mechanisms
Amillepora16905	Signal transduction mechanisms
Amillepora16904	Signal transduction mechanisms
Amillepora16914	Amino acid transport and metabolism
Amillepora16913	Amino acid transport and metabolism
Amillepora16908	Signal transduction mechanisms
Amillepora16907	Signal transduction mechanisms
Amillepora16915	Function Unknown
Amillepora16917	Function Unknown
Amillepora16922	Signal transduction mechanisms
Amillepora16928	Signal transduction mechanisms
Amillepora16926	Translation, ribosomal structure and biogenesis
Amillepora16925	Function Unknown
Amillepora16923	Posttranslational modification, protein turnover, chaperones
Amillepora16931	Intracellular trafficking, secretion, and vesicular transport
Amillepora16932	Posttranslational modification, protein turnover, chaperones
Amillepora16930	Translation, ribosomal structure and biogenesis
Amillepora16934	Signal transduction mechanisms
Amillepora16937	RNA processing and modification
Amillepora16946	Coenzyme transport and metabolism
Amillepora16947	Function Unknown
Amillepora16939	RNA processing and modification
Amillepora16941	Chromatin structure and dynamics
Amillepora16936	RNA processing and modification
Amillepora16944	Cell cycle control, cell division, chromosome partitioning
Amillepora16943	Intracellular trafficking, secretion, and vesicular transport
Amillepora16940	Posttranslational modification, protein turnover, chaperones
Amillepora16948	Function Unknown
Amillepora16958	Function Unknown
Amillepora16949	Function Unknown
Amillepora16956	Function Unknown
Amillepora16952	RNA processing and modification
Amillepora16951	Amino acid transport and metabolism
Amillepora16953	Function Unknown
Amillepora16957	Function Unknown
Amillepora16968	Transcription
Amillepora16964	Transcription
Amillepora16961	Function Unknown
Amillepora16959	Signal transduction mechanisms
Amillepora16965	Function Unknown
Amillepora16962	Signal transduction mechanisms
Amillepora16971	Signal transduction mechanisms
Amillepora16967	Function Unknown
Amillepora16966	Function Unknown
Amillepora16977	Transcription
Amillepora16972	Carbohydrate transport and metabolism
Amillepora16975	RNA processing and modification
Amillepora16979	RNA processing and modification
Amillepora16978	Function Unknown
Amillepora16976	Function Unknown
Amillepora16984	Signal transduction mechanisms
Amillepora16988	RNA processing and modification
Amillepora16982	Transcription
Amillepora16983	Chromatin structure and dynamics
Amillepora16991	Function Unknown
Amillepora16986	Carbohydrate transport and metabolism
Amillepora16981	Intracellular trafficking, secretion, and vesicular transport
Amillepora16989	Function Unknown
Amillepora16990	Function Unknown
Amillepora16993	Function Unknown
Amillepora16999	Function Unknown
Amillepora16997	Posttranslational modification, protein turnover, chaperones
Amillepora16996	Signal transduction mechanisms
Amillepora16998	Transcription
Amillepora16992	Signal transduction mechanisms
Amillepora16992	Intracellular trafficking, secretion, and vesicular transport
Amillepora16994	Intracellular trafficking, secretion, and vesicular transport
Amillepora16995	Signal transduction mechanisms
Amillepora17006	Cytoskeleton
Amillepora17005	Replication, recombination and repair
Amillepora17002	Secondary metabolites biosynthesis, transport and catabolism
Amillepora17007	Amino acid transport and metabolism
Amillepora17001	Signal transduction mechanisms
Amillepora17004	Posttranslational modification, protein turnover, chaperones
Amillepora17008	Function Unknown
Amillepora17016	Amino acid transport and metabolism
Amillepora17021	Posttranslational modification, protein turnover, chaperones
Amillepora17018	Energy production and conversion
Amillepora17017	Carbohydrate transport and metabolism
Amillepora17028	Transcription
Amillepora17019	Function Unknown
Amillepora17025	Intracellular trafficking, secretion, and vesicular transport
Amillepora17022	Lipid transport and metabolism
Amillepora17023	Carbohydrate transport and metabolism
Amillepora17026	Function Unknown
Amillepora17030	Signal transduction mechanisms
Amillepora17029	Signal transduction mechanisms
Amillepora17036	Carbohydrate transport and metabolism
Amillepora17037	Signal transduction mechanisms
Amillepora17037	Cytoskeleton
Amillepora17034	Coenzyme transport and metabolism
Amillepora17031	Intracellular trafficking, secretion, and vesicular transport
Amillepora17044	Posttranslational modification, protein turnover, chaperones
Amillepora17040	Energy production and conversion
Amillepora17038	Coenzyme transport and metabolism
Amillepora17042	Transcription
Amillepora17039	RNA processing and modification
Amillepora17043	Posttranslational modification, protein turnover, chaperones
Amillepora17054	Inorganic ion transport and metabolism
Amillepora17057	Inorganic ion transport and metabolism
Amillepora17055	Inorganic ion transport and metabolism
Amillepora17050	Intracellular trafficking, secretion, and vesicular transport
Amillepora17051	RNA processing and modification
Amillepora17053	Signal transduction mechanisms
Amillepora17060	Signal transduction mechanisms
Amillepora17059	Replication, recombination and repair
Amillepora17064	Signal transduction mechanisms
Amillepora17066	Signal transduction mechanisms
Amillepora17061	Signal transduction mechanisms
Amillepora17067	Signal transduction mechanisms
Amillepora17062	Signal transduction mechanisms
Amillepora17068	Signal transduction mechanisms
Amillepora17072	Amino acid transport and metabolism
Amillepora17070	Translation, ribosomal structure and biogenesis
Amillepora17080	Translation, ribosomal structure and biogenesis
Amillepora17077	Function Unknown
Amillepora17079	RNA processing and modification
Amillepora17076	Nucleotide transport and metabolism
Amillepora17084	Transcription
Amillepora17088	Function Unknown
Amillepora17082	Replication, recombination and repair
Amillepora17087	Function Unknown
Amillepora17086	Replication, recombination and repair
