Amillepora16774	G
Amillepora16773	G
Amillepora16771	O
Amillepora16777	Z
Amillepora16779	T
Amillepora16784	P
Amillepora16795	O
Amillepora16796	K
Amillepora16798	K
Amillepora16812	O
Amillepora16808	L
Amillepora16815	K
Amillepora16806	C
Amillepora16813	L
Amillepora16807	U
Amillepora16814	U
Amillepora16811	O
Amillepora16805	C
Amillepora16809	K
Amillepora16802	M
Amillepora16817	K
Amillepora16824	U
Amillepora16816	K
Amillepora16823	U
Amillepora16822	U
Amillepora16821	K
Amillepora16819	K
Amillepora16820	P
Amillepora16826	T
Amillepora16825	F
Amillepora16841	L
Amillepora16840	L
Amillepora16853	K
Amillepora16854	E
Amillepora16872	O
Amillepora16877	P
Amillepora16875	P
Amillepora16876	K
Amillepora16874	T
Amillepora16891	Q
Amillepora16888	P
Amillepora16890	A
Amillepora16889	L
Amillepora16878	Z
Amillepora16898	U
Amillepora16892	Q
Amillepora16893	Q
Amillepora16894	Q
Amillepora16896	Q
Amillepora16895	Q
Amillepora16900	T
Amillepora16901	T
Amillepora16903	T
Amillepora16905	T
Amillepora16904	T
Amillepora16914	E
Amillepora16913	E
Amillepora16908	T
Amillepora16907	T
Amillepora16922	T
Amillepora16928	T
Amillepora16926	J
Amillepora16923	O
Amillepora16931	U
Amillepora16932	O
Amillepora16930	J
Amillepora16934	T
Amillepora16937	A
Amillepora16946	H
Amillepora16939	A
Amillepora16941	B
Amillepora16936	A
Amillepora16944	D
Amillepora16943	U
Amillepora16940	O
Amillepora16952	A
Amillepora16951	E
Amillepora16968	K
Amillepora16964	K
Amillepora16959	T
Amillepora16962	T
Amillepora16971	T
Amillepora16977	K
Amillepora16972	G
Amillepora16975	A
Amillepora16979	A
Amillepora16984	T
Amillepora16988	A
Amillepora16982	K
Amillepora16983	B
Amillepora16986	G
Amillepora16981	U
Amillepora16997	O
Amillepora16996	T
Amillepora16998	K
Amillepora16994	U
Amillepora16995	T
Amillepora17006	Z
Amillepora17005	L
Amillepora17002	Q
Amillepora17007	E
Amillepora17001	T
Amillepora17004	O
Amillepora17016	E
Amillepora17021	O
Amillepora17018	C
Amillepora17017	G
Amillepora17028	K
Amillepora17025	U
Amillepora17022	I
Amillepora17023	G
Amillepora17030	T
Amillepora17029	T
Amillepora17036	G
Amillepora17034	H
Amillepora17031	U
Amillepora17044	O
Amillepora17040	C
Amillepora17038	H
Amillepora17042	K
Amillepora17039	A
Amillepora17043	O
Amillepora17054	P
Amillepora17057	P
Amillepora17055	P
Amillepora17050	U
Amillepora17051	A
Amillepora17053	T
Amillepora17060	T
Amillepora17059	L
Amillepora17064	T
Amillepora17066	T
Amillepora17061	T
Amillepora17067	T
Amillepora17062	T
Amillepora17068	T
Amillepora17072	E
Amillepora17070	J
Amillepora17080	J
Amillepora17079	A
Amillepora17076	F
Amillepora17084	K
Amillepora17082	L
Amillepora17086	L
Amillepora17091	E
Amillepora17083	L
Amillepora17089	D
Amillepora17090	B
Amillepora17100	E
Amillepora17101	E
Amillepora17095	U
Amillepora17097	G
Amillepora17106	G
Amillepora17110	K
Amillepora17103	E
Amillepora17105	G
Amillepora17102	D
Amillepora17114	T
Amillepora17120	L
Amillepora17140	G
Amillepora17146	J
Amillepora17141	O
Amillepora17147	A
Amillepora17153	T
Amillepora17150	T
Amillepora17197	L
Amillepora17200	L
Amillepora17208	F
Amillepora17212	T
Amillepora17224	G
Amillepora17234	L
Amillepora17235	T
Amillepora17250	L
Amillepora17262	L
Amillepora17270	G
Amillepora17278	O
Amillepora17273	O
Amillepora17288	G
Amillepora17293	L
Amillepora17294	K
Amillepora17319	E
Amillepora17313	D
Amillepora17322	A
Amillepora17325	Q
Amillepora17341	G
Amillepora17342	G
Amillepora17363	T
Amillepora17378	L
Amillepora17395	L
Amillepora17400	T
Amillepora17402	G
Amillepora17396	L
Amillepora17399	L
Amillepora17398	T
Amillepora17463	G
Amillepora17483	G
Amillepora17482	G
Amillepora17478	L
Amillepora17505	T
Amillepora17507	G
Amillepora17500	O
Amillepora17606	L
Amillepora17603	L
Amillepora17695	L
Amillepora17702	T
Amillepora17706	T
Amillepora17723	O
Amillepora17726	G
Amillepora17727	E
Amillepora17729	T
Amillepora17757	Z
Amillepora17766	T
Amillepora17764	L
Amillepora17767	L
Amillepora17770	O
Amillepora17783	A
Amillepora17795	L
Amillepora17793	L
Amillepora17787	K
Amillepora17799	D
Amillepora17801	L
Amillepora17814	O
Amillepora17816	P
Amillepora17815	T
Amillepora17812	G
Amillepora17825	G
Amillepora17828	D
Amillepora17833	D
Amillepora17835	D
Amillepora17832	D
Amillepora17829	G
Amillepora17840	D
Amillepora17847	L
Amillepora17843	D
Amillepora17852	G
Amillepora17855	G
Amillepora17854	G
Amillepora17860	O
Amillepora17864	O
Amillepora17870	A
Amillepora17865	L
Amillepora17868	P
Amillepora17882	A
Amillepora17887	I
Amillepora17890	H
Amillepora17893	O
Amillepora17919	K
Amillepora17920	Q
Amillepora17921	U
Amillepora17928	K
Amillepora17925	K
Amillepora17923	P
Amillepora17927	K
Amillepora17932	T
Amillepora17930	T
Amillepora17933	T
Amillepora17929	T
Amillepora17936	T
Amillepora17937	T
Amillepora17938	T
Amillepora17943	T
Amillepora17944	W
Amillepora17945	K
Amillepora17950	V
Amillepora17951	T
Amillepora17947	L
Amillepora17953	T
Amillepora17954	Z
Amillepora17960	G
Amillepora17966	L
Amillepora17963	T
Amillepora17969	A
Amillepora17964	L
Amillepora17967	T
Amillepora17975	O
Amillepora17990	F
Amillepora17985	T
Amillepora17994	I
Amillepora17998	O
Amillepora17995	I
Amillepora18007	T
Amillepora18008	T
Amillepora18011	Z
Amillepora18010	T
Amillepora18012	U
Amillepora18039	L
Amillepora18034	T
Amillepora18037	T
Amillepora18035	T
Amillepora18046	T
Amillepora18043	T
Amillepora18055	T
Amillepora18051	T
Amillepora18064	U
Amillepora18065	L
Amillepora18060	T
Amillepora18068	T
Amillepora18076	K
Amillepora18075	A
Amillepora18081	E
Amillepora18072	K
Amillepora18070	C
Amillepora18085	T
Amillepora18097	G
Amillepora18104	F
Amillepora18108	F
Amillepora18111	F
Amillepora18106	F
Amillepora18110	F
Amillepora18105	F
Amillepora18115	L
Amillepora18120	L
Amillepora18124	T
Amillepora18125	K
Amillepora18133	T
Amillepora18135	I
Amillepora18127	G
Amillepora18131	J
Amillepora18134	K
Amillepora18128	B
Amillepora18137	U
Amillepora18142	U
Amillepora18154	T
Amillepora18151	Z
Amillepora18152	T
Amillepora18148	O
Amillepora18145	U
Amillepora18162	I
Amillepora18159	E
Amillepora18164	M
Amillepora18169	T
Amillepora18167	C
Amillepora18168	T
Amillepora18172	T
Amillepora18183	E
Amillepora18175	E
Amillepora18189	K
Amillepora18186	G
Amillepora18188	O
Amillepora18185	T
Amillepora18195	E
Amillepora18194	A
Amillepora18191	A
Amillepora18207	W
Amillepora18247	T
Amillepora18245	T
Amillepora18258	P
Amillepora18254	P
Amillepora18259	Z
Amillepora18249	O
Amillepora18248	Z
Amillepora18256	P
Amillepora18260	T
Amillepora18278	L
Amillepora18293	T
Amillepora18324	E
Amillepora18319	O
Amillepora18320	O
Amillepora18329	O
Amillepora18327	E
Amillepora18328	O
Amillepora18331	I
Amillepora18334	O
Amillepora18335	E
Amillepora18348	U
Amillepora18353	A
Amillepora18357	G
Amillepora18356	G
Amillepora18351	U
Amillepora18350	U
Amillepora18360	G
Amillepora18365	G
Amillepora18361	G
Amillepora18363	G
Amillepora18362	G
Amillepora18378	G
Amillepora18372	G
Amillepora18371	G
Amillepora18368	G
Amillepora18375	G
Amillepora18367	L
Amillepora18370	G
Amillepora18366	L
Amillepora18376	G
Amillepora18373	G
Amillepora18383	G
Amillepora18380	G
Amillepora18381	G
Amillepora18379	G
Amillepora18385	G
Amillepora18389	G
Amillepora18388	G
Amillepora18387	G
Amillepora18382	G
Amillepora18384	G
Amillepora18398	O
Amillepora18392	G
Amillepora18395	T
Amillepora18393	G
