Amillepora15626	Replication, recombination and repair
Amillepora15624	Replication, recombination and repair
Amillepora15625	Replication, recombination and repair
Amillepora15611	Replication, recombination and repair
Amillepora15652	Transcription
Amillepora15677	Carbohydrate transport and metabolism
Amillepora15680	Posttranslational modification, protein turnover, chaperones
Amillepora15679	Posttranslational modification, protein turnover, chaperones
Amillepora14932	Replication, recombination and repair
Amillepora14926	Amino acid transport and metabolism
Amillepora15703	Defense mechanisms
Amillepora15719	Replication, recombination and repair
Amillepora15720	Replication, recombination and repair
Amillepora15722	Carbohydrate transport and metabolism
Amillepora15721	Carbohydrate transport and metabolism
Amillepora15729	Replication, recombination and repair
Amillepora15757	Carbohydrate transport and metabolism
Amillepora15758	Carbohydrate transport and metabolism
Amillepora15764	Energy production and conversion
Amillepora15762	Amino acid transport and metabolism
Amillepora15763	Intracellular trafficking, secretion, and vesicular transport
Amillepora15761	Amino acid transport and metabolism
Amillepora15767	Signal transduction mechanisms
Amillepora15775	Secondary metabolites biosynthesis, transport and catabolism
Amillepora15776	Posttranslational modification, protein turnover, chaperones
Amillepora15774	Secondary metabolites biosynthesis, transport and catabolism
Amillepora14949	Carbohydrate transport and metabolism
Amillepora14950	Replication, recombination and repair
Amillepora14945	Translation, ribosomal structure and biogenesis
Amillepora15781	Posttranslational modification, protein turnover, chaperones
Amillepora15783	Posttranslational modification, protein turnover, chaperones
Amillepora15792	Replication, recombination and repair
Amillepora15786	Posttranslational modification, protein turnover, chaperones
Amillepora15791	Energy production and conversion
Amillepora15790	Posttranslational modification, protein turnover, chaperones
Amillepora15788	Posttranslational modification, protein turnover, chaperones
Amillepora15799	Cytoskeleton
Amillepora15796	Intracellular trafficking, secretion, and vesicular transport
Amillepora15798	Translation, ribosomal structure and biogenesis
Amillepora15801	Amino acid transport and metabolism
Amillepora15808	Carbohydrate transport and metabolism
Amillepora15810	Carbohydrate transport and metabolism
Amillepora15803	RNA processing and modification
Amillepora15806	Posttranslational modification, protein turnover, chaperones
Amillepora15812	Posttranslational modification, protein turnover, chaperones
Amillepora15829	Cell cycle control, cell division, chromosome partitioning
Amillepora15831	Signal transduction mechanisms
Amillepora15827	Carbohydrate transport and metabolism
Amillepora15828	Transcription
Amillepora15841	Signal transduction mechanisms
Amillepora15856	Amino acid transport and metabolism
Amillepora15858	Posttranslational modification, protein turnover, chaperones
Amillepora15860	Amino acid transport and metabolism
Amillepora14961	Replication, recombination and repair
Amillepora14953	Translation, ribosomal structure and biogenesis
Amillepora15868	Translation, ribosomal structure and biogenesis
Amillepora15999	Replication, recombination and repair
Amillepora16007	Replication, recombination and repair
Amillepora16008	Replication, recombination and repair
Amillepora16002	Replication, recombination and repair
Amillepora16015	Signal transduction mechanisms
Amillepora16017	Transcription
Amillepora16020	Replication, recombination and repair
Amillepora16025	Nucleotide transport and metabolism
Amillepora16023	Amino acid transport and metabolism
Amillepora16027	Amino acid transport and metabolism
Amillepora16024	Amino acid transport and metabolism
Amillepora16031	Amino acid transport and metabolism
Amillepora16030	Amino acid transport and metabolism
Amillepora16029	Amino acid transport and metabolism
Amillepora16041	Transcription
Amillepora16040	Posttranslational modification, protein turnover, chaperones
Amillepora14959	Amino acid transport and metabolism
Amillepora14965	Posttranslational modification, protein turnover, chaperones
Amillepora14967	RNA processing and modification
Amillepora16039	Cytoskeleton
Amillepora16045	Intracellular trafficking, secretion, and vesicular transport
Amillepora16047	Intracellular trafficking, secretion, and vesicular transport
Amillepora16049	Lipid transport and metabolism
Amillepora16048	Replication, recombination and repair
Amillepora16056	Replication, recombination and repair
Amillepora16054	Replication, recombination and repair
Amillepora16066	Posttranslational modification, protein turnover, chaperones
Amillepora16062	Lipid transport and metabolism
Amillepora16068	Lipid transport and metabolism
Amillepora16067	Lipid transport and metabolism
Amillepora16078	Intracellular trafficking, secretion, and vesicular transport
Amillepora16071	Posttranslational modification, protein turnover, chaperones
Amillepora16074	Posttranslational modification, protein turnover, chaperones
Amillepora16077	Posttranslational modification, protein turnover, chaperones
Amillepora16083	Transcription
Amillepora16089	Cytoskeleton
Amillepora16086	Replication, recombination and repair
Amillepora16096	Energy production and conversion
Amillepora16087	Signal transduction mechanisms
Amillepora16107	RNA processing and modification
Amillepora16099	Signal transduction mechanisms
Amillepora16104	Cell wall/membrane/envelope biogenesis
Amillepora16105	Cell wall/membrane/envelope biogenesis
Amillepora16112	Transcription
Amillepora16115	Signal transduction mechanisms
Amillepora14971	Replication, recombination and repair
Amillepora14974	RNA processing and modification
Amillepora14975	Intracellular trafficking, secretion, and vesicular transport
Amillepora16116	Transcription
Amillepora16122	Signal transduction mechanisms
Amillepora16133	Intracellular trafficking, secretion, and vesicular transport
Amillepora16135	Inorganic ion transport and metabolism
Amillepora16136	Energy production and conversion
