delta.rank	pval	level	nseqs	term	name	p.adj
0	6.89160955802161e-8	3	435	GO:0005887;GO:0031226	intrinsic component of plasma membrane	9.61379533344014e-6
0	0.00968235393026903	2	47	GO:0005903;GO:0031526	brush border	0.0964777409480378
0	0.00126444268206795	2	43	GO:0005905	clathrin-coated pit	0.0293982923580798
0	0.00294530493531421	2	16	GO:0005918	septate junction	0.0456522264973703
0	0.00465681174124069	2	18	GO:0005925	focal adhesion	0.0618690702764835
0	0.00534307826095837	2	84	GO:0009897	external side of plasma membrane	0.0636658035245838
0	0.00294530493531421	3	16	GO:0009925	basal plasma membrane	0.0456522264973703
0	3.29177860776599e-4	2	188	GO:0009986	cell surface	0.0115619913234562
0	0.00593301394852752	2	10	GO:0016028	rhabdomere	0.0636658035245838
0	4.65546533258437e-5	3	79	GO:0016323	basolateral plasma membrane	0.00295847869867307
0	4.88727844557711e-4	1	130	GO:0030054	cell junction	0.015150563181289
0	0.00215696784070044	5	103	GO:0030139	endocytic vesicle	0.0429852876825302
0	7.47882756299855e-4	2	201	GO:0030424	axon	0.0189690262734236
0	5.12271932051622e-5	2	163	GO:0030425	dendrite	0.00295847869867307
0	0.00246731281511253	2	170	GO:0031012	extracellular matrix	0.0446303677678202
0	5.83870860723225e-4	3	38	GO:0031225;GO:0046658	anchored component of membrane	0.016289997014178
0	0.00808719278595343	3	74	GO:0031253	cell projection membrane	0.0835676587881855
0	0.0102635488118015	2	12	GO:0032589	neuron projection membrane	0.0987424178790558
0	0.00205498460545515	3	331	GO:0043005	neuron projection	0.0429852876825302
0	0.00577389871328964	3	30	GO:0043186;GO:0045495;GO:0060293	pole plasm	0.0636658035245838
0	0.00323275674758307	2	78	GO:0044420	extracellular matrix component	0.0474704806618777
0	3.31526632930644e-4	1	366	GO:0044421	extracellular region part	0.0115619913234562
0	0.00593301394852752	2	10	GO:0045111	intermediate filament cytoskeleton	0.0636658035245838
0	0.00380802173357509	2	39	GO:0045335	phagocytic vesicle	0.0531219031833725
0	1.95613148505746e-4	3	230	GO:0048471	perinuclear region of cytoplasm	0.00909601140551719
0	7.02537955320916e-14	2	11	GO:0070852	cell body fiber	1.96008089534536e-11
0	0.00529765840478841	2	132	GO:0098552	side of membrane	0.0636658035245838
0	0.00255944761392517	2	317	GO:0098590	plasma membrane region	0.0446303677678202
0	5.30193315174385e-5	3	330	GO:0120038;GO:0044463	cell projection part	0.00295847869867307
