stat	mean	sd	stdErr
dedupMapped	3939566.723809524	5247723.477005442	154411.6096254157
geneCounted	2739475.734199134	3958354.1455497015	116472.56905970773
predupMapped	6960039.5082251085	8090358.081640032	238054.6953942964
rawCounts	9944793.313419914	10543044.791109478	310223.76153803203
trimmedCounts	9850184.61818182	10469907.31975562	308071.7284278336
