Run	Bioproject	LibraryLayout	rawCounts	trimmedCounts	predupMapped	dedupMapped	geneCounted
s101_S138	This study	SINGLE	1682870	1669712	1270709	706140	437624
s102_S139	This study	SINGLE	2030614	2013296	1569024	830640	509766
s104_S140	This study	SINGLE	1618932	1606003	1211593	562909	333327
s105_S141	This study	SINGLE	1632229	1618999	1238767	587841	346921
s106_S142	This study	SINGLE	2608133	2588324	1941603	910597	557874
s107_S143	This study	SINGLE	1518838	1506957	1138128	595422	363891
s108_S144	This study	SINGLE	1505392	1493753	1066931	603353	369959
s11_S49	This study	SINGLE	1565480	1552901	1249296	546714	331714
s110_S145	This study	SINGLE	1308852	1298854	999348	570033	343584
s111_S146	This study	SINGLE	1394730	1384062	1033100	562763	337470
s112_S147	This study	SINGLE	1483434	1468685	1203314	559378	333576
s113_S148	This study	SINGLE	1488100	1474359	1174294	582571	350267
s114_S149	This study	SINGLE	1393061	1380786	1049333	485234	280997
s115_S150	This study	SINGLE	1584864	1570562	1284715	590412	348565
s116_S151	This study	SINGLE	1761860	1747198	1422612	672768	404737
s117_S152	This study	SINGLE	1763236	1748516	1448487	693851	418126
s118_S153	This study	SINGLE	1583206	1569891	1282651	552743	327387
s119_S154	This study	SINGLE	1754158	1739230	1368066	597500	355243
s12_S50	This study	SINGLE	1626594	1613964	1204258	523072	314050
s120_S155	This study	SINGLE	1682731	1667380	1342546	568026	330219
s121_S156	This study	SINGLE	1786906	1773156	1426455	686677	417453
s122_S157	This study	SINGLE	3047294	3024379	2292018	979121	595254
s123_S158	This study	SINGLE	3020379	2997792	2382401	1099759	675010
s125_S159	This study	SINGLE	1218904	1208532	915037	527933	326284
s126_S160	This study	SINGLE	1383837	1373641	1007428	558945	343062
s127_S161	This study	SINGLE	1341863	1331269	1023153	574263	346915
s128_S162	This study	SINGLE	1482670	1471311	1123434	630127	378710
s129_S163	This study	SINGLE	1419878	1407856	1112315	620109	374720
s13_S51	This study	SINGLE	2055933	2038271	1562157	778246	464883
s130_S164	This study	SINGLE	1679538	1666275	1288993	678724	408564
s131_S165	This study	SINGLE	1380702	1370272	1109641	623857	378220
s132_S166	This study	SINGLE	1490641	1478900	1164698	661569	404898
s133_S167	This study	SINGLE	1253200	1242902	877475	465978	284938
s134_S168	This study	SINGLE	1147966	1139261	769485	428462	262255
s135_S169	This study	SINGLE	1179931	1171115	816150	448671	273985
s136_S170	This study	SINGLE	1277301	1269018	709491	362273	222850
s137_S171	This study	SINGLE	1432802	1420839	1118601	582586	359957
s138_S172	This study	SINGLE	1572482	1559615	1257274	653257	404347
s139_S173	This study	SINGLE	1669139	1655228	1218793	620201	369095
s14_S52	This study	SINGLE	1811572	1798596	1400704	695708	418834
s140_S174	This study	SINGLE	1491696	1478848	1042361	548071	327892
s141_S175	This study	SINGLE	1428365	1416729	1106247	640028	392322
s142_S176	This study	SINGLE	1565779	1553375	1206672	669725	419652
s143_S177	This study	SINGLE	1666772	1654300	1334367	753912	467884
s144_S178	This study	SINGLE	1738886	1724875	1306558	705901	438305
s145_S179	This study	SINGLE	2007401	1990786	1465516	779527	486078
s146_S180	This study	SINGLE	1852586	1838178	1363587	695061	433022
s147_S181	This study	SINGLE	1845215	1831315	1415979	775943	483489
s148_S182	This study	SINGLE	1698817	1686075	1334606	739897	464093
s149_S183	This study	SINGLE	1169629	1161227	901573	537931	337487
s15_S53	This study	SINGLE	1829454	1814319	1339509	651820	388318
s150_S184	This study	SINGLE	1403782	1394342	996643	517844	317348
s151_S185	This study	SINGLE	1385674	1375568	1041928	558018	351286
s152_S186	This study	SINGLE	1909921	1897099	1475573	751051	472127
s153_S187	This study	SINGLE	1899605	1885754	1482360	809109	509146
s154_S188	This study	SINGLE	1995404	1980029	1511258	791141	482518
s155_S189	This study	SINGLE	1696665	1685051	1288946	719164	444094
s156_S190	This study	SINGLE	1875259	1861753	1437696	808972	502816
s157_S191	This study	SINGLE	1365108	1355442	1070423	583704	365508
s158_S192	This study	SINGLE	1191606	1182863	924561	504456	312519
s159_S193	This study	SINGLE	1329549	1320351	1076150	591281	368131
s16_S54	This study	SINGLE	2160274	2143331	1749785	858845	521707
s160_S194	This study	SINGLE	2368154	2351795	1727185	851800	514566
s161_S195	This study	SINGLE	1904157	1890110	1451740	743170	451292
s162_S196	This study	SINGLE	1808128	1794348	1290566	686484	417701
s163_S197	This study	SINGLE	1999283	1983471	1437567	764317	463548
s164_S198	This study	SINGLE	1623823	1611424	1136248	644062	395311
s165_S199	This study	SINGLE	1764076	1751426	1304661	745595	455846
s166_S200	This study	SINGLE	1747627	1734794	1406891	716560	448952
s167_S201	This study	SINGLE	1677014	1665392	1352713	706134	440459
s168_S202	This study	SINGLE	1910052	1896702	1423933	659041	403162
