gene,logp
Amillepora16769,0.3551259978417365
Amillepora16774,0.03378503547698159
Amillepora16782,0.3502661538036068
Amillepora16781,0.12071415007331306
Amillepora16780,0.23537890435607492
Amillepora16793,0.1418147101657103
Amillepora16795,0.8967822064398454
Amillepora16794,0.12688877540435944
Amillepora16791,2.0686884193751256
Amillepora16796,0.008729272454386379
Amillepora16801,0.23496718565598065
Amillepora16804,0.09326649531248148
Amillepora16814,0.8330511940832153
Amillepora16809,0.6129001390312345
Amillepora16802,0.645522209169044
Amillepora16803,0.5208448938678029
Amillepora16824,0.31378036512185453
Amillepora16823,0.20805523290852895
Amillepora16822,0.030664527934587356
Amillepora16821,0.31084214144787076
Amillepora16820,0.239438732209407
Amillepora16830,0.15727720883123641
Amillepora16829,0.665540201989977
Amillepora16840,0.5612446046966127
Amillepora16844,0.17731602430757154
Amillepora16845,0.6623250542793327
Amillepora16836,0.14332832403340937
Amillepora16834,0.4543205693723369
Amillepora16838,0.27210285965794667
Amillepora16839,0.7339038939131575
Amillepora16837,0.11197943290961575
Amillepora16849,0.36691907979165106
Amillepora16848,2.5786394521513434
Amillepora16851,0.7110761318871233
Amillepora16855,0.18512482553176207
Amillepora16858,1.1916923234764338
Amillepora16853,0.7426607581539855
Amillepora16860,1.2429166344547677
Amillepora16861,0.8088275259869316
Amillepora16863,0.10520128341895961
Amillepora16867,0.23310197355989484
Amillepora16864,0.32405339231070124
Amillepora16868,0.6355902470395508
Amillepora16866,0.28442556494587395
Amillepora16877,0.05137922003348663
Amillepora16876,0.0809917869450301
Amillepora16874,0.6053200663564821
Amillepora16891,0.10486675028866735
Amillepora16888,0.37901508632311354
Amillepora16889,1.4661627591066186
Amillepora16884,0.18794704021480207
Amillepora16885,0.3896541450380152
Amillepora16898,2.4512977344166758
Amillepora16893,0.14930750206950844
Amillepora16899,3.8199558344146394
Amillepora16897,0.9526525999764361
Amillepora16896,0.3988989484366849
Amillepora16895,0.1523816197037887
Amillepora16906,0.1168483265972111
Amillepora16913,0.45916823127144085
Amillepora16917,0.45011981382729516
Amillepora16918,0.18209155139505478
Amillepora16922,0.3595140695083037
Amillepora16925,0.40332620555954724
Amillepora16923,2.228707625243835
Amillepora16932,0.13646240384050437
Amillepora16933,0.06665802065882609
Amillepora16947,0.4564914872180113
Amillepora16944,0.08991799766352186
Amillepora16943,0.023954306182016598
Amillepora16945,0.03586339317197488
Amillepora16948,0.39348051447311433
Amillepora16958,0.9018231233692161
Amillepora16949,0.45528032458422046
Amillepora16956,0.07884961281636577
Amillepora16950,0.026943475738583116
Amillepora16951,0.2483660265209314
Amillepora16953,0.914059752919979
Amillepora16957,2.8783506261930203
Amillepora16968,0.4207710467809917
Amillepora16964,0.19888124886541722
Amillepora16961,0.16396120069269174
Amillepora16959,0.1911282088357713
Amillepora16962,0.15013978605375417
Amillepora16967,0.024521533020722647
Amillepora16972,0.12485057633673242
Amillepora16980,0.2259789511978891
Amillepora16985,2.938316179427026
Amillepora16982,0.07305606568981317
Amillepora16991,0.37838206893728915
Amillepora16987,0.12438662089769308
Amillepora16986,0.08434667863749087
Amillepora16981,0.5274487022960779
Amillepora16990,0.13130233897840407
Amillepora16993,2.415680935560934
Amillepora16997,0.07260004257155268
Amillepora16994,0.014976440017965262
Amillepora16995,0.15625789303490914
Amillepora17002,0.054337301876796563
Amillepora17007,0.4921049788078182
Amillepora17009,0.22376681229134537
Amillepora17010,0.906148670907098
Amillepora17001,0.9510324493329043
Amillepora17016,0.33257715597564763
Amillepora17015,0.19817174692732187
Amillepora17013,0.8534908803312846
Amillepora17014,0.08363721284610152
Amillepora17012,1.0691497244443222
Amillepora17019,0.10900344518779648
Amillepora17023,0.14098561171598872
Amillepora17029,0.0222830408472137
Amillepora17036,0.12313681145682176
Amillepora17035,0.017249703798024273
Amillepora17034,0.37526335533738714
Amillepora17041,0.18557022983808016
Amillepora17042,0.1260696082102605
Amillepora17039,0.5923491483392843
Amillepora17043,0.6333103814266982
Amillepora17049,0.6769001484211449
Amillepora17048,0.1705433302800294
Amillepora17054,0.11570705517515337
Amillepora17055,0.26179241128497627
Amillepora17050,0.042496325512490704
Amillepora17051,0.08408650991807752
Amillepora17053,0.6347279766308266
Amillepora17064,2.9320543891307658
Amillepora17066,0.6861868055453846
Amillepora17061,2.7651536067848377
Amillepora17065,0.4675593194113089
Amillepora17067,0.21577001184321
Amillepora17069,0.5899000002453043
Amillepora17072,2.360836847141545
Amillepora17070,0.1669684810364412
Amillepora17080,0.5451373305360063
Amillepora17079,0.21145660365689034
Amillepora17076,1.3086473378700003
Amillepora17075,0.0719696661305596
Amillepora17073,0.5433719674700084
Amillepora17087,0.0745090667332189
Amillepora17086,0.11179073241742933
Amillepora17091,0.04513527843672338
Amillepora17083,0.4865488750014382
Amillepora17081,1.520083614081413
Amillepora17089,0.018227654408663602
Amillepora17090,0.5705230069212794
Amillepora17096,0.7747979123061455
Amillepora17097,0.3507967469249803
Amillepora17106,0.6961827042836629
Amillepora17110,1.2431260216481332
Amillepora17102,0.2356778859241277
Amillepora17107,0.12022894776582238
Amillepora17109,0.8450070781571941
Amillepora17114,0.04082755712091141
Amillepora17113,0.3620964646053552
Amillepora17112,0.5680762981784315
Amillepora17119,0.01565720283373364
Amillepora17129,0.1007027231593969
Amillepora17131,0.31526858994719503
Amillepora17127,0.05268916156091682
Amillepora17124,0.14749324428848237
Amillepora17122,0.33886792137316896
Amillepora17128,0.030170312755415492
Amillepora17146,0.31677415844151685
Amillepora17144,0.1701768240927005
Amillepora17143,1.640467789185432
Amillepora17141,4.574383100621755
Amillepora17142,1.5701583413391835
Amillepora17153,0.49231436799873696
Amillepora17154,0.06412752119065605
Amillepora17150,0.3704434219525917
Amillepora17161,0.25887430914693904
Amillepora17158,0.6046797214849957
Amillepora17187,0.3380153611434313
Amillepora17162,0.38286875677973986
Amillepora17189,0.03200208728473532
Amillepora17203,0.019003692690167686
Amillepora17208,0.37347667084223407
Amillepora17270,0.20373043943855546
Amillepora17273,0.06778333462628496
Amillepora17287,0.08362446794412212
Amillepora17315,0.3102735033925002
Amillepora17319,0.28024395803413416
Amillepora17314,0.1606054037535409
Amillepora17339,0.04252417299315218
Amillepora17340,0.7317067635031022
Amillepora17366,0.004711436166048936
Amillepora17362,0.09541149558290493
Amillepora17373,0.0078065626092609355
Amillepora17376,1.2920843370260104
Amillepora17374,0.31775186958422946
Amillepora17380,0.4441716293798289
Amillepora17387,0.16007234416692395
Amillepora17403,0.1844411093323641
Amillepora17397,0.6310184117035225
Amillepora17405,0.5556283863173402
Amillepora17472,0.06905196574118076
Amillepora17492,0.562557272567971
Amillepora17493,0.1849235405398231
Amillepora17505,0.12636254048860826
Amillepora17507,0.02833160849956472
Amillepora17606,0.07234722706740991
Amillepora17690,1.1595802370093888
Amillepora17714,0.06984887046252004
Amillepora17715,6.785184080286474
Amillepora17725,0.16695434653174443
Amillepora17719,0.01439153271129121
Amillepora17727,0.16878318666584552
Amillepora17749,0.10325114104208913
Amillepora17755,0.03395866406350904
Amillepora17757,0.026789448763895662
Amillepora17763,0.1305370372753294
Amillepora17759,4.138389310842793
Amillepora17764,0.2312020087824937
Amillepora17767,0.537198304330692
Amillepora17770,0.8876551083420213
Amillepora17778,0.1745286022766029
Amillepora17783,0.011040746059088934
Amillepora17786,0.07305348706579254
Amillepora17795,1.9460560591327394
Amillepora17796,0.5590677060311862
Amillepora17784,0.038685408761789386
Amillepora17794,0.2393507096765349
Amillepora17808,0.0053413719830841385
Amillepora17807,0.29379702571996585
Amillepora17814,0.4846696631910574
Amillepora17816,0.18644146534084924
Amillepora17815,0.07375798659843824
Amillepora17825,0.21417666251884376
Amillepora17827,0.9574739788229345
Amillepora17828,1.041275534062031
Amillepora17835,0.19466567942868826
Amillepora17832,0.0010456955374262059
Amillepora17845,0.026168365744288956
Amillepora17843,0.03342879484723394
Amillepora17856,0.018460988680786633
Amillepora17857,0.035639865284229084
Amillepora17849,0.04351582577634372
Amillepora17848,0.04664617009939161
Amillepora17860,0.1770391849919315
Amillepora17864,0.5900078535073231
Amillepora17867,0.2964694100165995
Amillepora17868,0.2953914260627668
Amillepora17878,0.11955273680054693
Amillepora17877,0.2759578627431116
Amillepora17879,0.14882764680262509
Amillepora17880,0.031450204260079315
Amillepora17889,0.051146284709361736
Amillepora17891,0.12868260393197264
Amillepora17895,0.653947611468408
Amillepora17894,0.9382922362290468
Amillepora17892,0.09888943023644761
Amillepora17919,4.334782293718366
Amillepora17897,0.05784845845373132
Amillepora17920,0.1832409689272305
Amillepora17921,0.5580984914654964
Amillepora17928,9.065202090091406
Amillepora17927,0.9565993167878352
Amillepora17932,3.433839792565467
Amillepora17930,0.6495427400716439
Amillepora17933,1.791346948783909
Amillepora17929,1.2085177701254095
Amillepora17939,2.16145384995489
Amillepora17936,1.9209471071653468
Amillepora17937,2.7965794329556566
Amillepora17938,1.879201390708376
Amillepora17941,0.0362231161164588
Amillepora17946,0.12359007737402175
Amillepora17944,0.15576329346016174
Amillepora17950,1.6260745267846672
Amillepora17952,0.8015103716816856
Amillepora17951,0.2925034519165411
Amillepora17947,0.5311980235425201
Amillepora17959,0.15063746141726359
Amillepora17961,0.4674259794787212
Amillepora17965,0.13133290790184526
Amillepora17979,0.3985839730209989
Amillepora17978,0.6404503572395874
Amillepora17972,0.4296446309412805
Amillepora17970,0.24802879750073784
Amillepora17976,0.0322321296038829
Amillepora17981,0.2176863673530573
Amillepora17982,0.1505270219272988
Amillepora17985,0.2416129098053796
Amillepora17994,0.8563817447493491
Amillepora17998,0.9391620137361765
Amillepora17999,0.13649901867501057
Amillepora18004,0.4604249533455697
Amillepora18011,0.538710888115957
Amillepora18012,0.23752190781436866
Amillepora18017,1.0756931586871834
Amillepora18018,0.5146437153329393
Amillepora18016,1.8995749648640863
Amillepora18023,0.9664561358803054
Amillepora18022,0.14139663133745137
Amillepora18020,0.7694220371906262
Amillepora18021,0.10482358368151089
Amillepora18019,0.19646183514010065
Amillepora18030,0.0869961733625875
Amillepora18024,0.39647972157592476
Amillepora18029,0.8618944428364393
Amillepora18027,0.4363707446489459
Amillepora18041,0.13011762665405568
Amillepora18034,0.042658991028816734
Amillepora18035,0.023518417348854757
Amillepora18045,0.09640873562504482
Amillepora18046,0.14071846296972138
Amillepora18042,0.05192829573611398
Amillepora18043,0.06191079211723266
Amillepora18051,0.3879940661707903
Amillepora18054,0.45446384830193687
Amillepora18067,0.07586423348210061
Amillepora18065,0.5935954753232064
Amillepora18068,0.14500266349281263
Amillepora18081,0.21413918654935737
Amillepora18079,0.41621733787558385
Amillepora18077,0.6859140894227083
Amillepora18080,0.54231732724748
Amillepora18071,5.030775178777458
Amillepora18085,2.431449655886226
Amillepora18083,0.262714120851432
Amillepora18087,1.0182272117180042
Amillepora18090,0.017631621718052465
Amillepora18088,0.7601555139028889
Amillepora18099,0.6470414646031257
Amillepora18108,0.2774081770768188
Amillepora18110,0.0273172372198734
Amillepora18116,0.186500359340601
Amillepora18124,1.1930036581272934
Amillepora18133,4.923359370247701
Amillepora18126,2.670600588498995
Amillepora18130,1.8022192048616776
Amillepora18127,0.08258604363087406
Amillepora18131,0.2970775791353659
Amillepora18134,0.14238446261577237
Amillepora18128,0.2889145933720224
Amillepora18143,0.6074246993843105
Amillepora18154,0.4967782610104051
Amillepora18150,4.878927794209402
Amillepora18151,2.8797367558785028
Amillepora18152,1.4462876809445746
Amillepora18148,0.6178898930337284
Amillepora18144,0.6041311595645878
Amillepora18146,0.07159529382614564
Amillepora18166,0.9966700627820906
Amillepora18159,0.6285836064175109
Amillepora18158,0.19283772702601124
Amillepora18157,0.5532348225309088
Amillepora18164,1.4997846166745121
Amillepora18169,0.4053875901614124
Amillepora18167,1.489822359753237
Amillepora18168,0.8956128416640814
Amillepora18172,0.09124736451990016
Amillepora18180,0.10451986550789798
Amillepora18176,0.2883726407273263
Amillepora18182,0.3298521727019143
Amillepora18175,1.048871495988161
Amillepora18189,0.011953818427520314
Amillepora18190,0.04691881300644661
Amillepora18184,0.1704266775620109
Amillepora18185,0.09183354079499109
Amillepora18195,0.8809954626406717
Amillepora18194,0.20666889531331661
Amillepora18191,6.714409822328667
Amillepora18198,0.17951227053242289
Amillepora18210,0.19578560434195524
Amillepora18240,0.8364032150407312
Amillepora18242,0.35015580233342225
Amillepora18220,0.08957641330075271
Amillepora18241,0.34210111954187017
Amillepora18244,0.38136509475217056
Amillepora18258,0.12831330234467905
Amillepora18259,0.6250590564029137
Amillepora18248,0.11005190542161117
Amillepora18253,0.13242296349767058
Amillepora18260,0.10041599181717115
Amillepora18269,3.5351896502178595
Amillepora18267,1.2901022624132554
Amillepora18265,3.0138238086552445
Amillepora18288,0.06284457944417601
Amillepora18293,0.059512425972566396
Amillepora18297,0.05583260602050065
Amillepora18301,0.046722767944892454
Amillepora18292,0.18351546472086142
Amillepora18296,0.0884332434212025
Amillepora18295,0.2608273386878856
Amillepora18310,0.06418786133637952
Amillepora18302,0.19248907060318934
Amillepora18309,0.006553979936602958
Amillepora18308,0.13970163789755088
Amillepora18317,0.11459610139451436
Amillepora18324,0.01859788975692947
Amillepora18320,0.30029196626555643
Amillepora18329,0.36680545457827585
Amillepora18334,0.05563456503769477
Amillepora18335,0.9371003781882978
Amillepora18340,0.0840506686175824
Amillepora18342,0.12922858878897298
Amillepora18349,0.11925591782115265
Amillepora18353,1.5976924755016209
Amillepora18357,0.4456575275886601
Amillepora18356,0.3564657240958895
Amillepora18351,0.009817113413970234
Amillepora18352,1.147715752189604
Amillepora18360,0.1832638401508628
Amillepora18365,1.014462345821741
Amillepora18362,0.17506630589883793
Amillepora18372,0.28544352523255506
Amillepora18368,0.16489420357627807
Amillepora18375,0.3539170942677932
Amillepora18376,0.5146558913304318
Amillepora18383,0.7902846566094911
Amillepora18380,0.09545467244278874
Amillepora18381,0.19499847083660968
Amillepora18379,0.07515543202532095
Amillepora18389,0.6382203702911349
Amillepora18382,0.27249559818013663
Amillepora18398,0.8746610382425695
Amillepora18394,0.14993392035536096
Amillepora18396,0.85142430930069
Amillepora18395,3.604733806204944
Amillepora18393,6.73807010126477e-7
Amillepora18404,0.4950127718427618
Amillepora18403,1.7492165672007567
Amillepora18406,0.31726621567789554
Amillepora18416,0.13067327938898288
Amillepora18422,0.9553085955880826
Amillepora18429,0.23023984530525415
Amillepora18434,0.9322608097216252
Amillepora18438,1.20622796093305
Amillepora18442,0.36062446214441884
Amillepora18440,0.5451677300235569
Amillepora18443,3.131139529753473
Amillepora18445,1.7301984805904997
Amillepora18441,1.2598865357216589
Amillepora18439,0.7146272713242247
Amillepora18450,1.657156350046799
Amillepora18457,0.3436952579086293
Amillepora18452,1.8680126267818782
Amillepora18456,0.1797783460014107
Amillepora18448,0.004260920445679949
Amillepora18454,0.2683662923312141
Amillepora18449,0.052881848209154196
Amillepora18447,0.24577284258271143
Amillepora18451,0.5903806225604762
Amillepora18461,0.23472777328308211
Amillepora18463,0.22323004855549217
Amillepora18462,0.01776110686445295
Amillepora18466,0.37747053146457105
Amillepora18464,0.13189573923614
Amillepora18465,1.4357149532306568
Amillepora18468,2.8418221206585854
Amillepora18469,0.8670791313522948
Amillepora18484,0.3739596328275717
Amillepora18489,1.2160176304073622
Amillepora18485,0.0871230640608898
Amillepora18500,1.4651425881128397
Amillepora18493,1.0940539074603128
Amillepora18492,2.0954638810740156
Amillepora18502,0.9031799199504382
Amillepora18496,0.2745805149807742
Amillepora18514,0.5665303298902985
Amillepora18507,5.084296844711298
Amillepora18525,2.0937729557574265
Amillepora18524,0.2629537100245446
Amillepora18518,0.7091263720106418
Amillepora18532,0.34399058298780194
