gene,redMembership
Amillepora22266,0.7280159856023238
Amillepora03521,0.07368652964439386
Amillepora28431,0.4941933041746471
Amillepora05277,0.205456379704907
Amillepora06614,-0.12932523501911883
Amillepora28432,0.4671536129245291
Amillepora28430,0.4759306643929403
Amillepora05838,-0.11456983750709099
Amillepora03522,0.039221984471564796
Amillepora28539,-0.17957560457979238
Amillepora37412,-0.10693181022027061
Amillepora08040,-0.07809742594657923
Amillepora17884,0.1629861507697385
Amillepora28246,0.07695282348039005
Amillepora17156,-4.0601598049415377e-4
Amillepora17883,0.18675648721477967
Amillepora35865,-0.006525739652677422
Amillepora18145,0.4067765298211502
Amillepora15443,-0.07707767300613616
Amillepora12613,-0.45505267888193096
Amillepora30505,-0.19639668767050628
Amillepora06896,-0.3320679755494104
Amillepora15459,0.709451243523623
Amillepora06876,-0.20064746689394058
Amillepora08895,0.4807043914806167
Amillepora02835,0.4426972729516089
Amillepora14539,-0.027824176171974177
Amillepora36389,-0.19610008411883245
Amillepora15460,0.6899014985031195
Amillepora32673,-0.19132924620396005
Amillepora06894,-0.33787067386274017
Amillepora14023,0.779076597929462
Amillepora22682,0.05467654554766614
Amillepora12612,-0.4000691575914979
Amillepora35233,0.0839667785649548
Amillepora19312,0.3163384055113471
Amillepora05278,0.2899504700512241
Amillepora31481,-0.1709787492592611
Amillepora13360,-0.35623045323550495
Amillepora12736,0.7095688820612547
Amillepora21090,-0.17278173689577658
Amillepora25295,0.7672795924687361
Amillepora26951,-0.2049319910254189
Amillepora26852,0.1228958422380832
Amillepora33122,0.5536965787808539
Amillepora21623,0.09161508885795745
Amillepora10225,-0.01590512277236841
Amillepora04414,-0.2743601668328328
Amillepora28043,-0.029124861837589472
Amillepora04869,-0.4305275110860358
Amillepora04293,-0.33465070489255266
Amillepora13318,-0.010287194225977292
Amillepora01162,-0.17169487141424827
Amillepora25300,-0.07845314868340383
Amillepora04415,-0.24035172539813554
Amillepora21603,-0.11623898169625828
Amillepora07197,-0.11876846935471361
Amillepora13332,-0.25455853191900757
Amillepora36407,0.004745080875880697
Amillepora30922,0.1068593811063849
Amillepora14129,-0.13799069338269562
Amillepora09832,-0.07718648313260938
Amillepora06637,-0.134834996662334
Amillepora19702,0.6198995230084324
Amillepora16172,0.5557274473300259
Amillepora05804,0.02620376922123049
Amillepora05036,0.18425769690496813
Amillepora03261,-0.46897531669673115
Amillepora13082,-0.47807744745885106
Amillepora09936,-0.10621149152240278
Amillepora26644,-0.19045067481533695
Amillepora22657,0.027132088139231736
Amillepora32586,0.5288562678957623
