gene,logp
Amillepora16770,-0.33529146254068226
Amillepora16769,-0.7790808928695877
Amillepora16774,0.6027543102001142
Amillepora16773,-0.3705019377028824
Amillepora16771,-0.9219374211515887
Amillepora16778,-0.3802819602029439
Amillepora16777,-0.21761951932358178
Amillepora16779,-1.1642566391305291
Amillepora16782,-0.45091207711432046
Amillepora16781,-0.6694079410147604
Amillepora16780,-0.46606312578141956
Amillepora16783,-0.06849025667985514
Amillepora16793,-1.1301004682379985
Amillepora16784,-0.8052725675902107
Amillepora16795,-0.841024735606965
Amillepora16787,-0.24617401492019622
Amillepora16794,-0.5172962813864374
Amillepora16792,0.5219115101176339
Amillepora16791,5.137585247765872
Amillepora16790,-0.11065843255995428
Amillepora16788,-0.29934041621852353
Amillepora16789,0.2656162960582784
Amillepora16785,0.5710598793093002
Amillepora16796,0.24510320803884525
Amillepora16800,-0.02311831825138572
Amillepora16798,-0.04274701740403775
Amillepora16797,-0.3559302858057634
Amillepora16801,-0.31193201211594546
Amillepora16804,0.17508313638019504
Amillepora16812,-0.10673636815484741
Amillepora16808,1.1716455536881827
Amillepora16815,0.19275293495249382
Amillepora16806,-0.13182547890767204
Amillepora16813,1.5211997314455152
Amillepora16807,-1.6430213764923676
Amillepora16814,-1.2626358589699391
Amillepora16811,0.02398446962681954
Amillepora16805,-0.7427007706047009
Amillepora16809,-0.33656900688887953
Amillepora16802,2.1770722082547747
Amillepora16803,-0.013570114533814384
Amillepora16810,-0.11862681610239988
Amillepora16817,10.840554454252997
Amillepora16818,-0.3422308766935255
Amillepora16824,0.9335141557555368
Amillepora16816,-0.44059564122091077
Amillepora16823,-0.2744347535763327
Amillepora16822,-0.01310759688750446
Amillepora16821,0.6699224935893315
Amillepora16819,0.18502317546752092
Amillepora16820,-0.81984399512891
Amillepora16826,-0.24293266660827875
Amillepora16825,-1.1012983264165959
Amillepora16830,0.5435940865176823
Amillepora16831,0.6321599853228516
Amillepora16829,-0.10227197522468048
Amillepora16833,0.5340134375092678
Amillepora16841,-1.217216752825081
Amillepora16843,-0.2963055312963385
Amillepora16840,0.040216294866044396
Amillepora16844,0.09555020347225524
Amillepora16845,-0.9498290064164133
Amillepora16836,0.14125414094043243
Amillepora16834,0.6648658754373901
Amillepora16838,0.5347409717353268
Amillepora16839,0.08824106119116389
Amillepora16837,0.4149765633988081
Amillepora16849,0.005070448431535876
Amillepora16846,-8.81721277706074
Amillepora16852,-2.331421714064625
Amillepora16848,3.5649486424998593
Amillepora16847,-5.150768290039354
Amillepora16850,1.65892868978093
Amillepora16851,-0.2514043292344648
Amillepora16855,-0.09486053976225144
Amillepora16858,1.9140471563557098
