gene,contribution
Amillepora16975,3.765977643141308e-5
Amillepora16979,3.2924725756922894e-5
Amillepora16980,2.881355917063553e-5
Amillepora16978,5.763974076906815e-7
Amillepora16976,2.0051709970062522e-5
Amillepora16973,9.90523752348271e-5
Amillepora16985,6.977458712694182e-5
Amillepora16984,3.333168756277266e-5
Amillepora16988,6.095838329110138e-7
Amillepora16982,1.2250765987039854e-5
Amillepora16983,7.938647644721768e-6
Amillepora16991,5.164494843306472e-5
Amillepora16987,1.2223089744725308e-5
Amillepora16986,9.048472934912368e-5
Amillepora16981,7.570307513298797e-6
Amillepora16989,1.8533321947962497e-6
Amillepora16990,4.197429595787447e-5
Amillepora16993,8.220243532442966e-6
Amillepora16999,3.246232016390715e-6
Amillepora16997,1.8417921328589796e-5
Amillepora16996,9.55715800464968e-6
Amillepora16998,2.1261894713791798e-7
Amillepora16992,5.408376006587798e-6
Amillepora16994,1.036034733188541e-6
Amillepora16995,7.472407697280008e-5
Amillepora17006,9.445830100113773e-5
Amillepora17005,1.4656902353219706e-6
Amillepora17002,2.563839143677491e-6
Amillepora17007,1.922541772502858e-5
Amillepora17009,6.851568721354421e-5
Amillepora17010,2.721660488422538e-4
Amillepora17001,2.4587743395578884e-5
Amillepora17004,9.016696779553274e-7
Amillepora17008,2.0212965116143356e-4
Amillepora17016,6.417934586157532e-5
Amillepora17021,2.3260290303354527e-5
Amillepora17018,4.159266195334644e-6
Amillepora17017,2.5764387390830913e-5
Amillepora17015,2.7165494368570355e-6
Amillepora17013,6.348495330843656e-5
Amillepora17014,1.3621346380845528e-4
Amillepora17012,4.9170397251951364e-5
Amillepora17019,4.741696546113761e-5
Amillepora17025,2.760200812480475e-7
Amillepora17022,1.234784179118763e-6
Amillepora17023,8.047772055015124e-5
Amillepora17026,1.6703759251872431e-6
Amillepora17029,6.229653044706602e-6
Amillepora17036,2.342402691840653e-11
Amillepora17037,1.6251286814426817e-5
Amillepora17035,5.211514131842915e-5
Amillepora17033,7.92588566869758e-5
Amillepora17034,2.034194202772261e-4
Amillepora17031,9.599671435984644e-7
Amillepora17044,1.4325391480310707e-5
Amillepora17041,2.1671365385009663e-5
Amillepora17040,1.0611224188576178e-5
Amillepora17038,3.561634499295128e-5
Amillepora17042,1.3833592614370148e-4
Amillepora17039,2.297394777607377e-5
Amillepora17043,8.428938853578744e-5
Amillepora17045,1.4016119507654731e-5
Amillepora17046,5.459019034774547e-7
Amillepora17049,3.621185910688573e-5
Amillepora17048,2.152352956956436e-6
