sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
s31_S69	558537	520268	48	133	28577	9511
s32_S70	680130	636824	272	154	30272	12608
s33_S71	473047	464030	1	14	4449	4553
s34_S72	507101	496224	2	25	5894	4956
s35_S73	406128	397267	0	20	4107	4734
s37_S74	472140	455228	6	89	11824	4993
s38_S75	512148	482705	2	187	25613	3641
s39_S76	229170	201054	905	109	19281	7821
s3_S41	421354	396490	0	135	18538	6191
s40_S77	604573	570159	192	111	26190	7921
s41_S78	638417	600778	55	125	30942	6517
s42_S79	454175	426466	5	175	22410	5119
s43_S80	494951	475976	3	56	11587	7329
s44_S81	352862	340322	0	27	9914	2599
s45_S82	477080	467210	2	13	6402	3453
s46_S83	635737	589005	8	278	35514	10932
s47_S84	524907	489786	4	411	29644	5062
s48_S85	481347	454492	6	281	21871	4697
s49_S86	577330	559782	4	95	11182	6267
s4_S42	485058	463799	4	78	14421	6756
s50_S87	578323	560853	0	54	10709	6707
s51_S88	575598	560771	0	22	8122	6683
s52_S89	598595	585258	2	13	6478	6844
s53_S90	702494	687488	3	10	7175	7818
s54_S91	577135	562661	0	10	6736	7728
s55_S92	572439	528997	5	322	36761	6354
s56_S93	569069	506262	8	387	56311	6101
s57_S94	555934	517930	3	211	32033	5757
s58_S95	474633	451720	4	85	17451	5373
s59_S96	473695	441427	4	188	26468	5608
s5_S43	481880	452945	5	197	23044	5689
s60_S97	430148	404075	3	179	21422	4469
s61_S98	553171	532945	1	52	13183	6990
s62_S99	609131	577876	7	102	22979	8167
s63_S100	557416	517135	16	134	28279	11852
s64_S101	552996	508139	39	182	34100	10536
s65_S102	578204	546095	16	136	24394	7563
s66_S103	419367	405684	1	17	6687	6978
s67_S104	489989	476356	2	37	7926	5668
s68_S105	488435	462140	4	154	20241	5896
s69_S106	462986	443811	1	57	12489	6628
s6_S44	445476	402566	4	307	37452	5147
s70_S107	525164	496649	5	209	22795	5506
s71_S108	676686	652584	1	71	14059	9971
s72_S109	492931	466812	1	133	19103	6882
s73_S110	555579	534859	7	82	13080	7551
s74_S111	433482	404785	3	124	22849	5721
s75_S112	435276	404076	15	161	23832	7192
s76_S113	456240	428148	3	231	22609	5249
s77_S114	420986	382005	2	248	33200	5531
s78_S115	443549	409865	8	247	28783	4646
s79_S116	555281	543180	3	14	7434	4650
