sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
SRR3182781	1046773	909074	4	3100	59994	74601
SRR3182784	1905561	1698259	24	1334	86031	119913
SRR3182785	1714115	1486460	12	3059	145401	79183
SRR3182786	278775	234849	3	8579	25329	10015
SRR3182787	1621367	1445490	33	2135	117625	56084
SRR3182788	2450491	2282125	10	1556	111076	55724
SRR3182789	1257110	1180700	131	1891	70346	4042
SRR3182790	991154	924702	20	537	46105	19790
SRR3182791	2625389	2343311	8	2269	181318	98483
SRR3182792	1685797	1528577	22	1360	77180	78658
SRR3182793	2228885	1971777	55	1296	136604	119153
SRR3182794	1488593	1353765	37	1516	66044	67231
SRR3316332	14883638	12784855	259	3767	2091912	2845
SRR3316333	17178818	14488943	235	5034	2681316	3290
SRR3316334	15272649	12919748	241	4131	2345324	3205
SRR3316335	16610217	13843855	255	4976	2757453	3678
SRR3316336	18078738	15471294	232	4632	2598912	3668
SRR3316337	19744553	17345191	192	4281	2391543	3346
SRR3316338	18293359	18291191	6	13	1884	265
SRR3316339	17357093	14998237	259	4036	2351006	3555
SRR3316340	18299076	16032956	156	3882	2258969	3113
SRR3316341	17111951	14962441	180	3620	2142480	3230
SRR3316342	16858424	14455073	218	4013	2395965	3155
SRR3316343	16611441	14211585	263	4358	2391597	3638
SRR3622488	89573	82593	1	10	5392	1577
SRR3622490	136271	126452	2	44	6816	2957
SRR3622491	30351	10805	25	127	12483	6911
SRR3622493	144200	134235	6	54	6487	3418
SRR3622496	55696	5831	1024	126	38619	10096
SRR3622499	96134	90853	1	14	3491	1775
SRR3622503	93494	88053	2	17	3069	2353
SRR3622506	132339	126222	1	25	4221	1870
SRR3622509	175979	161836	2	69	9054	5018
SRR3622512	247964	227936	1	44	16431	3552
SRR3622513	157533	145942	0	62	7209	4320
SRR3622516	237084	219142	0	32	2906	15004
SRR3622519	294356	275152	1	50	5406	13747
SRR3622522	199579	181494	1	24	3878	14182
SRR3622526	81581	78509	0	5	473	2594
SRR3622529	188932	176741	2	19	7741	4429
SRR3622532	96560	88233	4	30	5537	2756
SRR3622536	236665	219582	0	66	7977	9040
SRR3622539	211515	196677	3	39	9861	4935
SRR3622542	63713	56013	0	53	4522	3125
SRR3622545	128672	118410	1	12	3284	6965
SRR3622546	165540	154080	1	28	7867	3564
SRR3622549	198959	187662	3	81	6401	4812
SRR3622553	77790	71909	1	17	4098	1765
SRR3622555	18952	11296	12	68	6030	1546
SRR3622559	29634	2580	52	100	25448	1454
SRR3622578	271501	251065	0	36	4846	15554
SRR3622588	114611	108394	0	20	4093	2104
SRR3622592	125490	117947	4	33	4965	2541
SRR3622595	165268	155109	0	44	6668	3447
SRR3622598	248869	227216	1	142	15125	6385
SRR3622603	259837	238024	1	118	15203	6491
SRR3622606	263056	236944	3	161	16139	9809
SRR3622609	193524	184125	0	12	2447	6940
SRR3622612	270321	255531	0	18	4046	10726
SRR3622613	168946	158927	0	18	2337	7664
SRR3622616	193767	184041	0	13	2580	7133
SRR3622619	317963	292591	4	43	6478	18847
SRR3622622	195958	179644	1	20	2448	13845
SRR3622626	387553	357465	3	35	5446	24604
SRR3622629	290185	267148	6	66	16982	5983
SRR3622632	373597	346630	4	50	18963	7950
SRR3622636	179345	166542	2	39	9700	3062
SRR3622639	301647	269945	5	198	21643	9856
SRR3622642	241381	217185	1	131	14762	9302
SRR3622645	160655	149458	0	13	2976	8208
SRR3622646	247417	224302	5	71	18063	4976
SRR3622649	141984	130308	0	43	8401	3232
SRR3622652	433337	390238	8	198	26532	16361
SRR3622655	433149	397066	1	93	26886	9103
SRR3622659	298224	266191	22	185	18566	13260
SRR3622662	168920	156978	4	34	8856	3048
SRR3622666	262211	242880	3	51	13512	5765
SRR3622669	180804	165706	6	52	9232	5808
SRR3622672	34753	3963	149	99	29339	1203
SRR3622676	207995	176606	48	44	6068	25229
SRR3622678	152306	144189	0	13	2648	5456
SRR3622680	146299	137559	1	16	2503	6220
SRR3622682	223783	206649	0	30	4195	12909
SRR3622685	254822	238694	0	26	5701	10401
SRR3622688	294392	277510	1	23	3983	12875
SRR3622692	310006	288267	11	48	17342	4338
SRR3622695	16103	3896	42	44	8919	3202
SRR3622698	42688	28652	35	59	7643	6299
SRR3622702	152481	139535	1	41	7690	5214
SRR3622705	150846	139924	3	45	7478	3396
SRR3622708	152297	139579	1	50	6842	5825
SRR3622711	192748	182141	2	21	7878	2706
SRR3622712	235010	216396	3	74	13710	4827
SRR3622713	277150	249925	3	71	17169	9982
SRR3622717	204268	181542	3	48	15454	7221
SRR3622719	53801	15004	46	56	8616	30079
SRR3622722	229522	216540	0	19	9866	3097
SRR3622726	131848	123644	2	15	5443	2744
SRR3622729	451500	422680	0	108	19800	8912
SRR3622732	209765	198979	3	34	8088	2661
SRR3622736	57407	52540	2	19	2543	2303
SRR3622739	187253	175758	3	25	2338	9129
SRR3622742	508859	484879	3	55	5697	18225
SRR3622745	415559	381166	3	76	21171	13143
SRR3622746	352458	334241	3	7	3898	14309
SRR3622749	168462	156168	2	21	1573	10698
SRR3622752	164437	154448	0	12	1800	8177
SRR3622755	231467	218177	1	52	8571	4666
SRR3622771	483527	441418	7	164	25317	16621
SRR3622774	186321	171573	0	42	8099	6607
SRR3622777	422075	391537	1	76	17690	12771
SRR3622781	306995	282447	14	102	15620	8812
SRR3622784	447335	409457	6	139	16764	20969
SRR3622787	33133	7269	134	37	23506	2187
SRR3622790	270146	248304	1	52	16707	5082
SRR3622791	195001	183603	6	41	7055	4296
SRR3622794	221492	205191	8	42	10743	5508
SRR3622797	325430	304854	10	122	13033	7411
SRR3622800	26223	18645	15	49	3656	3858
SRR3622841	376226	348102	3	82	18586	9453
SRR3622851	426839	393505	2	135	22572	10625
SRR3622854	547415	508439	13	116	28567	10280
SRR3622857	128700	117554	1	27	9334	1784
SRR3622861	88880	80680	5	11	5105	3079
SRR3622864	61931	3571	174	136	52202	5848
SRR3622867	98353	5906	252	186	72649	19360
SRR3622870	195083	184313	0	31	7902	2837
SRR3622872	119442	110748	1	38	4796	3859
SRR3622874	117771	109863	3	36	4851	3018
SRR3622877	111471	105083	2	21	3800	2565
SRR3622880	203497	187751	4	65	9656	6021
SRR3622884	61206	55474	1	22	4378	1331
SRR3622887	170068	159093	0	15	1853	9107
SRR3622890	39025	36159	0	6	683	2177
SRR3622894	133627	124256	0	3	1652	7716
SRR3622897	106685	98844	0	6	1028	6807
SRR3622900	161341	150082	1	39	5770	5449
SRR3622904	65580	60958	0	20	2520	2082
SRR3622907	106670	97194	0	39	4024	5413
SRR3622910	30583	4449	217	98	21840	3979
SRR401853	16454035	16417776	1137	74	13664	21384
SRR401854	16618010	16569833	1315	88	15440	31334
SRR401855	16586595	16564300	123	56	8132	13984
SRR401856	16949282	16917326	203	70	10792	20891
SRR401857	16181097	16157185	835	59	8317	14701
SRR401858	17291320	17256750	55	52	13848	20615
SRR401859	16888775	16858665	2866	113	11606	15525
SRR401860	16450314	16410242	802	49	14139	25082
SRR401861	17261549	17182597	130	101	28537	50184
SRR4029951	5926589	5246568	225	43792	3607	632397
SRR4029952	4175428	3634144	169	27365	3308	510442
SRR4029953	4590864	4008539	139	5441	3098	573647
SRR4029954	4730155	4086717	158	6438	3274	633568
SRR4029955	6814476	6217880	161	11739	3212	581484
SRR4029956	2481877	2163775	96	4406	2079	311521
SRR4029957	5221102	4903959	82	7754	2297	307010
SRR4029958	5472454	4954807	157	4993	3217	509280
SRR4029959	4828328	4117260	148	4896	3593	702431
SRR4029960	4260431	3397645	209	8675	4118	849784
SRR4029961	3329272	2233663	246	3223	4543	1087597
SRR4029962	4188048	3590016	200	2499	3343	591990
SRR4029963	3971793	3485355	122	1813	2765	481738
SRR4029964	5858426	5007575	221	6179	4152	840299
SRR4029965	5081121	4246423	231	5724	3984	824759
SRR4029966	4929530	4456701	123	1702	2778	468226
SRR4029967	4991691	3756251	332	4642	5361	1225105
SRR4029968	5174835	4106770	254	2629	4599	1060583
SRR4029969	5111784	4209647	225	5235	4111	892566
SRR4029970	4443439	3727787	198	5390	3571	706493
SRR4029971	5735960	4677632	269	6466	4532	1047061
SRR4029972	5058055	3821442	276	1741	5016	1229580
SRR4029973	5104383	4047501	243	2829	4612	1049198
SRR4029974	3220391	2416741	188	3456	3742	796264
SRR4029975	6094680	4814976	420	4145	5587	1269552
SRR4029976	6502349	5584230	219	3210	4353	910337
SRR4029977	5060579	4217745	190	2779	4064	835801
SRR4029978	6826628	5393367	352	2996	6135	1423778
SRR4029979	4453733	3078953	303	4309	5276	1364892
SRR4029980	4250637	3191825	254	8144	4516	1045898
SRR4029981	4942936	4218181	260	8544	3975	711976
SRR4029982	4357415	3605827	172	6209	3613	741594
SRR4029983	4181653	3148637	243	6953	4553	1021267
SRR4029984	4118986	3112257	207	5874	4106	996542
SRR4029985	6005695	5119614	227	12203	4229	869422
SRR4029986	4504989	3407647	278	4695	4888	1087481
SRR4029987	4868339	4200885	146	2121	3492	661695
SRR4029988	4765003	4159169	199	4338	3478	597819
SRR4029989	4865215	3907139	223	9031	4250	944572
SRR4029990	5110230	3945595	278	9772	4819	1149766
SRR4029991	5269256	4337411	278	4344	4273	922950
SRR4029992	4413243	3796002	161	3834	3193	610053
SRR4029993	4306416	3817296	168	6272	2871	479809
SRR4029994	4437825	3809233	157	5950	3307	619178
SRR4029995	4229572	3477658	196	2101	3741	745876
SRR4029996	4362294	3984921	96	2582	2477	372218
SRR4029997	3488669	2139367	302	5030	5427	1338543
SRR4029998	4423601	4127592	94	12536	2094	281285
SRR4029999	4081712	3459005	181	13168	3353	606005
SRR4030000	6397076	5869507	158	18953	2979	505479
SRR4030001	5353596	4830867	150	5909	2979	513691
SRR5190737	2155543	1659041	50	1080	478608	16764
SRR5190738	2856989	2283891	41	1324	511026	60707
SRR5190739	1398663	1114258	324	587	277718	5776
SRR5190740	1363178	1008741	20	868	337941	15608
SRR5190741	2282194	1543387	173	1520	713862	23252
SRR5190742	1376424	1037818	16	691	329180	8719
SRR5190743	1472495	1116754	41	732	338759	16209
SRR5190744	1318998	989264	26	1933	294477	33298
SRR5190745	1397838	1125515	6	765	249650	21902
SRR5190746	1604032	1244225	18	4225	319952	35612
SRR5190747	1683984	1305371	15	647	368892	9059
SRR5190748	1530610	1224455	89	757	281855	23454
SRR5190749	916393	707983	67	2039	183161	23143
SRR5190750	1239595	959606	12	927	256075	22975
SRR5190751	3340222	2659159	127	1325	657683	21928
SRR5190752	1069425	833844	5	2253	202826	30497
SRR5190753	1130656	818738	13	725	299667	11513
SRR5190754	951120	713004	8	909	216680	20519
SRR5190755	2233080	1710124	39	1077	508581	13259
SRR5190756	966923	833083	1	352	125185	8302
SRR5190757	1487658	1188625	2	400	288132	10499
SRR5190758	1369314	1131517	3	305	227725	9764
SRR5190759	1032017	765754	26	609	261294	4334
SRR5190760	1858817	1408038	15	1246	436970	12548
SRR5190761	2939527	2494956	15	791	423865	19900
SRR5190762	1976285	1552066	19	776	410869	12555
SRR5190763	2104783	1664643	7	626	411195	28312
SRR5190764	1520219	1179637	36	767	332402	7377
SRR5190765	1622129	1230695	11	568	383938	6917
SRR5190766	798531	601418	5	665	187020	9423
SRR5190767	1559390	1244080	11	746	303808	10745
SRR5190768	3117865	2438137	4	958	661284	17482
SRR5190769	2156412	1715656	3	752	425612	14389
SRR5190770	893551	669928	7	463	216581	6572
SRR5190771	1986724	1525092	14	685	452034	8899
SRR5190772	1190567	965105	2	423	216657	8380
SRR5190773	1864006	1341862	9	1899	487728	32508
SRR5190774	1219543	1006497	4	477	198463	14102
SRR5190775	1932452	1636808	3	631	278383	16627
SRR5190776	1210371	995255	3	553	204461	10099
SRR5190777	1097976	878379	8	479	207660	11450
SRR5190778	1350786	1010423	3	502	316639	23219
SRR5190779	1451355	1190209	0	455	231247	29444
SRR5190780	1480213	1177459	5	478	291321	10950
SRR5190781	1768834	1324515	27	1186	431442	11664
SRR5190782	2252588	1739385	11	876	488872	23444
SRR5190783	1454759	1092492	11	1067	322732	38457
SRR5190784	1252176	1002901	1	619	232212	16443
SRR5190785	1399981	1036271	3	709	351376	11622
SRR5190786	1821977	1332816	22	801	479083	9255
SRR5190787	3257677	2369460	7	6725	794727	86758
SRR5190788	946942	717292	65	361	223179	6045
SRR5190789	2136607	1577798	151	3522	496198	58938
SRR5190790	1393043	1085705	6	637	295201	11494
SRR5190791	5302338	4195255	13	5319	919344	182407
SRR5190792	1775834	1287087	2	1117	461088	26540
SRR5190793	1556858	1105606	13	755	437986	12498
SRR5190794	1821998	1250663	20	909	553634	16772
SRR5190795	1150291	941417	9	348	188939	19578
SRR5236067	18960895	16808698	184	4617	2144598	2798
SRR5236068	24887819	21910232	269	6357	2967465	3496
SRR5236069	20283031	17498507	268	6279	2774625	3352
SRR5236070	14488760	12254494	147	4968	2226776	2375
SRR5343281	425311	421465	0	0	2333	1513
SRR5343282	1059358	1051069	1	3	5388	2897
SRR5343283	649004	642945	5	3	3760	2291
SRR5343284	683967	679128	0	0	2941	1898
SRR5343285	970735	963028	3	3	4682	3019
SRR5343286	1012286	1004194	4	2	4952	3134
SRR5343287	594245	587663	4	2	4027	2549
SRR5343288	1058835	1051229	6	2	5074	2524
SRR5343289	1482230	1475465	4	2	3425	3334
SRR5343290	593754	588089	0	2	3211	2452
SRR5343291	610090	603409	0	0	4081	2600
SRR5343292	642379	628837	5	0	8638	4899
SRR5343293	578360	572413	0	5	3796	2146
SRR5343294	820107	815274	1	0	2890	1942
SRR5343295	503089	497682	1	0	3174	2232
SRR5343296	689842	684806	1	1	3034	2000
SRR5343297	1030338	1020838	0	1	5846	3653
SRR5343298	708023	701961	3	3	3704	2352
SRR5343299	1165510	1157798	4	3	4981	2724
SRR5343300	1285904	1277337	13	42	5202	3310
SRR5343301	1187263	1179351	5	2	4858	3047
SRR5343302	419863	414123	1	1	3480	2258
SRR5343303	496504	491585	1	0	2765	2153
SRR5343304	690612	676847	5	4	8376	5380
SRR5343305	744436	739181	0	1	3227	2027
SRR5343306	1033876	1023588	0	8	6383	3897
SRR5343307	719519	713893	2	1	3311	2312
SRR5343308	1018132	1011869	0	0	3752	2511
SRR5343309	890349	883357	3	1	4289	2699
SRR5343310	1258006	1247719	5	8	6336	3938
SRR5343311	892992	886042	7	10	4474	2459
SRR5343312	1219029	1210400	6	3	5712	2908
SRR5343313	1154207	1145891	1	2	5254	3059
SRR5343314	888755	879574	4	2	6028	3147
SRR5343315	1007021	998304	4	0	5158	3555
SRR5343316	681493	668236	2	7	8924	4324
SRR5343317	463926	458983	0	0	3165	1778
SRR5343318	798825	791089	1	3	4798	2934
SRR5343319	832348	824912	4	0	4356	3076
SRR5343320	606823	601005	3	2	3655	2158
SRR5343321	1126870	1120392	1	3	4001	2473
SRR5343322	1103386	1095764	7	5	4526	3084
SRR5343323	1215823	1207504	5	6	5541	2767
SRR5343324	1441837	1433359	4	4	5210	3260
SRR5343325	1276418	1264942	0	3	6871	4602
SRR5343326	866370	857705	2	4	5425	3234
SRR5343327	746260	739052	0	3	4307	2898
SRR5343328	919376	903999	8	3	9482	5884
SRR5362791	7443101	6462122	113	1008	7629	972229
SRR5362792	2717202	2200901	97	2426	452143	61635
SRR5362793	1965883	1570782	47	202	3000	391852
SRR5362794	3323145	2534837	92	558	5120	782538
SRR5362795	3620459	2854786	102	647	5025	759899
SRR5362796	5122702	3788213	133	896	7729	1325731
SRR5362797	2782373	2279002	44	2400	499453	1474
SRR5362798	5630732	4708715	124	5029	914904	1960
SRR5362799	3926932	3461079	81	319	4989	460464
SRR5362800	5407657	4434364	91	4664	9173	959365
SRR5362801	947503	947380	0	3	87	33
SRR5362802	5532347	4646646	69	4689	776449	104494
SRR5362803	2216493	1932048	42	385	2408	281610
SRR5362804	10213416	9011021	126	5899	1187313	9057
SRR5362805	4398275	3813529	56	5581	4670	574439
SRR5362806	3548533	2969938	97	972	134234	443292
SRR5362807	4411980	3394506	89	2316	481404	533665
SRR5362808	4708187	4163214	159	3499	538052	3263
SRR5362809	4156499	3597962	54	2551	554187	1745
SRR5362810	7379162	6348015	135	5382	1023381	2249
SRR5362811	5184237	4294859	102	638	7201	881437
SRR5362812	3557729	3282615	23	219	3574	271298
SRR5362813	3332807	2865437	131	2300	460119	4820
SRR5362814	4814335	4133354	123	3196	673817	3845
SRR5362815	2430912	1977809	43	1927	251056	200077
SRR5362816	2746980	2320737	61	1238	3934	421010
SRR5362817	5179895	4548966	80	3747	625178	1924
SRR5362818	3048716	2764567	27	1283	282012	827
SRR5362819	4293149	4047403	36	1334	233575	10801
SRR5362820	1698253	1298907	33	1949	396403	961
SRR5362821	4061892	3740532	22	1397	319079	862
SRR5362822	5086927	4555694	45	2673	525703	2812
SRR5362823	2552536	2424608	46	578	125888	1416
SRR5362824	5962321	4937290	87	5263	1017890	1791
SRR5362825	5007655	4012254	99	3153	299453	692696
SRR5362826	4017506	3373233	70	4579	4699	634925
SRR5362827	3552668	3041123	41	4320	3957	503227
SRR5362828	10107950	8626625	334	1437	10559	1468995
SRR5367050	4237759	4206131	41	3585	16420	11582
SRR5367051	3972271	3948585	29	1189	13037	9431
SRR5367052	3593885	3571519	18	1213	12347	8788
SRR5367053	3023172	2995941	284	3565	8192	15190
SRR5367054	3694033	3656856	393	3691	9610	23483
SRR5367055	4006782	3976708	1661	3020	14543	10850
SRR5367056	3699189	3681044	24	3377	9043	5701
SRR5367057	3978107	3961819	31	1624	8872	5761
SRR5367058	4252777	4232289	25	1891	11390	7182
SRR5367059	4176659	4147378	82	2857	11807	14535
SRR5367060	4006619	3982321	27	2117	12167	9987
SRR5367061	4096325	4074914	78	1274	9309	10750
SRR5367062	3981443	3962236	14	2502	7984	8707
SRR5367063	4157969	4137354	29	3045	8981	8560
SRR5367064	4343591	4318010	16	2815	13927	8823
SRR5367065	3829234	3805072	36	3195	8971	11960
SRR5367066	3894105	3867307	98	3723	11741	11236
SRR5367067	3776251	3751034	76	1567	13482	10092
SRR5374529	8061453	5906295	253	4507	2147902	2496
SRR5374530	9500119	7282438	305	5257	2209292	2827
SRR5374531	8937289	6816169	293	5046	2113100	2681
SRR5374532	10193333	7480571	357	6243	2702942	3220
SRR5374533	5816063	4231680	381	3516	1578223	2263
SRR5374534	7338535	5258388	254	4161	2073483	2249
SRR5374535	5415295	3944223	151	3077	1466028	1816
SRR5374536	7709368	5949777	200	3954	1753244	2193
SRR5374537	10671127	8053451	321	6121	2607905	3329
SRR5374538	7707858	5787421	264	4265	1913520	2388
SRR5374539	7664235	6183353	190	3261	1475472	1959
SRR5374540	6277822	5119161	166	2533	1154408	1554
SRR5374541	6390629	5076080	221	3048	1309541	1739
SRR5374542	5279674	3769848	140	3388	1504434	1864
SRR5374543	8832230	6250670	262	5525	2572699	3074
SRR5374544	9199170	6904927	234	4896	2286334	2779
SRR5374545	5817500	4369980	177	3435	1442006	1902
SRR5374546	6998923	4781358	294	5139	2209497	2635
SRR5374547	8364545	8363442	47	40	714	302
SRR5374548	6626919	6626417	12	14	294	182
SRR5374549	10381929	10381077	7	22	453	370
SRR5374550	10476386	10474746	19	22	1094	505
SRR5374551	9636532	9635392	11	26	764	339
SRR5374552	8040418	8039529	12	21	533	323
SRR5374553	11426237	11425013	27	34	768	395
SRR5374554	8374464	8372559	3	24	1598	280
SRR5374555	9985309	9984509	8	31	462	299
SRR5374556	8393420	8392474	153	33	473	287
SRR5374557	6131075	6130355	9	21	473	217
SRR5374558	8839860	8838940	7	24	627	262
SRR5374559	9137300	9136141	6	38	787	328
SRR5374560	7254104	7253341	11	15	468	269
SRR5374561	7365351	7364742	10	46	329	224
SRR5374562	10717174	10716168	12	19	591	384
SRR5374563	10326164	10325256	9	28	544	327
SRR5374564	10053059	10052051	25	21	561	401
SRR5374565	8785982	8785303	9	24	373	273
SRR5374566	5302392	5301797	10	22	352	211
SRR5374567	8550907	8548621	16	14	1964	292
SRR5374568	6055209	6054590	24	10	342	243
SRR5374569	4730963	4730152	12	11	597	191
SRR5378429	8228335	6069343	289	4750	2151422	2531
SRR5378430	9259935	6596430	314	5944	2654199	3048
SRR5378431	10940658	8602117	251	5040	2330561	2689
SRR5378432	9040948	6361566	295	5659	2670477	2951
SRR5569435	31125158	29138149	1957467	26002	715	2825
SRR5569436	34885869	34422424	454534	7175	271	1465
SRR5569437	26887034	26010569	847858	17928	393	10286
SRR5569438	27808291	26606392	1183304	16381	559	1655
SRR5569439	16804074	16279442	514499	8946	395	792
SRR5569440	26862200	26687157	168319	3811	181	2732
SRR5569441	28384770	27230311	1135481	16939	793	1246
SRR5569442	39156537	38412193	731872	10598	487	1387
SRR5569443	29551137	28355973	1168682	17793	592	8097
SRR5569444	35427546	34874519	535052	15290	464	2221
SRR5569445	28311058	26370242	1903230	33702	687	3197
SRR5569446	30808111	27828973	2930970	44167	1234	2767
SRR5569447	14435222	13985581	437072	6666	1669	4234
SRR5569448	31739600	30134752	1574879	26360	923	2686
SRR5569449	45597314	44529048	1037343	18786	655	11482
SRR5569450	31946584	31085381	843246	10971	493	6493
SRR5934175	22069813	22069500	26	53	95	139
SRR5934176	18240250	18240011	43	32	91	73
SRR5934177	19883753	19883540	17	41	95	60
SRR5934178	23914290	23914036	12	38	91	113
SRR5934179	23038294	23037923	52	60	143	116
SRR5934180	31201828	31201552	12	81	75	108
SRR5934181	23029884	23029574	36	51	90	133
SRR5934182	23770405	23769929	72	46	147	211
SRR5934183	23689267	23688960	15	40	103	149
SRR5934184	25112331	25112094	23	28	66	120
SRR5934185	21461833	21461430	33	72	167	131
SRR5934186	20369862	20369489	57	54	135	127
SRR5934187	14370952	14370650	65	22	108	107
SRR5934188	22485473	22484983	128	44	151	167
SRR5934189	24589478	24589222	7	37	108	104
SRR5934190	22057259	22056913	49	67	105	125
SRR5934191	24627891	24627517	22	99	98	155
SRR6064903	11594513	10250089	183	4903	1334280	5058
SRR6064904	6531153	5410332	135	3585	1114727	2374
SRR6064905	9457273	9150047	116	1041	302542	3527
SRR6064906	9963075	9499391	315	1559	457245	4565
SRR6064907	6826353	5223965	16892	4766	1576195	4535
SRR6064908	10247858	9635211	1365	1825	604714	4743
SRR6064909	5881728	1194337	26816	13668	4640523	6384
SRR6064910	10041548	8806817	2389	3547	1223959	4836
SRR6064911	10868118	9901231	97	2945	958501	5344
SRR6064912	7850074	7456342	237	1288	382888	9319
SRR6064913	3858221	799722	90214	8885	2955103	4297
SRR6064914	8794270	7948970	247	2456	836504	6093
SRR6064915	9027839	8898248	111	603	126453	2424
SRR6064916	9066810	8728907	66	1014	332772	4051
SRR6064917	6609132	5840394	104	2717	763854	2063
SRR6064918	8093587	7256083	254	2654	832305	2291
SRR6064919	10461630	10088777	72	1169	369655	1957
SRR6064920	9860721	9538086	88	955	315956	5636
SRR6064921	10081797	9103375	257	3705	971185	3275
SRR6064922	10422033	9973994	280	1821	442388	3550
SRR6064923	7225005	7124937	24	312	97732	2000
SRR6064924	9688092	8947036	74	2354	733339	5289
SRR6064925	266454	191190	37838	975	35612	839
SRR6064926	10132659	9919568	269	752	208793	3277
SRR6064927	11916836	11505888	202	1630	403819	5297
SRR6064928	9521970	9308474	633	853	207902	4108
SRR6064929	7754014	7140364	250	1838	608091	3471
SRR6064930	10853045	10499218	1265	1130	348530	2902
SRR6064931	8852556	8359657	116	1902	486257	4624
SRR6064932	9397785	8579980	203	2461	811754	3387
SRR629089	1513321	346131	231	549	23823	1142587
SRR629090	2264327	998938	492	649	23024	1241224
SRR629091	6598358	3683757	1737	2526	59477	2850861
SRR629092	3049387	1812861	194	395	11077	1224860
SRR629093	2424100	1026735	939	1219	57032	1338175
SRR629094	3165873	1740284	868	2010	35087	1387624
SRR629095	2732707	1472462	6392	1641	26188	1226024
SRR629096	3916897	2256687	728	1518	26439	1631525
SRR629126	2671046	1058573	1178	1478	49400	1560417
SRR629127	1907360	897652	860	1022	19736	988090
SRR629128	841880	295443	200	398	8086	537753
SRR629129	2605141	2088695	1103	4641	481224	29478
SRR629130	1095538	794165	447	2050	269046	29830
SRR629131	3799717	2589790	1153	4615	1191457	12702
SRR629132	2591202	1940656	11664	4773	618438	15671
SRR629133	3377827	1566940	2675	8522	36159	1763531
SRR629134	2406351	1194049	1951	9938	1174434	25979
SRR629135	1589034	509083	2328	3621	864219	209783
SRR629136	388215	134459	7987	1337	218554	25878
SRR629150	2819263	1740040	2556	11796	1034374	30497
SRR629151	3059747	1398081	2598	17485	1584504	57079
SRR629152	1410080	1177255	248	751	74050	157776
SRR629153	3116003	2678802	563	1293	68590	366755
SRR629154	4198373	2689542	1338	5557	1487170	14766
SRR629155	4059066	1887842	1437	11598	2112744	45445
SRR629156	521169	158651	36672	19195	231045	75606
SRR629157	2666987	1823489	761	3171	829064	10502
SRR629158	5864357	2204636	3999	13531	3560821	81370
SRR629159	2991935	1018638	2114	6890	1929704	34589
SRR629160	7676786	2981027	4914	35001	107665	4548179
SRR629161	7566685	2880335	4518	43088	100303	4538441
SRR6396371	16847471	14065674	2186274	9071	585655	797
SRR6396372	15149583	13267786	1747457	6404	127659	277
SRR6396373	16177711	15705009	440780	2129	29353	440
SRR6396374	18587213	15395764	3169940	20505	364	640
SRR6396375	14885346	12992917	1879775	11844	315	495
SRR6396376	14801982	13731567	1062286	7526	269	334
SRR6396377	15295558	11285439	3999611	9774	192	542
SRR6396378	2946230	2191249	752978	1815	58	130
SRR6396379	15211193	14517455	690577	2494	198	469
SRR6396380	14780840	12420746	2350533	8820	362	379
SRR6396381	13530263	9790212	3728844	10619	256	332
SRR6396382	14574830	14051538	521033	1844	198	217
SRR7347322	748407	647148	8	1520	86299	13432
SRR7347323	726944	566425	15	2533	147591	10380
SRR7347324	1209825	1003258	10	3081	160276	43200
SRR7347325	1278926	1023717	16	3671	209131	42391
SRR7347326	587479	431699	8	2604	136146	17022
SRR7347327	441975	306950	3	2086	115283	17653
SRR7347328	710074	554161	26	2098	151578	2211
SRR7347329	1495752	1096504	13	3427	313696	82112
SRR7347330	702623	621585	10	1223	62412	17393
SRR7347331	1292980	909453	27	5173	321974	56353
SRR7347332	920519	792100	28	1405	70695	56291
SRR7347333	47963	37422	1	127	6261	4152
SRR7347334	53194	43483	0	108	6763	2840
SRR7347335	541573	413775	2	1020	110132	16644
SRR7347336	552262	480636	1	523	54196	16906
SRR7347337	1303905	1094557	12	3060	165501	40775
SRR7347338	449031	359638	0	710	70851	17832
SRR7347339	661357	516706	4	1560	113586	29501
SRR7347340	727501	580446	12	1900	139890	5253
SRR7347341	605228	495657	14	1690	103963	3904
SRR7347342	698028	566457	2	1090	104602	25877
SRR7347343	748080	553084	0	2139	170947	21910
SRR7347344	1371865	1057142	10	4678	249375	60660
SRR7347345	821795	727889	23	1739	63387	28757
SRR7347346	818281	635542	12	3941	166595	12191
SRR7347347	718822	630358	21	1474	65913	21056
SRR7347348	642880	513344	6	1727	104383	23420
SRR7347349	561253	485051	0	505	48746	26951
SRR7347350	1272029	988842	17	5256	238807	39107
SRR7347351	1367028	1120983	17	4099	202351	39578
SRR7347352	60215	46617	0	187	10429	2982
SRR7347353	365641	316153	7	922	39340	9219
SRR7347354	699870	623344	20	1083	70627	4796
SRR7347355	928708	694480	61	3391	226243	4533
SRR7347356	1261271	950452	10	1940	230189	78680
SRR7347357	900836	685924	2	2783	184154	27973
SRR7347358	1660509	1456603	6	2305	152395	49200
SRR7347359	1030844	842800	2	2435	140275	45332
SRR7347360	627301	514777	4	1047	84650	26823
SRR7347361	614770	514135	1	1072	80769	18793
SRR7347362	689738	562247	16	2107	123732	1636
SRR7347363	538673	492454	12	804	44365	1038
SRR835875	940074	884637	1192	239	53433	573
SRR835876	1086333	1018941	1353	306	65113	620
SRR835877	803250	660317	1678	584	139948	723
SRR835878	1421902	1154229	3049	1115	262300	1209
