sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
s100_S137	425867	415718	0	0	10122	27
s101_S138	505374	461035	0	0	44241	98
s102_S139	620192	574412	0	0	45659	121
s104_S140	437850	399164	0	0	38563	123
s105_S141	429970	393650	0	0	36210	110
s106_S142	758427	694478	0	0	63801	148
s107_S143	473037	433137	0	0	39808	92
s108_S144	465348	395212	0	0	69986	150
s10_S48	482691	444220	0	0	38377	94
s110_S145	398140	359187	0	0	38877	76
s111_S146	414685	361627	0	0	52965	93
s112_S147	431338	421163	0	0	10138	37
s113_S148	457675	434316	0	0	23291	68
s114_S149	407923	365558	0	0	42299	66
s115_S150	468306	454811	0	0	13451	44
s116_S151	544572	529198	0	0	15339	35
s117_S152	545602	537846	0	0	7727	29
s118_S153	407346	394180	0	0	13123	43
s119_S154	489370	453201	0	0	36087	82
s11_S49	423068	381224	0	0	41724	120
s120_S155	436544	413226	0	0	23268	50
s121_S156	510431	497834	0	0	12544	53
s122_S157	834807	769004	0	0	65586	217
s123_S158	891333	863216	0	0	28044	73
s125_S159	369987	333755	0	0	36169	63
s126_S160	468979	400118	0	0	68746	115
s127_S161	383179	355278	0	0	27811	90
s128_S162	421465	395336	0	0	26083	46
s129_S163	433892	412126	0	0	21714	52
s12_S50	421071	362312	0	0	58602	157
s130_S164	497450	447956	0	0	49397	97
s131_S165	421481	409070	0	0	12385	26
s132_S166	483302	453245	0	0	29969	88
s133_S167	352210	289458	0	0	62594	158
s134_S168	350843	275925	0	0	74737	181
s135_S169	352399	286179	0	0	66075	145
s136_S170	311448	288627	0	0	22756	65
s137_S171	456211	441459	0	0	14713	39
s138_S172	500625	492240	0	0	8358	27
s139_S173	465674	393168	0	0	72374	132
s13_S51	537228	482008	0	0	55052	168
s140_S174	421663	345265	0	0	76239	159
s141_S175	454734	432611	0	0	22084	39
s142_S176	520030	482560	0	0	37405	65
s143_S177	561287	540473	0	0	20757	57
s144_S178	568701	509842	0	0	58749	110
s145_S179	620797	545121	0	0	75525	151
s146_S180	554267	483450	0	0	70703	114
s147_S181	577018	531768	0	0	45165	85
s148_S182	565292	540947	0	0	24287	58
s149_S183	384449	364848	0	0	19563	38
s14_S52	491016	456591	0	0	34281	144
s150_S184	418788	377831	0	0	40890	67
s151_S185	452949	407553	0	0	45291	105
