my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,bleached,stress,LibraryLayout
E_aspera_PRJNA266455,SRR1653615,adult,Acropora aspera,temp,control,ambient 24 hrs,none,2097660,4446938,no,control,SINGLE
E_aspera_PRJNA266455,SRR1654665,adult,Acropora aspera,temp,control,ambient 24 hrs,none,6787560,19865403,no,control,SINGLE
E_aspera_PRJNA266455,SRR1653613,adult,Acropora aspera,temp,control,ambient 72 hrs,none,1247805,2645729,no,control,SINGLE
E_aspera_PRJNA266455,SRR1654664,adult,Acropora aspera,temp,control,ambient 72 hrs,none,4195585,11599658,no,control,SINGLE
E_aspera_PRJNA266455,SRR1653611,adult,Acropora aspera,temp,heat,6DegreeOverAmbient 24 hrs,none,3174715,27588956,no,stressed,SINGLE
E_aspera_PRJNA266455,SRR1653608,adult,Acropora aspera,temp,heat,6DegreeOverAmbient 72 hrs,none,3330560,24416729,no,stressed,SINGLE
F_Uqueensland_ph_PRJNA269992,SRR1703716,adult,Acropora millepora,pH+heat,control,preindusctrial_23C_325pCO2,none,11624569,39559337,yes,not_a_stress_experiment,SINGLE
F_Uqueensland_ph_PRJNA269992,SRR1703717,adult,Acropora millepora,pH+heat,control,present day_24C_403pCO2,none,9144131,33736675,yes,not_a_stress_experiment,SINGLE
F_Uqueensland_ph_PRJNA269992,SRR1706955,adult,Acropora millepora,pH+heat,multiple,RCP4.5_26C_627pCO2,none,15865254,61610173,yes,not_a_stress_experiment,SINGLE
F_Uqueensland_ph_PRJNA269992,SRR1703718,adult,Acropora millepora,pH+heat,multiple,RCP8.5_28C_997pCO2,none,10192384,34500222,yes,not_a_stress_experiment,SINGLE
G_barilanU_moonlight_PRJNA276913,SRR1843797,gamete,Acropora millepora,light,not_done_yet,Gamete,none,6904209,13749804,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1842722,adult,Acropora millepora,light,not_done_yet,NewMoon12pm,none,10402128,29550734,NA,not_a_stress_experiment,SINGLE
G_barilanU_moonlight_PRJNA276913,SRR1842771,adult,Acropora millepora,light,not_done_yet,NewMoon6pm,none,10441655,27369348,NA,not_a_stress_experiment,SINGLE
