num,experiment,treat,geno,rep,timepoint,exp
100,low_salinity,C,N10,1,1,Ls
101,low_salinity,C,N10,2,1,Ls
102,low_salinity,C,N10,3,1,Ls
103,low_salinity,T,L1,1,1,Ls
104,low_salinity,T,L1,2,1,Ls
105,low_salinity,T,L1,3,1,Ls
106,low_salinity,C,L1,1,1,Ls
107,low_salinity,C,L1,2,1,Ls
108,low_salinity,C,L1,3,1,Ls
109,three_way,C,N10,1,1,Tw
110,three_way,C,N10,2,1,Tw
111,three_way,C,N10,3,1,Tw
112,heat2,T,N10,1,1,Ht2
113,heat2,T,N10,2,1,Ht2
114,heat2,T,N10,3,1,Ht2
115,hot_to_cold,T,N10,1,1,HtC
116,hot_to_cold,T,N10,2,1,HtC
117,hot_to_cold,T,N10,3,1,HtC
118,cold_to_hot,T,N10,1,1,CtH
119,cold_to_hot,T,N10,2,1,CtH
120,cold_to_hot,T,N10,3,1,CtH
121,heat2,T,L1,1,1,Ht2
122,heat2,T,L1,2,1,Ht2
123,heat2,T,L1,3,1,Ht2
124,heat2,T,N2,1,1,Ht2
125,heat2,T,N2,2,1,Ht2
126,heat2,T,N2,3,1,Ht2
127,three_way,C,L1,1,1,Tw
128,three_way,C,L1,2,1,Tw
129,three_way,C,L1,3,1,Tw
130,three_way,C,N2,1,1,Tw
131,three_way,C,N2,2,1,Tw
132,three_way,C,N2,3,1,Tw
133,heat2,T,N1,1,1,Ht2
134,heat2,T,N1,2,1,Ht2
135,heat2,T,N1,3,1,Ht2
136,hot_to_cold,T,L1,1,1,HtC
137,hot_to_cold,T,L1,2,1,HtC
138,hot_to_cold,T,L1,3,1,HtC
139,three_way,C,N1,1,1,Tw
140,three_way,C,N1,2,1,Tw
141,three_way,C,N1,3,1,Tw
142,cold_to_hot,T,N2,1,1,CtH
143,cold_to_hot,T,N2,2,1,CtH
144,cold_to_hot,T,N2,3,1,CtH
145,cold_to_hot,T,N1,1,1,CtH
146,cold_to_hot,T,N1,2,1,CtH
147,cold_to_hot,T,N1,3,1,CtH
148,cold_to_hot,T,L1,1,1,CtH
149,cold_to_hot,T,L1,2,1,CtH
150,cold_to_hot,T,L1,3,1,CtH
151,cold_to_hot,T,N1,1,2,CtH
152,cold_to_hot,T,N1,2,2,CtH
153,cold_to_hot,T,N1,3,2,CtH
154,three_way,C,L1,1,2,Tw
155,three_way,C,L1,2,2,Tw
156,three_way,C,L1,3,2,Tw
157,cold_to_hot,T,N2,1,2,CtH
158,cold_to_hot,T,N2,2,2,CtH
159,cold_to_hot,T,N2,3,2,CtH
160,three_way,C,N2,1,2,Tw
161,three_way,C,N2,2,2,Tw
162,three_way,C,N2,3,2,Tw
163,three_way,C,N1,1,2,Tw
164,three_way,C,N1,2,2,Tw
165,three_way,C,N1,3,2,Tw
166,cold_to_hot,T,L1,1,2,CtH
167,cold_to_hot,T,L1,2,2,CtH
168,cold_to_hot,T,L1,3,2,CtH
169,hot_to_cold,T,N2,1,1,HtC
170,hot_to_cold,T,N2,2,1,HtC
171,hot_to_cold,T,N2,3,1,HtC
172,hot_to_cold,T,N1,1,1,HtC
173,hot_to_cold,T,N1,2,1,HtC
174,hot_to_cold,T,N1,3,1,HtC
175,heat1,T,N10,1,2,Ht1
176,heat1,T,N10,2,2,Ht1
177,heat1,T,N10,3,2,Ht1
178,heat1,T,N1,1,2,Ht1
179,heat1,T,N1,2,2,Ht1
180,heat1,T,N1,3,2,Ht1
181,heat1,C,N1,1,2,Ht1
182,heat1,C,N1,2,2,Ht1
183,heat1,C,N1,3,2,Ht1
184,three_way,C,N10,1,2,Tw
185,three_way,C,N10,2,2,Tw
186,three_way,C,N10,3,2,Tw
187,cold_to_hot,T,N10,1,2,CtH
188,cold_to_hot,T,N10,2,2,CtH
189,cold_to_hot,T,N10,3,2,CtH
190,heat1,C,N10,1,2,Ht1
191,heat1,C,N10,2,2,Ht1
192,heat1,C,N10,3,2,Ht1
