sample_name,sample_title,organism,isolate,breed,isolation_source,collection_date,geo_loc_name,tissue,age,description,method,fileName
Ls.N1.C.tp1.1,s94_S131,Acropora millepora,Ls_N1_C_tp1_1,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N1;treatment=;replicate=1;timepoint=1,s94_S131.fastq.gz
Ls.N1.C.tp1.2,s95_S132,Acropora millepora,Ls_N1_C_tp1_2,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N1;treatment=;replicate=2;timepoint=1,s95_S132.fastq.gz
Ls.N1.C.tp1.3,s96_S133,Acropora millepora,Ls_N1_C_tp1_3,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N1;treatment=;replicate=3;timepoint=1,s96_S133.fastq.gz
Ls.N1.T.tp1.1,s97_S134,Acropora millepora,Ls_N1_T_tp1_1,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N1;treatment=;replicate=1;timepoint=1,s97_S134.fastq.gz
Ls.N1.T.tp1.2,s98_S135,Acropora millepora,Ls_N1_T_tp1_2,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N1;treatment=;replicate=2;timepoint=1,s98_S135.fastq.gz
Ls.N1.T.tp1.3,s99_S136,Acropora millepora,Ls_N1_T_tp1_3,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N1;treatment=;replicate=3;timepoint=1,s99_S136.fastq.gz
Ls.N10.C.tp1.1,s100_S137,Acropora millepora,Ls_N10_C_tp1_1,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N10;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N10;treatment=;replicate=1;timepoint=1,s100_S137.fastq.gz
Ls.N10.C.tp1.2,s101_S138,Acropora millepora,Ls_N10_C_tp1_2,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N10;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N10;treatment=;replicate=2;timepoint=1,s101_S138.fastq.gz
Ls.N10.C.tp1.3,s102_S139,Acropora millepora,Ls_N10_C_tp1_3,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=N10;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=N10;treatment=;replicate=3;timepoint=1,s102_S139.fastq.gz
Ls.L1.T.tp1.2,s104_S140,Acropora millepora,Ls_L1_T_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=L1;treatment=;replicate=2;timepoint=1,s104_S140.fastq.gz
