"Date Time, GMT+10:00","Temp, °C (LGR S/N: 9826669, SEN S/N: 9826669, LBL: temperature)","Intensity, lum/ft² (LGR S/N: 9826669, SEN S/N: 9826669, LBL: light intensity)"
12/10/18 10:20,26.488,0
12/10/18 10:25,29.352,168
12/10/18 10:30,28.357,200
12/10/18 10:35,27.862,256
12/10/18 10:40,27.37,192
12/10/18 10:45,27.272,256
12/10/18 10:50,27.272,320
12/10/18 10:55,27.37,224
12/10/18 11:00,27.272,93
12/10/18 11:05,27.272,200
12/10/18 11:10,27.468,448
12/10/18 11:15,27.468,272
12/10/18 11:20,27.468,336
12/10/18 11:25,27.468,184
12/10/18 11:30,27.468,272
12/10/18 11:35,27.468,336
12/10/18 11:40,27.567,224
12/10/18 11:45,27.665,320
12/10/18 11:50,27.764,464
12/10/18 11:55,27.764,352
12/10/18 12:00,27.764,304
12/10/18 12:05,27.764,416
12/10/18 12:10,27.764,320
12/10/18 12:15,27.862,384
12/10/18 12:20,27.764,176
12/10/18 12:25,27.665,192
12/10/18 12:30,27.567,45
12/10/18 12:35,27.567,256
12/10/18 12:40,27.665,256
12/10/18 12:45,27.567,224
12/10/18 12:50,27.567,102
12/10/18 12:55,27.468,100
12/10/18 13:00,27.468,90
12/10/18 13:05,27.468,104
12/10/18 13:10,27.468,176
12/10/18 13:15,27.567,216
12/10/18 13:20,27.567,216
12/10/18 13:25,27.567,144
12/10/18 13:30,27.468,103
12/10/18 13:35,27.567,128
12/10/18 13:40,27.468,55
12/10/18 13:45,27.468,58
12/10/18 13:50,27.567,98
12/10/18 13:55,27.567,97
12/10/18 14:00,27.567,152
12/10/18 14:05,27.567,152
12/10/18 14:10,27.567,83
12/10/18 14:15,27.567,109
12/10/18 14:20,27.468,96
12/10/18 14:25,27.468,0
12/10/18 14:30,27.468,0
12/10/18 14:35,27.764,136
12/10/18 14:40,27.862,117
12/10/18 14:45,27.764,74
12/10/18 14:50,27.665,119
12/10/18 14:55,27.665,123
12/10/18 15:00,27.665,106
12/10/18 15:05,27.567,78
