"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20494110, SEN S/N: 20494110, LBL: temp)","Intensity, lum/ft² (LGR S/N: 20494110, SEN S/N: 20494110, LBL: light)"
12/10/18 10:22,26.781,0
12/10/18 10:27,28.357,71
12/10/18 10:32,27.764,104
12/10/18 10:37,27.173,0
12/10/18 10:42,27.272,1
12/10/18 10:47,27.665,1
12/10/18 10:52,27.961,1
12/10/18 10:57,28.258,1
12/10/18 11:02,28.555,1
12/10/18 11:07,28.853,1
12/10/18 11:12,29.053,1
12/10/18 11:17,29.352,1
12/10/18 11:22,29.552,1
12/10/18 11:27,29.752,1
12/10/18 11:32,30.154,1
12/10/18 11:37,30.457,1
12/10/18 11:42,30.659,1
12/10/18 11:47,30.963,1
12/10/18 11:52,31.166,1
12/10/18 11:57,31.37,1
12/10/18 12:02,31.574,1
12/10/18 12:07,31.778,1
12/10/18 12:12,31.88,1
12/10/18 12:17,32.086,1
12/10/18 12:22,32.188,1
12/10/18 12:27,32.394,1
12/10/18 12:32,32.497,1
12/10/18 12:37,32.6,1
12/10/18 12:42,32.704,0
12/10/18 12:47,32.911,1
12/10/18 12:52,33.118,1
12/10/18 12:57,33.43,1
12/10/18 13:02,33.639,1
12/10/18 13:07,33.743,1
12/10/18 13:12,33.848,1
12/10/18 13:17,33.953,1
12/10/18 13:22,34.058,1
12/10/18 13:27,34.058,1
12/10/18 13:32,34.163,1
12/10/18 13:37,34.268,1
12/10/18 13:42,34.374,1
12/10/18 13:47,34.585,1
12/10/18 13:52,35.009,1
12/10/18 13:57,35.222,1
12/10/18 14:02,35.328,1
12/10/18 14:07,35.328,1
12/10/18 14:12,35.328,1
12/10/18 14:17,35.435,1
12/10/18 14:22,35.435,2
12/10/18 14:27,35.328,1
12/10/18 14:32,35.222,0
12/10/18 14:37,35.222,1
12/10/18 14:42,35.222,1
12/10/18 14:47,35.328,1
12/10/18 14:52,35.328,1
12/10/18 14:57,35.435,1
12/10/18 15:02,35.435,1
12/10/18 15:07,35.435,1
12/10/18 15:12,35.435,1
12/10/18 15:17,35.435,1
12/10/18 15:22,35.435,1
12/10/18 15:27,35.435,1
12/10/18 15:32,35.435,1
12/10/18 15:37,35.435,1
12/10/18 15:42,35.435,1
12/10/18 15:47,35.435,1
12/10/18 15:52,35.435,1
12/10/18 15:57,35.435,1
12/10/18 16:02,35.435,1
12/10/18 16:07,35.435,0
12/10/18 16:12,35.435,1
12/10/18 16:17,35.435,1
12/10/18 16:22,35.435,1
12/10/18 16:27,35.435,1
12/10/18 16:32,35.435,1
12/10/18 16:37,35.435,1
12/10/18 16:42,35.435,1
12/10/18 16:47,35.435,1
12/10/18 16:52,35.435,1
12/10/18 16:57,35.435,1
12/10/18 17:02,35.435,1
12/10/18 17:07,35.435,18
12/10/18 17:12,35.115,14
12/10/18 17:17,34.691,30
12/10/18 17:22,34.479,31
12/10/18 17:27,34.058,23
12/10/18 17:32,33.848,33
12/10/18 17:37,33.535,33
12/10/18 17:42,33.222,31
12/10/18 17:47,32.911,10
12/10/18 17:52,32.704,11
12/10/18 17:57,32.394,19
12/10/18 18:02,32.188,23
12/10/18 18:07,31.983,15
12/10/18 18:12,31.676,13
12/10/18 18:17,31.472,10
12/10/18 18:22,31.268,5
12/10/18 18:27,31.064,2
12/10/18 18:32,30.862,1
12/10/18 18:37,30.76,0
12/10/18 18:42,30.558,0
12/10/18 18:47,30.457,0
12/10/18 18:52,30.255,0
12/10/18 18:57,30.054,0
12/10/18 19:02,29.452,0
12/10/18 19:07,28.953,0
12/10/18 19:12,28.555,0
12/10/18 19:17,28.258,0
12/10/18 19:22,28.06,0
12/10/18 19:27,27.862,0
12/10/18 19:32,27.764,0
12/10/18 19:37,27.665,0
12/10/18 19:42,27.665,0
12/10/18 19:47,27.567,0
12/10/18 19:52,27.567,0
12/10/18 19:57,27.468,0
12/10/18 20:02,27.468,0
12/10/18 20:07,27.468,0
12/10/18 20:12,27.468,0
12/10/18 20:17,27.468,0
12/10/18 20:22,27.468,0
12/10/18 20:27,27.468,0
12/10/18 20:32,27.468,0
12/10/18 20:37,27.468,0
12/10/18 20:42,27.468,0
12/10/18 20:47,27.468,0
12/10/18 20:52,27.468,0
12/10/18 20:57,27.468,0
12/10/18 21:02,27.468,0
12/10/18 21:07,27.468,0
12/10/18 21:12,27.468,0
12/10/18 21:17,27.468,0
12/10/18 21:22,27.468,0
12/10/18 21:27,27.468,0
12/10/18 21:32,27.468,0
12/10/18 21:37,27.468,0
12/10/18 21:42,27.468,0
12/10/18 21:47,27.468,0
12/10/18 21:52,27.468,0
12/10/18 21:57,27.468,0
12/10/18 22:02,27.468,0
12/10/18 22:07,27.468,0
12/10/18 22:12,27.468,0
12/10/18 22:17,27.468,0
12/10/18 22:22,27.468,0
12/10/18 22:27,27.468,0
12/10/18 22:32,27.468,0
12/10/18 22:37,27.468,0
12/10/18 22:42,27.468,0
12/10/18 22:47,27.468,0
12/10/18 22:52,27.468,0
12/10/18 22:57,27.468,0
12/10/18 23:02,27.468,0
12/10/18 23:07,27.468,0
12/10/18 23:12,27.468,0
12/10/18 23:17,27.468,0
12/10/18 23:22,27.468,0
12/10/18 23:27,27.468,0
12/10/18 23:32,27.468,0
12/10/18 23:37,27.468,0
