gene	MMblack	MMred	MMgrey60	MMwhite	MMdarkred	MMgreenyellow	MMbrown	MMtan	MMlightgreen	MMgreen4	MMorange	assignment
Amillepora22266	0.13413667633140525	0.7280159856023236	0.1254833472371979	0.18549481861173384	-0.08634565735257138	0.40271222454324784	-0.20157716053171307	0.10732541625927527	0.02561257091425946	-0.5263410836087733	-0.43966582305869806	red
Amillepora03521	-0.047469341405911074	0.07368652964439387	0.13858524487797647	0.12984746422584484	0.05874500155046328	0.08046274967034085	0.1088029882636024	0.06475434417617898	0.10159167987244523	0.06503340954727731	0.09518595292285284	green4
Amillepora28431	-0.028246516785923954	0.4941933041746468	0.4594363908676154	0.4213325643855594	-0.06704632131101584	0.1461891747968859	-0.06682215387001186	-0.16268598395214598	0.06939500366084661	-0.27200704495495864	-0.0011400899808361809	white
Amillepora05277	0.012376126883726316	0.20545637970490704	0.33934356098595153	0.23801934904818633	0.06791208039603829	0.10541259965383384	0.01335564586103494	-0.10953598491721776	0.14126170495157464	0.03599374874597627	0.2395924801353401	red
Amillepora06614	0.10563670869245877	-0.12932523501911886	0.11283402160527217	0.021107648423433024	0.08081207052435513	-0.0636224933446862	0.09085662835557484	-0.08457755715640702	0.12520073349609126	0.24720512090218788	0.33506903798846904	green4
Amillepora28432	-0.07833137897965012	0.4671536129245293	0.4786850301445279	0.46607660867806094	-0.03412811429814142	0.1668522760836532	-0.02885921979891023	-0.12159065828556945	0.08112943584698878	-0.20234387191701064	0.025110701172166905	white
Amillepora28430	-0.04428901877313038	0.47593066439294024	0.46237389372157334	0.43369906568602035	-0.061375974617284	0.1496165802756435	-0.045203338173296456	-0.14282153251024818	0.057521089803747406	-0.2609519501196567	-5.388476850814207e-4	white
Amillepora05838	0.08476554295685361	-0.11456983750709103	0.020231311559158895	-0.038146565428929816	0.1163333740781663	-0.00504212164148414	0.2193909547173379	0.00691044320077315	0.08463295523249079	0.1826868854790687	0.2656391170437557	green4
Amillepora03522	-0.036317517206589385	0.0392219844715648	0.09864998815385526	0.11848104647906893	0.05137197157245743	0.06822758795287019	0.11581135113508263	0.10023565995940138	0.06906393767193057	0.06961551836701609	0.04188944321160132	green4
Amillepora28539	0.09188822442308443	-0.17957560457979244	0.24694944136209118	-0.0651746607639877	0.09347427045479227	-0.15170969515207533	0.07097379327930008	-0.25043508998877795	0.25343839034518745	0.17409690069120914	0.5730822948062875	orange
