file	all	nonSym	cladeC	cladeD
s73_S110_symbCounts.tsv	333685	327113	6426	146
s74_S111_symbCounts.tsv	300566	283824	16598	144
s75_S112_symbCounts.tsv	281145	265929	15068	148
s76_S113_symbCounts.tsv	310306	293931	16230	145
s77_S114_symbCounts.tsv	287393	262818	24410	165
s78_S115_symbCounts.tsv	297241	275819	21257	165
s79_S116_symbCounts.tsv	325395	322305	2984	106
s7_S45_symbCounts.tsv	322647	316218	6302	127
s80_S117_symbCounts.tsv	318001	316535	1356	110
s81_S118_symbCounts.tsv	315392	311365	3901	126
s82_S119_symbCounts.tsv	351917	346409	5366	142
s83_S120_symbCounts.tsv	314474	304336	9993	145
s84_S121_symbCounts.tsv	314522	300568	13813	141
s85_S122_symbCounts.tsv	277290	272561	4587	142
s86_S123_symbCounts.tsv	244975	240030	4815	130
s87_S124_symbCounts.tsv	254272	244306	9821	145
s88_S125_symbCounts.tsv	270711	267144	3459	108
s89_S126_symbCounts.tsv	281581	273567	7868	146
s8_S46_symbCounts.tsv	312652	293463	19029	160
s90_S127_symbCounts.tsv	269951	266352	3478	121
s91_S128_symbCounts.tsv	298997	282488	16359	150
s92_S129_symbCounts.tsv	294237	276625	17449	163
s93_S130_symbCounts.tsv	309149	292585	16407	157
s94_S131_symbCounts.tsv	255674	240540	14988	146
s95_S132_symbCounts.tsv	277045	266148	10756	141
s96_S133_symbCounts.tsv	345903	334512	11251	140
s97_S134_symbCounts.tsv	283798	273656	9997	145
s98_S135_symbCounts.tsv	230959	222364	8469	126
s99_S136_symbCounts.tsv	234814	223618	11050	146
s9_S47_symbCounts.tsv	312626	293540	18901	185
SRR1015298_symbCounts.tsv	1423456	1422004	855	597
SRR1015321_symbCounts.tsv	1427846	1424050	2210	1586
SRR1015323_symbCounts.tsv	1836367	1832143	2410	1814
SRR1015325_symbCounts.tsv	2943242	2935947	3927	3368
SRR1015327_symbCounts.tsv	3515578	3511024	2623	1931
SRR1015331_symbCounts.tsv	2723159	2721371	1060	728
SRR1015340_symbCounts.tsv	1224363	1220110	2329	1924
SRR1015344_symbCounts.tsv	603641	599666	2913	1062
SRR1015349_symbCounts.tsv	1227301	1225660	957	684
SRR1015354_symbCounts.tsv	1379623	1377719	1100	804
SRR1015358_symbCounts.tsv	3241237	3234946	3467	2824
SRR1206126_symbCounts.tsv	5459	4825	13	621
SRR1206127_symbCounts.tsv	258632	219115	924	38593
SRR1206128_symbCounts.tsv	171700	147113	486	24101
SRR1206129_symbCounts.tsv	17343	15480	63	1800
SRR1206130_symbCounts.tsv	56500	49398	224	6878
SRR1206131_symbCounts.tsv	204611	175351	647	28613
SRR1206132_symbCounts.tsv	19931	17007	2869	55
SRR1206133_symbCounts.tsv	49952	42822	7016	114
SRR1206134_symbCounts.tsv	112787	97437	12741	2609
SRR1206135_symbCounts.tsv	13594	11773	1783	38
SRR1206136_symbCounts.tsv	8420	7436	974	10
SRR1206137_symbCounts.tsv	10076	8223	1689	164
SRR1566164_symbCounts.tsv	4502994	4502764	119	111
SRR1566165_symbCounts.tsv	4718359	4718205	82	72
SRR1566166_symbCounts.tsv	4646480	4646262	122	96
SRR1566167_symbCounts.tsv	4653836	4653694	61	81
SRR1566168_symbCounts.tsv	4702586	4702411	84	91
SRR1566169_symbCounts.tsv	4135892	4135733	83	76
SRR1653608_symbCounts.tsv	2601164	2212066	387388	1710
SRR1653611_symbCounts.tsv	2502016	2165430	335047	1539
SRR1653613_symbCounts.tsv	1028254	886560	141267	427
SRR1653615_symbCounts.tsv	1667854	1494957	172282	615
SRR1654664_symbCounts.tsv	3452832	2921095	530687	1050
SRR1654665_symbCounts.tsv	5374708	4719164	654099	1445
SRR1703716_symbCounts.tsv	9648133	8469657	1175471	3005
SRR1703717_symbCounts.tsv	7912276	6631163	1278252	2861
SRR1703718_symbCounts.tsv	8797035	7368576	1425288	3171
SRR1706955_symbCounts.tsv	13793100	11348552	2439566	4982
SRR1812166_symbCounts.tsv	3266215	2431241	7535	827439
SRR1812167_symbCounts.tsv	3319009	2556180	18724	744105
SRR1812168_symbCounts.tsv	3228721	2462106	7019	759596
SRR1812169_symbCounts.tsv	2491838	2222004	7508	262326
SRR1812170_symbCounts.tsv	3506276	2925644	5076	575556
SRR1812171_symbCounts.tsv	3123931	2427620	544535	151776
SRR1812172_symbCounts.tsv	3745872	3100958	6042	638872
SRR1812173_symbCounts.tsv	3438531	2598459	51705	788367
SRR1812174_symbCounts.tsv	3110140	2463664	4138	642338
SRR1812175_symbCounts.tsv	2450898	1684796	7005	759097
SRR1812176_symbCounts.tsv	2565557	1809516	48032	708009
SRR1812177_symbCounts.tsv	2720232	1943983	7979	768270
SRR1812178_symbCounts.tsv	3411395	2588385	10488	812522
SRR1812179_symbCounts.tsv	2229893	1903389	4509	321995
SRR1812180_symbCounts.tsv	2654120	2178909	4784	470427
SRR1812181_symbCounts.tsv	2977366	2002921	805571	168874
SRR1812182_symbCounts.tsv	3450332	2759494	4865	685973
SRR1812183_symbCounts.tsv	1885747	1387292	35986	462469
SRR1812184_symbCounts.tsv	2993705	2106657	6413	880635
SRR1812185_symbCounts.tsv	2799730	1974732	5650	819348
SRR1812186_symbCounts.tsv	3145657	2478495	466136	201026
SRR1812187_symbCounts.tsv	4012087	3153695	806215	52177
SRR1812188_symbCounts.tsv	2825385	2184370	469535	171480
SRR1812189_symbCounts.tsv	3550157	2878747	6270	665140
SRR1812190_symbCounts.tsv	3717532	3023069	5116	689347
SRR1812191_symbCounts.tsv	3511790	2750796	757269	3725
SRR1812192_symbCounts.tsv	4156113	3050206	1099168	6739
SRR1812193_symbCounts.tsv	3661975	2897775	757903	6297
