file	all	nonSym	cladeC	cladeD
SRR1929617_symbCounts.tsv	334916	334588	247	81
SRR1929618_symbCounts.tsv	201155	200754	334	67
SRR1929619_symbCounts.tsv	196469	196191	217	61
SRR1929620_symbCounts.tsv	181645	181418	165	62
SRR1929621_symbCounts.tsv	381484	381141	260	83
SRR1929622_symbCounts.tsv	383916	383578	259	79
SRR1929623_symbCounts.tsv	188878	188694	125	59
SRR1929624_symbCounts.tsv	173808	173599	147	62
SRR1929625_symbCounts.tsv	194102	193889	147	66
SRR1929626_symbCounts.tsv	368044	367647	307	90
SRR1929627_symbCounts.tsv	389186	388815	284	87
SRR1929628_symbCounts.tsv	306187	305905	209	73
SRR1929629_symbCounts.tsv	360807	360519	208	80
SRR1929630_symbCounts.tsv	279752	279488	184	80
SRR1929631_symbCounts.tsv	330004	329689	230	85
SRR1929632_symbCounts.tsv	267753	267451	230	72
SRR1929633_symbCounts.tsv	418566	418254	241	71
SRR1929634_symbCounts.tsv	193109	192831	210	68
SRR2086157_symbCounts.tsv	13402646	11176955	2220855	4836
SRR2086158_symbCounts.tsv	13114581	10540035	2569517	5029
SRR2086159_symbCounts.tsv	12684168	9396006	3282509	5653
SRR2086160_symbCounts.tsv	13923915	10350732	3566397	6786
SRR2086161_symbCounts.tsv	15096292	11853761	3236360	6171
SRR2086162_symbCounts.tsv	13371919	10482885	2883172	5862
SRR2912590_symbCounts.tsv	138312	138248	52	12
SRR2912591_symbCounts.tsv	163078	163013	43	22
SRR2912592_symbCounts.tsv	154742	154677	46	19
SRR2912593_symbCounts.tsv	170125	170048	58	19
SRR2912594_symbCounts.tsv	334	333	1	0
SRR2912595_symbCounts.tsv	128679	128617	45	17
SRR2912596_symbCounts.tsv	166709	166641	47	21
SRR2912597_symbCounts.tsv	147046	146990	38	18
SRR2912598_symbCounts.tsv	222085	222012	51	22
SRR2912599_symbCounts.tsv	91929	91878	32	19
SRR2912600_symbCounts.tsv	192803	192713	65	25
SRR2912601_symbCounts.tsv	169695	169644	33	18
SRR2912602_symbCounts.tsv	87679	87637	35	7
SRR2912603_symbCounts.tsv	126250	126208	24	18
SRR2912604_symbCounts.tsv	101464	101418	30	16
SRR2912605_symbCounts.tsv	135220	135175	30	15
SRR2912606_symbCounts.tsv	169598	169542	34	22
SRR2912607_symbCounts.tsv	160420	160361	43	16
SRR3095777_symbCounts.tsv	21983853	15011868	6961420	10565
SRR3095778_symbCounts.tsv	21211231	14940451	6261842	8938
SRR3095779_symbCounts.tsv	22043082	15472402	6562360	8320
SRR3095780_symbCounts.tsv	21294115	13933876	7350498	9741
SRR3106384_symbCounts.tsv	17096986	17096798	83	105
SRR3106385_symbCounts.tsv	14248679	14248531	81	67
SRR3106386_symbCounts.tsv	15583222	15583084	87	51
SRR3106387_symbCounts.tsv	21253883	21253717	88	78
SRR3106388_symbCounts.tsv	18370853	18370703	91	59
SRR3106389_symbCounts.tsv	16366117	16365994	70	53
SRR3106390_symbCounts.tsv	18425783	18425580	82	121
SRR3106391_symbCounts.tsv	18359144	18358826	136	182
SRR3106392_symbCounts.tsv	18178542	18178322	91	129
SRR3106393_symbCounts.tsv	16471452	16471193	141	118
SRR3106394_symbCounts.tsv	15523664	15523433	123	108
SRR3106395_symbCounts.tsv	10848392	10848208	98	86
SRR3106396_symbCounts.tsv	18432227	18431951	133	143
SRR3106397_symbCounts.tsv	11930387	11929800	243	344
SRR3106398_symbCounts.tsv	13448008	13447706	130	172
SRR3106399_symbCounts.tsv	16718240	16717996	119	125
SRR3169421_symbCounts.tsv	232757	216959	15602	196
SRR3169422_symbCounts.tsv	472903	441660	30987	256
SRR3169423_symbCounts.tsv	388879	352388	36233	258
SRR3169425_symbCounts.tsv	729571	646462	82714	395
SRR3169426_symbCounts.tsv	640692	541838	98559	295
SRR3169518_symbCounts.tsv	570058	515104	54689	265
SRR3169527_symbCounts.tsv	496507	447254	48916	337
SRR3169528_symbCounts.tsv	630805	573435	56926	444
SRR3169529_symbCounts.tsv	260997	240662	20134	201
SRR3169530_symbCounts.tsv	479427	423803	55380	244
SRR3169531_symbCounts.tsv	423500	391061	32192	247
SRR3169532_symbCounts.tsv	480643	392992	87373	278
SRR3169533_symbCounts.tsv	452713	397173	54493	1047
SRR3169534_symbCounts.tsv	501765	471269	30238	258
SRR3169535_symbCounts.tsv	368736	335290	33184	262
SRR3169536_symbCounts.tsv	39230	36037	3092	101
SRR3169537_symbCounts.tsv	491766	421769	69701	296
SRR3169538_symbCounts.tsv	300385	278212	21951	222
SRR3169539_symbCounts.tsv	295471	250910	44361	200
SRR3169540_symbCounts.tsv	344750	318945	25601	204
SRR3169541_symbCounts.tsv	279489	262954	16321	214
SRR3182410_symbCounts.tsv	295403	274540	20654	209
SRR3182448_symbCounts.tsv	381656	342407	38979	270
SRR3182557_symbCounts.tsv	273515	249057	24229	229
SRR3182684_symbCounts.tsv	501750	459837	41635	278
SRR3182685_symbCounts.tsv	109594	97951	11491	152
SRR3182686_symbCounts.tsv	382584	350011	32320	253
SRR3182775_symbCounts.tsv	578290	492917	85074	299
SRR3182776_symbCounts.tsv	153071	137522	15345	204
SRR3182777_symbCounts.tsv	61752	57541	4040	171
SRR3182778_symbCounts.tsv	246010	224068	21744	198
SRR3182779_symbCounts.tsv	314403	283491	30663	249
SRR3182780_symbCounts.tsv	138327	128998	9160	169
SRR3182781_symbCounts.tsv	189786	177505	12110	171
SRR3182784_symbCounts.tsv	258942	240290	18473	179
SRR3182785_symbCounts.tsv	325094	287711	37125	258
SRR3182786_symbCounts.tsv	59534	55022	4392	120
SRR3182787_symbCounts.tsv	434218	395685	38309	224
SRR3182788_symbCounts.tsv	721330	670424	50647	259
SRR3182789_symbCounts.tsv	638018	590877	46793	348
SRR3182790_symbCounts.tsv	212679	197887	14602	190
SRR3182791_symbCounts.tsv	709738	639595	69858	285
SRR3182792_symbCounts.tsv	460401	430597	29584	220
SRR3182793_symbCounts.tsv	467753	431306	36215	232
SRR3182794_symbCounts.tsv	247290	232230	14867	193
SRR3316332_symbCounts.tsv	14026727	11712935	2307635	6157
SRR3316333_symbCounts.tsv	16128577	13164463	2957768	6346
SRR3316334_symbCounts.tsv	14592707	11978744	2606507	7456
SRR3316335_symbCounts.tsv	15882019	12821514	3052041	8464
SRR3316336_symbCounts.tsv	17148305	14262721	2877384	8200
SRR3316337_symbCounts.tsv	18600143	15940012	2653200	6931
SRR3316338_symbCounts.tsv	15973592	15971335	2047	210
SRR3316339_symbCounts.tsv	16468764	13851970	2609182	7612
SRR3316340_symbCounts.tsv	17324742	14810130	2507098	7514
SRR3316341_symbCounts.tsv	16185006	13801351	2376936	6719
SRR3316342_symbCounts.tsv	16145925	13481238	2657351	7336
SRR3316343_symbCounts.tsv	15726023	13064358	2653879	7786
SRR3622488_symbCounts.tsv	53790	50934	2765	91
SRR3622490_symbCounts.tsv	87665	83016	4552	97
SRR3622491_symbCounts.tsv	17738	9122	8517	99
SRR3622493_symbCounts.tsv	90495	85579	4805	111
SRR3622496_symbCounts.tsv	28185	4543	23468	174
SRR3622499_symbCounts.tsv	61510	59191	2219	100
SRR3622503_symbCounts.tsv	60377	58756	1525	96
SRR3622506_symbCounts.tsv	84637	82080	2456	101
SRR3622509_symbCounts.tsv	101359	95628	5621	110
SRR3622512_symbCounts.tsv	142432	132244	9966	222
SRR3622513_symbCounts.tsv	96113	91444	4463	206
SRR3622516_symbCounts.tsv	131267	126273	717	4277
SRR3622519_symbCounts.tsv	154793	148527	1383	4883
SRR3622522_symbCounts.tsv	113816	107561	293	5962
SRR3622526_symbCounts.tsv	54203	52950	178	1075
SRR3622529_symbCounts.tsv	109237	105398	3641	198
SRR3622532_symbCounts.tsv	59417	55709	3554	154
SRR3622536_symbCounts.tsv	132722	128470	4142	110
SRR3622539_symbCounts.tsv	124473	119197	5158	118
SRR3622542_symbCounts.tsv	42346	39105	3153	88
SRR3622545_symbCounts.tsv	82701	77722	1615	3364
SRR3622546_symbCounts.tsv	95383	91803	3472	108
SRR3622549_symbCounts.tsv	109385	105671	3605	109
SRR3622553_symbCounts.tsv	52403	49150	3158	95
SRR3622555_symbCounts.tsv	14330	9422	4810	98
SRR3622559_symbCounts.tsv	19797	2130	17558	109
SRR3622578_symbCounts.tsv	147107	139156	1596	6355
SRR3622588_symbCounts.tsv	76151	73413	2652	86
SRR3622592_symbCounts.tsv	81697	78304	3298	95
SRR3622595_symbCounts.tsv	101173	97101	3968	104
SRR3622598_symbCounts.tsv	143882	134072	9677	133
SRR3622603_symbCounts.tsv	153604	143646	9807	151
SRR3622606_symbCounts.tsv	151275	141068	10068	139
SRR3622609_symbCounts.tsv	116250	111800	614	3836
SRR3622612_symbCounts.tsv	154354	148655	399	5300
SRR3622613_symbCounts.tsv	103576	99634	439	3503
SRR3622616_symbCounts.tsv	118794	113990	611	4193
SRR3622619_symbCounts.tsv	172766	163004	298	9464
SRR3622622_symbCounts.tsv	115747	110703	282	4762
SRR3622626_symbCounts.tsv	204231	193654	418	10159
SRR3622629_symbCounts.tsv	160439	150829	9144	466
SRR3622632_symbCounts.tsv	199956	190530	9189	237
SRR3622636_symbCounts.tsv	108454	103059	5285	110
SRR3622639_symbCounts.tsv	169854	157465	12235	154
SRR3622642_symbCounts.tsv	144293	135029	9149	115
SRR3622645_symbCounts.tsv	97375	92327	237	4811
SRR3622646_symbCounts.tsv	146095	135747	10221	127
SRR3622649_symbCounts.tsv	87150	82322	4728	100
SRR3622652_symbCounts.tsv	227388	213537	13700	151
SRR3622655_symbCounts.tsv	223762	210066	13558	138
SRR3622659_symbCounts.tsv	166361	155553	10672	136
SRR3622662_symbCounts.tsv	103743	98521	5077	145
SRR3622666_symbCounts.tsv	145267	139156	5966	145
SRR3622669_symbCounts.tsv	109534	103422	5806	306
SRR3622672_symbCounts.tsv	25487	3316	22025	146
SRR3622676_symbCounts.tsv	96703	91326	1771	3606
SRR3622678_symbCounts.tsv	95183	92281	306	2596
SRR3622680_symbCounts.tsv	90129	87203	270	2656
SRR3622682_symbCounts.tsv	125747	121190	223	4334
SRR3622685_symbCounts.tsv	141226	136672	233	4321
SRR3622688_symbCounts.tsv	162924	157765	240	4919
SRR3622692_symbCounts.tsv	158978	148072	10778	128
SRR3622695_symbCounts.tsv	10535	3351	7091	93
SRR3622698_symbCounts.tsv	27800	21880	5818	102
SRR3622702_symbCounts.tsv	92820	88374	4351	95
SRR3622705_symbCounts.tsv	95587	91294	4174	119
SRR3622708_symbCounts.tsv	92191	88278	3816	97
SRR3622711_symbCounts.tsv	114302	110544	3652	106
SRR3622712_symbCounts.tsv	135827	127912	7650	265
SRR3622713_symbCounts.tsv	150624	142237	8236	151
SRR3622717_symbCounts.tsv	106676	99861	6689	126
SRR3622719_symbCounts.tsv	16478	12237	4112	129
SRR3622722_symbCounts.tsv	125866	120675	5082	109
SRR3622726_symbCounts.tsv	79340	76764	2468	108
SRR3622729_symbCounts.tsv	234826	223292	11382	152
SRR3622732_symbCounts.tsv	125204	120252	4834	118
SRR3622736_symbCounts.tsv	39009	37144	1661	204
SRR3622739_symbCounts.tsv	110356	105831	648	3877
SRR3622742_symbCounts.tsv	267074	253354	2685	11035
SRR3622745_symbCounts.tsv	206320	196821	9327	172
SRR3622746_symbCounts.tsv	193343	186082	417	6844
SRR3622749_symbCounts.tsv	101250	96902	261	4087
SRR3622752_symbCounts.tsv	106905	102327	358	4220
SRR3622755_symbCounts.tsv	139807	134315	5176	316
SRR3622771_symbCounts.tsv	223073	211733	11124	216
SRR3622774_symbCounts.tsv	102726	99309	3313	104
SRR3622777_symbCounts.tsv	218256	208656	9466	134
SRR3622781_symbCounts.tsv	164246	155027	9067	152
SRR3622784_symbCounts.tsv	212558	204359	8070	129
SRR3622787_symbCounts.tsv	23003	5732	17168	103
SRR3622790_symbCounts.tsv	149573	141113	8348	112
SRR3622791_symbCounts.tsv	118176	114130	3942	104
SRR3622794_symbCounts.tsv	120190	115105	4964	121
SRR3622797_symbCounts.tsv	180113	172858	7128	127
SRR3622800_symbCounts.tsv	18542	15655	2789	98
SRR3622841_symbCounts.tsv	193074	183344	9596	134
SRR3622851_symbCounts.tsv	213562	201255	12178	129
SRR3622854_symbCounts.tsv	268648	253877	14618	153
SRR3622857_symbCounts.tsv	79456	73896	5458	102
SRR3622861_symbCounts.tsv	55297	52609	2598	90
SRR3622864_symbCounts.tsv	34934	2915	31880	139
SRR3622867_symbCounts.tsv	47971	4879	42922	170
SRR3622870_symbCounts.tsv	117144	112258	4779	107
SRR3622872_symbCounts.tsv	78808	75353	3362	93
SRR3622874_symbCounts.tsv	75474	71809	3567	98
SRR3622877_symbCounts.tsv	71964	69431	2443	90
SRR3622880_symbCounts.tsv	117562	111632	5787	143
SRR3622884_symbCounts.tsv	43120	39388	3409	323
SRR3622887_symbCounts.tsv	105743	100247	959	4537
SRR3622890_symbCounts.tsv	28143	26881	119	1143
SRR3622894_symbCounts.tsv	87948	84326	182	3440
SRR3622897_symbCounts.tsv	66933	64413	281	2239
SRR3622900_symbCounts.tsv	98887	95098	3573	216
SRR3622904_symbCounts.tsv	43841	42240	1517	84
SRR3622907_symbCounts.tsv	62067	59535	2452	80
SRR3622910_symbCounts.tsv	19778	3832	15792	154
SRR401853_symbCounts.tsv	6497385	6496189	554	642
SRR401854_symbCounts.tsv	6783769	6782625	502	642
SRR401855_symbCounts.tsv	7447090	7445940	520	630
SRR401856_symbCounts.tsv	6763438	6762303	516	619
SRR401857_symbCounts.tsv	7339671	7338545	500	626
SRR401858_symbCounts.tsv	7118089	7117025	472	592
SRR401859_symbCounts.tsv	6933976	6932796	550	630
SRR401860_symbCounts.tsv	7135988	7134851	498	639
SRR401861_symbCounts.tsv	7237016	7235869	478	669
SRR4029951_symbCounts.tsv	3784928	3133044	4192	647692
SRR4029952_symbCounts.tsv	2953974	2426315	3922	523737
SRR4029953_symbCounts.tsv	3216089	2624350	3657	588082
SRR4029954_symbCounts.tsv	3282189	2629578	3813	648798
SRR4029955_symbCounts.tsv	4320549	3720648	3850	596051
SRR4029956_symbCounts.tsv	1894492	1571215	2635	320642
SRR4029957_symbCounts.tsv	3329903	3010815	2936	316152
SRR4029958_symbCounts.tsv	3586803	3061637	3645	521521
SRR4029959_symbCounts.tsv	3503777	2779858	4142	719777
SRR4029960_symbCounts.tsv	3152824	2279624	4593	868607
SRR4029961_symbCounts.tsv	2779474	1664674	4717	1110083
SRR4029962_symbCounts.tsv	3085638	2475700	3674	606264
SRR4029963_symbCounts.tsv	2921611	2424358	3262	493991
SRR4029964_symbCounts.tsv	4119534	3256308	4539	858687
SRR4029965_symbCounts.tsv	3642984	2795701	4397	842886
SRR4029966_symbCounts.tsv	3440713	2956825	3268	480620
SRR4029967_symbCounts.tsv	3831688	2577254	5289	1249145
SRR4029968_symbCounts.tsv	3823982	2735753	4832	1083397
SRR4029969_symbCounts.tsv	3759622	2841623	4503	913496
SRR4029970_symbCounts.tsv	3309098	2580962	4066	724070
SRR4029971_symbCounts.tsv	4103726	3028606	4948	1070172
SRR4029972_symbCounts.tsv	3884930	2624699	4994	1255237
SRR4029973_symbCounts.tsv	3837566	2760153	4909	1072504
SRR4029974_symbCounts.tsv	2543824	1725529	4105	814190
SRR4029975_symbCounts.tsv	4448537	3146779	5661	1296097
SRR4029976_symbCounts.tsv	4453244	3517401	4649	931194
SRR4029977_symbCounts.tsv	3653989	2794181	4415	855393
SRR4029978_symbCounts.tsv	4798114	3341414	5831	1450869
SRR4029979_symbCounts.tsv	3520443	2124318	5458	1390667
SRR4029980_symbCounts.tsv	3294235	2221113	4976	1068146
SRR4029981_symbCounts.tsv	3588525	2855209	4493	728823
SRR4029982_symbCounts.tsv	3272457	2509754	4104	758599
SRR4029983_symbCounts.tsv	3226433	2178922	4877	1042634
SRR4029984_symbCounts.tsv	3247488	2225116	4566	1017806
SRR4029985_symbCounts.tsv	3989439	3097448	4572	887419
SRR4029986_symbCounts.tsv	3361313	2246427	5076	1109810
SRR4029987_symbCounts.tsv	3449362	2768280	4010	677072
SRR4029988_symbCounts.tsv	3315404	2700077	3943	611384
SRR4029989_symbCounts.tsv	3526312	2555979	4810	965523
SRR4029990_symbCounts.tsv	3700014	2520765	5135	1174114
SRR4029991_symbCounts.tsv	3702692	2755185	4684	942823
SRR4029992_symbCounts.tsv	3121340	2492066	3736	625538
SRR4029993_symbCounts.tsv	2824201	2327936	3680	492585
SRR4029994_symbCounts.tsv	3137346	2498670	3928	634748
SRR4029995_symbCounts.tsv	3072332	2306199	4066	762067
SRR4029996_symbCounts.tsv	3024358	2639216	2933	382209
SRR4029997_symbCounts.tsv	2961012	1590011	5548	1365453
SRR4029998_symbCounts.tsv	2692963	2400959	2757	289247
SRR4029999_symbCounts.tsv	2903183	2278112	3988	621083
SRR4030000_symbCounts.tsv	3859552	3337609	3635	518308
SRR4030001_symbCounts.tsv	3633969	3103645	3573	526751
SRR5190737_symbCounts.tsv	877704	704400	172929	375
SRR5190738_symbCounts.tsv	938934	788190	150446	298
SRR5190739_symbCounts.tsv	654124	523684	130117	323
SRR5190740_symbCounts.tsv	594714	457610	136845	259
SRR5190741_symbCounts.tsv	829194	609100	219722	372
SRR5190742_symbCounts.tsv	589172	465727	123202	243
SRR5190743_symbCounts.tsv	642424	505034	137111	279
SRR5190744_symbCounts.tsv	583653	460213	123181	259
SRR5190745_symbCounts.tsv	568598	474225	94153	220
SRR5190746_symbCounts.tsv	669745	534526	130379	4840
SRR5190747_symbCounts.tsv	719998	570845	148841	312
SRR5190748_symbCounts.tsv	642435	529126	113041	268
SRR5190749_symbCounts.tsv	435901	352637	83053	211
SRR5190750_symbCounts.tsv	548840	436569	112033	238
SRR5190751_symbCounts.tsv	1238691	1010809	227470	412
SRR5190752_symbCounts.tsv	465068	379560	85297	211
SRR5190753_symbCounts.tsv	490994	373546	117212	236
SRR5190754_symbCounts.tsv	434250	338338	95661	251
SRR5190755_symbCounts.tsv	889314	705334	183600	380
SRR5190756_symbCounts.tsv	434315	375770	58346	199
SRR5190757_symbCounts.tsv	614098	499629	114213	256
SRR5190758_symbCounts.tsv	529463	445789	83464	210
SRR5190759_symbCounts.tsv	521446	393304	127857	285
SRR5190760_symbCounts.tsv	770187	594273	175547	367
SRR5190761_symbCounts.tsv	1141856	971311	170162	383
SRR5190762_symbCounts.tsv	809331	650866	158148	317
SRR5190763_symbCounts.tsv	737465	605055	132128	282
SRR5190764_symbCounts.tsv	665713	524529	140882	302
SRR5190765_symbCounts.tsv	745112	573878	170912	322
SRR5190766_symbCounts.tsv	396324	304680	91420	224
SRR5190767_symbCounts.tsv	651948	524844	126803	301
SRR5190768_symbCounts.tsv	1005457	812713	192363	381
SRR5190769_symbCounts.tsv	812730	652990	159431	309
SRR5190770_symbCounts.tsv	457772	349354	108151	267
SRR5190771_symbCounts.tsv	867043	675056	191643	344
SRR5190772_symbCounts.tsv	537523	438052	99224	247
SRR5190773_symbCounts.tsv	705075	538855	165911	309
SRR5190774_symbCounts.tsv	526320	445185	80883	252
SRR5190775_symbCounts.tsv	771909	663513	108084	312
SRR5190776_symbCounts.tsv	570529	465584	104687	258
SRR5190777_symbCounts.tsv	486917	396016	90694	207
SRR5190778_symbCounts.tsv	574847	439667	126427	8753
SRR5190779_symbCounts.tsv	587732	493106	94348	278
SRR5190780_symbCounts.tsv	622155	504287	117609	259
SRR5190781_symbCounts.tsv	768767	590051	178323	393
SRR5190782_symbCounts.tsv	893670	715621	177728	321
SRR5190783_symbCounts.tsv	576001	458340	117393	268
SRR5190784_symbCounts.tsv	567500	462444	104793	263
SRR5190785_symbCounts.tsv	597735	457381	140038	316
SRR5190786_symbCounts.tsv	747155	562219	184585	351
SRR5190787_symbCounts.tsv	1005946	795273	210268	405
SRR5190788_symbCounts.tsv	489349	376063	113014	272
SRR5190789_symbCounts.tsv	840819	650007	190449	363
SRR5190790_symbCounts.tsv	595838	473159	122395	284
SRR5190791_symbCounts.tsv	1357775	1142227	215096	452
SRR5190792_symbCounts.tsv	653922	502797	150834	291
SRR5190793_symbCounts.tsv	627818	471081	156434	303
SRR5190794_symbCounts.tsv	745122	541709	203071	342
SRR5190795_symbCounts.tsv	525038	433576	90258	1204
SRR5236067_symbCounts.tsv	17665820	15274058	2386327	5435
SRR5236068_symbCounts.tsv	22926239	19641117	3277514	7608
SRR5236069_symbCounts.tsv	19245789	16159682	3078738	7369
SRR5236070_symbCounts.tsv	13915752	11427729	2482487	5536
SRR5343281_symbCounts.tsv	218319	218174	89	56
SRR5343282_symbCounts.tsv	469428	469209	132	87
SRR5343283_symbCounts.tsv	321542	321345	125	72
SRR5343284_symbCounts.tsv	320980	320772	127	81
SRR5343285_symbCounts.tsv	428770	428567	130	73
SRR5343286_symbCounts.tsv	448702	448471	138	93
SRR5343287_symbCounts.tsv	285820	285622	124	74
SRR5343288_symbCounts.tsv	443220	443002	137	81
SRR5343289_symbCounts.tsv	545609	545414	121	74
SRR5343290_symbCounts.tsv	315719	315533	113	73
SRR5343291_symbCounts.tsv	323946	323735	130	81
SRR5343292_symbCounts.tsv	308419	308208	133	78
SRR5343293_symbCounts.tsv	299522	299331	116	75
SRR5343294_symbCounts.tsv	389385	389198	112	75
SRR5343295_symbCounts.tsv	262853	262684	105	64
SRR5343296_symbCounts.tsv	329207	329011	120	76
SRR5343297_symbCounts.tsv	479954	479730	131	93
SRR5343298_symbCounts.tsv	348541	348332	128	81
SRR5343299_symbCounts.tsv	474366	474169	128	69
SRR5343300_symbCounts.tsv	504968	504755	131	82
SRR5343301_symbCounts.tsv	480538	480321	138	79
SRR5343302_symbCounts.tsv	234323	234140	111	72
SRR5343303_symbCounts.tsv	271195	271003	112	80
SRR5343304_symbCounts.tsv	336468	336268	121	79
SRR5343305_symbCounts.tsv	350914	350726	117	71
SRR5343306_symbCounts.tsv	476229	476009	136	84
SRR5343307_symbCounts.tsv	320901	320725	112	64
SRR5343308_symbCounts.tsv	434211	433994	127	90
SRR5343309_symbCounts.tsv	394351	394167	114	70
SRR5343310_symbCounts.tsv	542733	542474	149	110
SRR5343311_symbCounts.tsv	382977	382779	129	69
SRR5343312_symbCounts.tsv	495541	495320	140	81
SRR5343313_symbCounts.tsv	469564	469347	133	84
SRR5343314_symbCounts.tsv	408785	408566	137	82
SRR5343315_symbCounts.tsv	466737	466521	128	88
SRR5343316_symbCounts.tsv	335189	334966	137	86
SRR5343317_symbCounts.tsv	258614	258448	110	56
SRR5343318_symbCounts.tsv	374350	374150	124	76
SRR5343319_symbCounts.tsv	395287	395070	127	90
SRR5343320_symbCounts.tsv	281893	281692	127	74
SRR5343321_symbCounts.tsv	462376	462177	123	76
SRR5343322_symbCounts.tsv	468084	467858	136	90
SRR5343323_symbCounts.tsv	490048	489839	134	75
SRR5343324_symbCounts.tsv	558441	558218	141	82
SRR5343325_symbCounts.tsv	571741	571511	140	90
SRR5343326_symbCounts.tsv	406571	406368	129	74
SRR5343327_symbCounts.tsv	360458	360253	125	80
SRR5343328_symbCounts.tsv	407449	407236	136	77
SRR5362791_symbCounts.tsv	4433166	3435246	6211	991709
SRR5362792_symbCounts.tsv	2080229	1519176	494469	66584
SRR5362793_symbCounts.tsv	1577909	1167788	3349	406772
SRR5362794_symbCounts.tsv	2545992	1735784	4779	805429
SRR5362795_symbCounts.tsv	2628962	1844374	4683	779905
SRR5362796_symbCounts.tsv	3785025	2426377	5682	1352966
SRR5362797_symbCounts.tsv	2111928	1563100	545266	3562
SRR5362798_symbCounts.tsv	3720688	2732883	983794	4011
SRR5362799_symbCounts.tsv	2604399	2122036	5408	476955
SRR5362800_symbCounts.tsv	3589860	2605859	8388	975613
SRR5362801_symbCounts.tsv	760985	760906	15	64
SRR5362802_symbCounts.tsv	3633181	2697002	825739	110440
SRR5362803_symbCounts.tsv	1640575	1346070	2660	291845
SRR5362804_symbCounts.tsv	5673987	4402362	1260524	11101
SRR5362805_symbCounts.tsv	2862232	2267552	4274	590406
SRR5362806_symbCounts.tsv	2522562	1915394	148334	458834
SRR5362807_symbCounts.tsv	3233431	2155621	524961	552849
SRR5362808_symbCounts.tsv	3231275	2641102	585324	4849
SRR5362809_symbCounts.tsv	2955919	2346880	605307	3732
SRR5362810_symbCounts.tsv	4691411	3584849	1101977	4585
SRR5362811_symbCounts.tsv	3521443	2608929	6536	905978
SRR5362812_symbCounts.tsv	2271014	1983629	4287	283098
SRR5362813_symbCounts.tsv	2331531	1820490	504654	6387
SRR5362814_symbCounts.tsv	3258860	2522071	730970	5819
SRR5362815_symbCounts.tsv	1898015	1410238	278522	209255
SRR5362816_symbCounts.tsv	2007647	1567015	3753	436879
SRR5362817_symbCounts.tsv	3242051	2559330	678732	3989
SRR5362818_symbCounts.tsv	2088873	1775215	311486	2172
SRR5362819_symbCounts.tsv	2618414	2346182	259524	12708
SRR5362820_symbCounts.tsv	1314328	878146	434300	1882
SRR5362821_symbCounts.tsv	2590296	2235883	352206	2207
SRR5362822_symbCounts.tsv	3172224	2596441	571151	4632
SRR5362823_symbCounts.tsv	1721426	1578536	140620	2270
SRR5362824_symbCounts.tsv	4082938	2985978	1092886	4074
SRR5362825_symbCounts.tsv	3528969	2491671	325558	711740
SRR5362826_symbCounts.tsv	2733152	2076231	4373	652548
SRR5362827_symbCounts.tsv	2501954	1979171	3772	519011
SRR5362828_symbCounts.tsv	5666819	4172299	7283	1487237
SRR5367050_symbCounts.tsv	2723143	2722453	357	333
SRR5367051_symbCounts.tsv	2591974	2591343	353	278
SRR5367052_symbCounts.tsv	2383712	2383097	343	272
SRR5367053_symbCounts.tsv	2185350	2173789	1127	10434
SRR5367054_symbCounts.tsv	2500874	2482505	1575	16794
SRR5367055_symbCounts.tsv	2667814	2666604	633	577
SRR5367056_symbCounts.tsv	2190081	2189429	344	308
SRR5367057_symbCounts.tsv	2209107	2208479	341	287
SRR5367058_symbCounts.tsv	2419976	2419330	343	303
SRR5367059_symbCounts.tsv	2756600	2751719	853	4028
SRR5367060_symbCounts.tsv	2696465	2694545	593	1327
SRR5367061_symbCounts.tsv	2600397	2594541	1753	4103
SRR5367062_symbCounts.tsv	2483203	2482520	366	317
SRR5367063_symbCounts.tsv	2568904	2568246	368	290
SRR5367064_symbCounts.tsv	2721471	2720811	358	302
SRR5367065_symbCounts.tsv	2537545	2534963	513	2069
SRR5367066_symbCounts.tsv	2596469	2594870	423	1176
SRR5367067_symbCounts.tsv	2522949	2521337	446	1166
SRR5374529_symbCounts.tsv	7939684	5601650	2329309	8725
SRR5374530_symbCounts.tsv	9306805	6904667	2392922	9216
SRR5374531_symbCounts.tsv	8729197	6424648	2295637	8912
SRR5374532_symbCounts.tsv	9966628	7044774	2910186	11668
SRR5374533_symbCounts.tsv	5782211	4049157	1726533	6521
SRR5374534_symbCounts.tsv	7336620	5065815	2264919	5886
SRR5374535_symbCounts.tsv	5421701	3810385	1606153	5163
SRR5374536_symbCounts.tsv	7558206	5642191	1908906	7109
SRR5374537_symbCounts.tsv	10431908	7599217	2821629	11062
SRR5374538_symbCounts.tsv	7632019	5539121	2086006	6892
SRR5374539_symbCounts.tsv	7515333	5889902	1619817	5614
SRR5374540_symbCounts.tsv	6175836	4901267	1270127	4442
SRR5374541_symbCounts.tsv	6313315	4870077	1438580	4658
SRR5374542_symbCounts.tsv	5310576	3651539	1653514	5523
SRR5374543_symbCounts.tsv	8776520	5978601	2789075	8844
SRR5374544_symbCounts.tsv	9070489	6576813	2486118	7558
SRR5374545_symbCounts.tsv	5799278	4215674	1577974	5630
SRR5374546_symbCounts.tsv	7000403	4589881	2402171	8351
SRR5374547_symbCounts.tsv	7706888	7705934	726	228
SRR5374548_symbCounts.tsv	5863384	5862964	273	147
SRR5374549_symbCounts.tsv	9529023	9528371	398	254
