gene	LD1	PCA.pa.1	coef	MeanDecreaseAccuracy	MeanDecreaseGini
Amillepora00079	2.481656656844456e-5	0.00894713558186587	0	-1.4705882352941177e-5	0.007850467289719632
Amillepora00083	3.0819306692325075e-4	0.02015204765964628	0	0.006846952428829707	3.322083630400861
Amillepora00086	1.1952581635257556e-5	0.00414529074000754	0	0	0
Amillepora00087	2.2403126424741727e-5	-0.009744768756506003	0	2.132007732670533e-4	0.045037673969960036
Amillepora00088	3.297102232264596e-5	0.0024762242814638717	0	-4.0540540540540545e-5	0.017568627450980392
Amillepora00090	1.8799087532113764e-4	0.007336517404613397	0	0	0
Amillepora00091	2.897363266231766e-5	0.008104350700461904	0	0	0
Amillepora00092	1.242483900737524e-6	0.0032836820899715406	0	-1.3986013986013986e-5	0.0067692307692307704
Amillepora00093	2.472576287391971e-7	-0.0026733941419246694	0	0	0
Amillepora00094	5.426095261015738e-5	0.0084337637459867415	0	1.45985401459854e-5	0.016153846153846154
Amillepora00095	7.38052373805106e-5	0.008406613106878636	0	0	0
Amillepora00096	6.44754915918414e-5	0.012373086459156251	0	0	0
Amillepora00097	1.945521902257486e-6	0.005315419321686754	0	8.759124087591242e-5	0.0039689922480620225
Amillepora00098	1.7972802755903323e-5	0.0028441613579529147	0	0	0
Amillepora00099	1.5558638964923365e-4	0.007268560605426967	0	-4.1666666666666665e-5	0.010158730158730308
Amillepora00100	1.3215127436759144e-6	0.00994786597860253	0	0	0
Amillepora00104	4.234547677531507e-5	0.009670075041242534	0	0	0
Amillepora00105	4.2366145296204613e-5	2.2127838081045865e-4	0	0	0
Amillepora00108	2.7078503890030467e-5	0.006314940352654125	0	0	0
Amillepora00109	1.6629098694367943e-6	0.003308750103058978	0	0	0
Amillepora00110	8.214394227076348e-5	0.004089469760251243	0	0	0
Amillepora00111	3.231811322769304e-5	0.0030227288986709538	0	0	0
Amillepora00113	6.512632816459467e-5	5.084306980074038e-4	0	0	0
Amillepora00114	9.822864065439859e-7	0.006171013925935949	0	0	0.003925925925926705
Amillepora00115	4.834636312734734e-5	0.009622919464568905	0	5.5944055944055945e-5	0.015781710914454267
Amillepora00116	1.8459799679811496e-5	0.004762173507011914	0	0	0
Amillepora00118	1.8977860741983657e-5	0.00960899586291315	0	1.3422818791946309e-5	0.003855918755958783
Amillepora00119	7.8515916519718e-5	0.005029787498052007	0	0	0
Amillepora00120	1.3710751411244066e-7	-0.0011686739336666664	0	0	0
Amillepora00122	5.64747442604765e-5	-0.004936150103766535	0	0	0
Amillepora00124	3.31330257385544e-5	0.0020036601610792515	0	0	0
Amillepora00126	8.274970152553682e-6	-2.1325451000200405e-4	0	0	0
Amillepora00127	2.0935716511675013e-5	0.004002225186832456	0	1.3986013986013986e-5	0.010181818181818186
Amillepora00128	3.2411065117080245e-5	-0.008413634847489549	0	0.001914595996755704	0.7970938329055525
Amillepora00129	2.488511810959262e-6	0.00140778745553266	0	1.4814814814814815e-5	0.03571690110757481
Amillepora00131	9.940790681039592e-5	-7.84175012177387e-4	0	0	0
Amillepora00132	4.467146813975602e-8	0.0026838539725905957	0	0	0.003971428571436434
Amillepora00134	1.724302861767686e-5	0.0030010645961365315	0	0	0
Amillepora00135	3.9016359633395537e-4	0.004504468007531245	0	0	0
Amillepora00136	4.4280619696025766e-5	0.0037028417914033085	0	0	0
Amillepora00137	4.197957431437514e-5	0.01417097839621621	0	0	0
Amillepora00138	2.4502462345522992e-5	0.00470580776628302	0	0	0.01207142857142857
Amillepora00140	7.216186273621065e-6	3.1720150559380627e-4	0	1.1851851851851852e-4	0.01881310663800406
Amillepora00141	3.8567326561713176e-5	0.019472923685488953	0	1.1940298507462687e-4	0.022771466819659567
Amillepora00143	2.7087858906657247e-5	6.256682886220145e-4	0	0	0
Amillepora00144	6.9256952602793385e-6	-2.1609358502144057e-4	0	-1.5037593984962406e-5	0.010909090909090913
Amillepora00145	1.4636499588995368e-5	0.004063683159644224	0	0	0
Amillepora00146	2.6245445723262668e-5	-0.012759062417118694	0	0	0
Amillepora00147	7.47946626347366e-7	0.010894168291087336	0	0	0
Amillepora00148	3.560442004703833e-5	0.01432998671905728	0	-2.8985507246376814e-5	0.012444444444444461
Amillepora00150	9.348844482464501e-6	-0.006426164429895335	0	1.1594202898550725e-4	0.032011035116960726
Amillepora00151	1.811874232681995e-4	0.006554179164195089	0	4.1501976284584975e-5	0.09114836120520343
Amillepora00152	7.251989010643867e-5	0.004206160554329593	0	1.45985401459854e-5	0.020509677419354846
Amillepora00153	2.9682882302799384e-6	0.013419847678966437	0	0	0
Amillepora00154	1.1048104224987962e-6	5.271384953892602e-4	0	0	0
Amillepora00155	4.276112010985331e-5	0.003253820738944372	0	0	0
Amillepora00156	1.6376620384890147e-4	0.004824958257489179	0	1.09375e-4	0.009290863974734975
Amillepora00160	4.730981879916735e-7	0.003946309492975821	0	0	0
Amillepora00161	2.3225863136442787e-5	0.011321179495408432	0	-1.5267175572519083e-5	0.01090909090909091
Amillepora00162	2.1424689337368396e-5	-7.863253233845659e-4	0	1.5873015873015872e-5	0.007500000000000003
Amillepora00163	6.293224519680143e-6	0.0011906740312556468	0	0	0
Amillepora00164	1.3832045489081449e-5	0.006431366680723545	0	0	0
Amillepora00165	9.099058293876849e-7	0.016251739795676668	0	-2.8985507246376814e-5	0.010971428571428575
Amillepora00166	7.135240559167386e-5	0.008984432006850045	0	0	0
Amillepora00167	2.682279713883692e-5	0.00611115383963457	0	0	0
Amillepora00168	4.35944853776274e-5	0.009192510276994317	0	0	0
Amillepora00169	8.706438393136481e-5	0.008417239388040594	0	0	0
Amillepora00170	4.7365833229444646e-6	0.012147812186324507	0	0	0
Amillepora00171	7.920744324998713e-6	0.007133055241492187	0	0	0
Amillepora00172	3.031969843953343e-4	0.009711612568153925	0	5.534471853257432e-5	0.030631868131868138
Amillepora00173	1.0486496559318125e-5	0.011118359840120572	0	0	0
Amillepora00174	5.43687059525551e-6	0.010065824854921874	0	0	0
Amillepora00175	2.373606796422108e-7	0.007516974100206195	0	0	0.006769230769230791
Amillepora00176	1.6741085531877243e-6	0.005602565709232274	0	0	0
Amillepora00177	1.1223849851409683e-5	-0.0010079172939178856	0	4.2553191489361704e-5	0.003818181818181813
Amillepora00178	5.030399408237282e-7	0.005258585770913532	0	0	0
Amillepora00179	6.051985883041259e-6	-0.006523130733502023	0	1.4492753623188407e-5	0.0048000000000000004
Amillepora00180	9.457742827492498e-7	0.00791805101568439	0	0	0
Amillepora00184	8.462560364189732e-7	0.005927568656164885	0	0	0
Amillepora00189	1.917640448459342e-4	0.002623309701544838	0	0	0.005333333333333334
Amillepora00190	8.181935623064269e-5	0.009149805993819279	0	0	0
Amillepora00192	6.010575736408871e-5	0.012766202999333377	0	0	0
Amillepora00193	1.3783250238267908e-4	0.0021207707084357876	0	0	0.0066666666666666645
Amillepora00196	4.577690644995383e-5	0.005503949473263456	0	1.3793103448275862e-5	0.010909090909090913
Amillepora00197	3.5420268326972316e-7	9.101537399638515e-5	0	0	0
Amillepora00198	4.242290366707628e-6	-0.0029648291038279293	0	0	0
Amillepora00199	1.6694858489766526e-5	0.0039578407608553525	0	0	0
Amillepora00224	3.366501676829144e-6	-0.003962711675389835	0	1.5288556507262225e-4	0.04776533358953011
Amillepora00225	1.7494676231836626e-5	0.0096422322177471	0	0	0
Amillepora00226	3.1266837172436275e-5	0.01052834074976637	0	0	0
Amillepora00227	3.1991018573224704e-4	6.791139844613182e-4	0	0	0
Amillepora00230	2.883764562776637e-4	-0.009322196530748594	0	0	0
Amillepora00231	1.1080575372969976e-5	-0.008396146738127663	0	0	0
Amillepora00232	1.6092407411996427e-5	0.004066240721596615	0	0	0
Amillepora00235	4.7148407639155636e-5	0.0032412536570395074	0	0	0
Amillepora00237	1.9406006531910822e-4	-7.728501937361169e-4	0	0	0
Amillepora00243	1.926634442473665e-4	0.009491397020588243	0	2.997305792546026e-5	0.007715580882446204
Amillepora00247	1.415284609777442e-5	-0.0010920180137911368	0	0	0
Amillepora00256	1.0561664958140395e-4	0.003530497828455562	0	0	0.0038823529411764783
Amillepora00258	4.0447291513759334e-5	0.00303095630021084	0	0	0
Amillepora00259	1.297919692428118e-4	0.004066095043218414	0	0	0
Amillepora00260	1.3449909146003177e-5	0.005470886752125861	0	0	0
Amillepora00262	4.701106495518691e-5	1.3127929895170813e-4	0	0	0
Amillepora00263	6.00800099950973e-6	-0.0022516049259379226	0	0	0
Amillepora00264	2.653799764731084e-4	1.894929008856828e-4	0	1.5267175572519083e-5	0.014822134387352576
Amillepora00265	5.783083643557413e-6	0.005584219921937098	0	4.3478260869565214e-5	0.01171875
Amillepora00266	1.6204995733985974e-6	0.009564568992426598	0	0	0
Amillepora00269	2.9839423052010615e-5	0.009118586702856623	0	0	0
Amillepora00270	6.202745995297929e-6	0.0023062202177006885	0	0	0
Amillepora00271	6.38253538932067e-5	0.009451561598221647	0	0	0.003428571428571429
Amillepora00272	1.982550676594114e-5	-3.463532534253768e-4	0	0	0
Amillepora00273	1.5868569317490117e-6	-0.0012476418220924244	0	0	0
Amillepora00274	2.9816214478150087e-6	0.0064877562271423075	0	0	0
Amillepora00275	2.809899378549368e-5	0.007480000035508248	0	0	0
Amillepora00276	3.594722479698739e-7	0.009613871697178216	0	0	0
Amillepora00277	4.542280052295175e-6	0.012554736789894116	0	0	0
Amillepora00278	1.3709998622645041e-5	-0.0045726334593604685	0	0	0
Amillepora00282	9.308517577181554e-5	0.007842443808239414	0	0	0
Amillepora00283	3.510485598504088e-4	0.001992026501167746	0	0	0
Amillepora00284	1.829861386166734e-6	0.0050032307887561975	0	0	0
Amillepora00285	5.611913710643242e-7	0.009045969726422779	0	0	0
Amillepora00286	2.2559771158896687e-5	0.0030102001769146216	0	0	0
Amillepora00288	7.5695128548097435e-6	-0.0022791892552236678	0	0	0.03418758642363297
Amillepora00289	2.0077712499600312e-6	-0.0035968014383634564	0	0	0.003333333333333334
Amillepora00290	7.004165223353491e-5	5.82931403236403e-4	0	0	0
Amillepora00291	6.517725917131424e-5	0.0056838847399741654	0	0	0
Amillepora00292	4.973776567194434e-5	0.008457221398105818	0	0	0
Amillepora00294	1.623782520677764e-4	0.011182059552945229	0	0	0
Amillepora00296	1.2729719166726992e-5	0.004292276808964655	0	0	0
Amillepora00297	1.281550715304782e-6	0.004553876219600397	0	0	0
Amillepora00299	6.996639738353984e-6	0.0062302002839838945	0	0	0
Amillepora00300	1.1163120151338103e-7	0.0038312921532330083	0	0	0
Amillepora00301	3.648944064663338e-6	7.709881183848132e-4	0	5.462504758279407e-5	0.01973631957704498
Amillepora00302	5.031321300069634e-7	0.0067607415971047795	0	4.511278195488722e-5	0.023899618112384075
Amillepora00305	1.2696332632333456e-5	0.01384913915787206	0	7.352941176470589e-5	0.029789995428138694
Amillepora00306	6.395059509485555e-5	0.003371505271746221	0	1.5267175572519083e-5	0.03180341880341876
Amillepora00307	1.590861645603965e-5	0.012209269776910565	0	0	0
Amillepora00308	6.007026798981839e-7	0.008967521459961755	0	0	0
Amillepora00309	2.985643176208675e-5	0.008397080038365378	0	0	0
Amillepora00311	4.651528354697724e-5	0.006764721347159395	0	0	0
Amillepora00312	5.4305707529684224e-5	0.00930116982644332	0	0	0
Amillepora00313	3.0434992698710408e-5	0.010869750815936724	0	0	0
Amillepora00314	3.118520481479643e-9	0.01215094815583469	0	-1.4492753623188407e-5	0.003799999999999997
Amillepora00315	7.653783494762176e-6	0.00782297329420216	0	7.546607009694259e-5	0.01736730947985973
Amillepora00316	1.1000816215753619e-4	0.007837406864195337	0	1.9047619047619022e-6	0.036458441558441565
Amillepora00317	2.137057987997496e-5	0.009557635981098721	0	0	0
Amillepora00318	5.133986570743284e-5	0.004945694422472974	0	0	0
Amillepora00320	1.9972126774651188e-6	0.0029618058372007016	0	0	0
Amillepora00321	7.32663007068442e-5	0.0055696372821032744	0	0	0.007555555555555543
Amillepora00323	2.905851234550507e-5	0.004460117040858266	0	0	0
Amillepora00324	1.1385846998624518e-6	0.011468517769843362	0	0	0
Amillepora00327	1.2475405866400915e-4	0.006492236740567101	0	0	0
Amillepora00329	2.6099161581035406e-6	-7.2439857854019e-4	0	0	0
Amillepora00330	9.867574900819694e-9	-0.0027316751699837548	0	0	0
Amillepora00331	6.119571554994513e-6	-0.0021129465709198068	0	0	0
Amillepora00332	6.281227762275564e-7	0.0018898675616984301	0	-1.324503311258278e-5	0.0038857142857144566
Amillepora00334	3.2549804458105324e-5	0.007869931794554088	0	0	0
Amillepora00337	5.5792736351134077e-5	0.0047938979395436765	0	0	0
Amillepora00338	1.2405047711985887e-4	0.002615739549051554	0	0	0
Amillepora00339	8.270166539191983e-6	0.009679702053355303	0	0	0
Amillepora00340	2.2169186724674373e-7	-0.004545565348676985	0	-1.4814814814814815e-5	0.03433995285759994
Amillepora00341	2.101004874936582e-5	0.004040075919494734	0	-1.6741247696762306e-5	0.01497159180672999
Amillepora00355	1.6870283430888926e-6	0.007035906010049709	0	0	0
Amillepora00356	2.949178363778593e-8	0.005303498856188041	0	0	0
Amillepora00362	8.457022074204981e-5	0.0011042602407425968	0	0	0
Amillepora00364	6.9920262378141e-5	0.0058100738661922965	0	7.692307692307693e-5	0.05146983478901401
Amillepora00383	1.6860067254263983e-8	0.004964677532532129	0	4.477611940298507e-5	0.04146351986883552
Amillepora00391	5.9576385083033596e-5	0.005117154571336673	0	0	0
Amillepora00394	7.413467292927473e-5	0.011037940826480587	0	5.797101449275363e-5	0.007298459009660519
Amillepora00395	4.096282418758728e-5	0.006782947037135923	0	0	0
Amillepora00399	8.33587781413879e-5	0.0033871222663022223	0	0	0
Amillepora00402	4.8072435023370854e-4	0.005836316390964651	0	0	0
Amillepora00406	5.2636706622106486e-5	0.0016499475710180147	0	0	0
Amillepora00411	5.6192067432779445e-6	0.00607409927615709	0	0	0
Amillepora00419	1.3803123106161583e-5	0.0019371135744179328	0	0	0
Amillepora00421	4.405334729861189e-6	0.0017730616345154374	0	7.900888265544647e-5	0.009
Amillepora00422	3.13165005402916e-6	0.0011294666591633222	0	0	0
Amillepora00425	4.652983250226884e-6	0.0032878839366499257	0	0	0
Amillepora00426	1.256830446526756e-5	0.004751930424846333	0	0	0
Amillepora00427	5.418758933859814e-6	0.0021928670636999167	0	0	0
Amillepora00428	3.802126724293288e-6	0.015360119190748719	0	5.83941605839416e-5	0.011733333333333339
Amillepora00431	5.8646965118895105e-6	0.00837611040762853	0	0	0
Amillepora00433	1.3982410351956629e-5	0.001216344298788552	0	0	0
Amillepora00434	1.01843536392321e-4	-0.006828559204110806	0	0	0
Amillepora00435	2.1380530081244837e-5	0.004331466992610655	0	2.8344671201814057e-5	0.022794871794871798
Amillepora00436	7.944099755170922e-5	-0.0019331699013623832	0	0	0.028934890326520985
Amillepora00438	6.635722319578193e-5	0.002711069371350702	0	-1.3986013986013986e-5	0.010980311437265073
Amillepora00440	1.2299603646504424e-5	0.005672744623145131	0	-6.896551724137931e-5	0.01678108255028343
Amillepora00441	3.4659760635072764e-7	-7.019228094837039e-4	0	0	0
Amillepora00443	8.979570311272632e-6	0.006089752949338495	0	0	0
Amillepora00444	1.3912048378126197e-5	-0.006673180618212354	0	0	0
Amillepora00445	2.3221339393179227e-5	-4.6047849741358965e-4	0	0	0.003962264150948642
Amillepora00446	1.6747921777177257e-4	0.009004210653346778	0	2.6143790849673204e-5	0.0052173913043478135
Amillepora00447	3.343864814824695e-6	0.013966228107137987	0	4.3165467625899284e-5	0.026355889724310688
Amillepora00450	3.598961050248272e-6	0.0024957601402332058	0	0	0
Amillepora00451	9.115702751856926e-6	0.004459616573892135	0	0	0
Amillepora00452	3.853476460241741e-6	-7.661736335738566e-4	0	0	0.0036000000000000016
Amillepora00454	2.2267408215293927e-5	0.0021547290660959627	0	0	0
Amillepora00457	7.05597499036188e-6	0.0016444970347290577	0	-2.962962962962963e-5	0.003801849948612528
Amillepora00458	4.7654608007007156e-5	0.0024911492910091705	0	0	0
Amillepora00459	5.647318486568038e-5	0.006607344047905954	0	-1.4285714285714285e-5	0.0036923076923076935
Amillepora00461	2.5778516984403546e-5	0.006790041189571183	0	0	0
Amillepora00466	8.274370160060338e-5	0.0014996820275548898	0	0	0
Amillepora00468	8.101661062893945e-5	0.003169244302272826	0	0	0
Amillepora00469	5.562935583595293e-6	0.0011043503942715063	0	0	0
Amillepora00471	3.7077694352684607e-5	0.007427920795085215	0	0	0
Amillepora00472	2.6933417007662845e-5	0.006134911302819726	0	0	0
Amillepora00475	1.1210903639194251e-4	0.014009998517030187	0	0	0
Amillepora00478	2.011824029809876e-4	0.0013556089567915053	-0.012517012496809485	0	0
Amillepora00480	3.9299262665323003e-7	0.006076617327354298	0	0	0.007870967741935488
Amillepora00490	6.428038587432623e-6	0.0027289268956326345	0	0	0
Amillepora00491	2.1444741392086324e-5	0.014764402705053971	0	0	0
Amillepora00492	1.1589540226545908e-5	0.008675402358064454	0	0	0
Amillepora00496	7.349645724318918e-8	0.011823906572643032	0	0	0
Amillepora00498	6.200895322248302e-5	0.0075802656001461195	0	0	0
Amillepora00499	3.381691906902452e-5	0.009609918621657679	0	0	0
Amillepora00501	3.4697317927031345e-6	0.011972798733184738	0	0	0
Amillepora00502	1.0362839636887088e-6	-6.762828227407595e-5	0	0	0
Amillepora00507	3.271997922521945e-6	0.002448909407698165	0	0	0
Amillepora00508	5.030447007127869e-5	0.006382812327920269	0	1.4184397163120568e-5	0.003962616822435223
Amillepora00509	7.996497282867945e-5	0.0033948340187078094	0	-5.882352941176471e-5	0.008357753357753978
Amillepora00510	2.7137898493739135e-5	0.006596147071147397	0	0	0
Amillepora00511	2.6158655069987115e-5	0.013661351642795458	0	2.9411764705882354e-5	0.0026666666666666666
Amillepora00512	8.586493777437645e-5	0.007730353868945436	0	0	0
Amillepora00514	2.851259660648898e-6	0.004819190201648864	0	0	0
Amillepora00515	1.1542069821047681e-4	0.012092246477257675	0	0	0
Amillepora00516	2.5831171581317026e-5	0.011363123284732343	0	0	0
Amillepora00518	2.938287177468964e-5	0.004274496792508705	0	0	0
Amillepora00519	1.528332895666044e-6	0.004436612937788724	0	0	0
Amillepora00521	5.320254037047785e-7	0.0014739420337786565	0	-2.8368794326241135e-5	8.260685569196653e-4
Amillepora00524	5.678763318336275e-9	-8.559883456622138e-4	0	0	0
Amillepora00526	2.209528347739555e-4	0.006480309525949477	0	0	0
Amillepora00527	1.7974590498434263e-5	6.289559613667705e-4	0	0	0
Amillepora00528	6.241935755135218e-6	0.00940591753092194	0	0	0
Amillepora00529	2.985129670032962e-7	0.007195832797579547	0	2.8368794326241135e-5	0.024445623342175076
Amillepora00533	1.4447381388587118e-5	0.007242987955989282	0	3.1007751937984497e-5	0.013779601748423772
Amillepora00535	4.371584560673265e-7	8.387646294057445e-4	0	0	0
Amillepora00537	1.760406254778781e-5	0.011775001730624875	0	0	0
Amillepora00540	9.912301360650375e-5	0.007457734624220012	0	0	0
Amillepora00541	9.209252931268891e-7	0.006365918191590014	0	0	0.021859798737847498
Amillepora00542	4.086928204509851e-5	0.008326950908088396	0	0	0
Amillepora00544	2.5007390018318985e-5	0.004913653957540156	0	0	0
Amillepora00545	2.6014527128914427e-5	8.300833304126535e-4	0	1.4184397163120568e-5	0.025691954022988503
Amillepora00546	3.595607777833908e-7	0.006052895947965531	0	0	0.007754326923079191
Amillepora00549	4.290057243087608e-5	0.003398383153378488	0	0	0
Amillepora00551	3.730864413441081e-5	0.00499993893520202	0	0	0
Amillepora00553	5.8002117839496534e-5	-0.001214499625669579	0	5.442176870748299e-5	0.07255408822331555
Amillepora00554	3.0668263859687613e-4	0.011363727203095106	0	0	0.010838709677419359
Amillepora00555	3.47316537073801e-4	0.0023804854941646796	0	1.4285714285714285e-5	0.003
Amillepora00556	1.3252951885853406e-6	0.0026237470348939728	0	0	0
Amillepora00560	1.9837188264212804e-4	0.0026065012172384926	0	0	0.015155201153310998
Amillepora00561	6.332257827098288e-5	0.007189341085491998	0	0	0.003975460122714821
Amillepora00562	2.500391637487995e-6	-0.0014198930191479998	0	0	0
Amillepora00564	2.0884368750232723e-5	0.0033452079676191482	0	0	0
Amillepora00566	7.355804185187922e-7	0.006245871983072237	0	0	0
Amillepora00568	2.474009999113257e-5	8.07794727791429e-5	0	0	0
Amillepora00569	4.078486349353447e-5	0.004624734279724579	0	0	0
Amillepora00570	8.154053256734737e-7	0.007042736306793272	0	0	0
Amillepora00571	4.382375741209284e-6	0.007872096522760852	0	0	0
Amillepora00572	6.652104102147454e-5	0.008318353308888693	0	2.8368794326241135e-5	0.0075
Amillepora00576	1.8041202936555233e-4	0.001124512609041411	0	-1.5384615384615384e-5	0.020160000000000004
Amillepora00579	1.136531468668219e-4	0.008706950068272526	0	0	0
Amillepora00580	1.381277606909993e-4	6.991542422978279e-4	0	2.702702702702703e-5	0.007359999999999999
Amillepora00582	1.6115315175166108e-5	0.004958634236900753	0	0	0
Amillepora00594	1.2931032843870556e-5	0.007445248570801852	0	0	0.003428571428571429
Amillepora00599	3.40024313514733e-5	0.0012037806041010673	0	0	0
Amillepora00609	6.75115484759013e-5	0.003684131473953516	0	1.1510791366906476e-4	0.017828787878787892
Amillepora00610	5.3637647412366535e-6	0.0037291484562944695	0	1.5384615384615384e-5	0.011099999999999994
Amillepora00611	1.7923870174932477e-5	0.0037060640069716305	0	0	0
Amillepora00612	6.354308409414868e-6	0.0030504118582510807	0	0	0
Amillepora00613	9.198487893658216e-5	9.647014282856195e-4	0	0	0.003961904761904748
Amillepora00614	8.477467460663371e-5	0.005613195364605648	0	0	0
Amillepora00615	1.6493454430376023e-4	0.005132736890990893	0	0	0
Amillepora00617	7.680820428179001e-6	0.0033108623980216234	0	0	0
Amillepora00618	1.677470648278467e-6	0.002030413623908305	0	0	0
Amillepora00626	7.739117331847069e-5	0.00577633596948831	0	2.8169014084507043e-5	0.03555769230769232
Amillepora00627	7.145577691974669e-5	0.003569662576142026	0	0	0
Amillepora00632	3.1041722418833874e-4	0.00837182183814756	0	1.4388489208633095e-5	0.015365620380837868
Amillepora00633	4.222035883610231e-6	0.002900190064141506	0	0	0
Amillepora00635	2.375398202889139e-6	0.003557161811020091	0	0	0
Amillepora00638	1.351042078960935e-7	0.0024354517457859195	0	0	0
Amillepora00642	2.1648654403224643e-5	0.0032028643728541223	0	0	0
Amillepora00644	1.2475523818944763e-8	0.005345743119834284	0	0	0
Amillepora00645	1.4040906890127458e-4	0.003936635947660973	0	0	0
Amillepora00646	3.502324364836619e-5	0.005145679455690757	0	0	0
Amillepora00647	1.8411505464403247e-5	0.00284748899083847	0	0	0
Amillepora00648	8.102522121048216e-6	0.0018969554736594837	0	0	0
Amillepora00649	2.2852973764536308e-5	0.005254200112310254	0	0	0
Amillepora00650	4.276987824349643e-6	-5.536003522901387e-4	0	0	0
Amillepora00651	5.5662474905200785e-6	0.013589403972406653	0	4.225352112676056e-5	0.007272727272727323
Amillepora00652	3.398783498868313e-5	0.009055888531527894	0	0	0
Amillepora00655	2.1153410647625357e-6	0.008026797219712847	0	0	0
Amillepora00657	1.6745834179808164e-8	0.007363149233146353	0	0	0
Amillepora00658	2.7486699575328174e-6	0.00823029487224996	0	0	0
Amillepora00659	2.287680497480173e-9	0.0012282194073345513	0	0	0
Amillepora00660	1.6763422169072678e-6	0.008559565201850972	0	0	0
