gene	LD1	PCA.pa.1	coef	MeanDecreaseAccuracy	MeanDecreaseGini
Amillepora00001	1.7129915889841346e-5	9.271674807610991e-4	0	4.2857142857142856e-5	0.025973775017253273
Amillepora00003	1.7255020194092546e-5	0.010256638694504912	0	0	0
Amillepora00004	9.838917999497399e-6	0.0011102692091332998	0	0	0
Amillepora00005	4.974137049978066e-6	0.007761615840440607	0	0	0
Amillepora00006	3.13667926643671e-5	0.004444300516232786	0	0	0
Amillepora00008	7.058747447183738e-5	0.007200711993463036	0	0	0
Amillepora00009	5.6037308024753706e-5	0.009057315263310661	0	0	0
Amillepora00011	9.779633330932956e-5	8.089227042902379e-4	0	-2.8890279516061744e-5	0.027353374512674427
Amillepora00013	4.9021876847324015e-6	-0.010018176138896887	0	1.229599821149117e-5	0.00446330585214217
Amillepora00014	2.0836395556596492e-5	0.00425966599857176	0	0	0
Amillepora00015	1.8016018977805087e-4	0.005584912242683273	0	0	0
Amillepora00017	2.034366865022685e-5	0.007159993716538817	0	0	0
Amillepora00019	1.1694096250765277e-5	0.003144709452825623	0	0	0
Amillepora00020	1.2352810400652716e-10	0.001983201238071787	0	0	0
Amillepora00022	3.119963822559785e-7	-8.069587666275932e-4	0	0	0.007280215464033218
Amillepora00024	1.1183681414678764e-4	0.00492604003782041	0	0	0
Amillepora00025	4.128591586188081e-5	0.001647234955946019	0	0	0
Amillepora00027	1.0482149579744658e-5	0.005044887477597057	0	0	0
Amillepora00029	1.9205691725588766e-4	0.0072960136537313135	0	0	0.00923076923076923
Amillepora00032	1.6868520300434811e-6	0.008694465991712653	0	0	0
Amillepora00033	7.539682673287815e-5	0.009869291322690984	0	1.0294117647058823e-4	0.015487882950742061
Amillepora00034	2.6910985193198077e-5	0.014561201405644725	0	0	0
Amillepora00035	1.0234229026660013e-5	0.011997086630694992	0	2.7972027972027973e-5	0.0037777777777777788
Amillepora00036	2.728803214114943e-6	0.006104845261178375	0	0	0
Amillepora00037	2.6874439374438807e-5	0.005764355586726815	0	0	0
Amillepora00038	1.1287051286797023e-5	0.00831117873277616	0	0	0
Amillepora00039	7.861739950118876e-6	0.010666933563352564	0	0	0
Amillepora00043	4.3023480093469216e-5	0.007635327942917789	0	1.5384615384615384e-5	0.007373127694564175
Amillepora00044	2.2950178080511507e-5	0.011610165670916606	0	0	0
Amillepora00045	8.34560340253587e-5	0.00979847644493289	0	0	0
Amillepora00046	8.121798156713447e-7	0.003643282798158811	0	0	0
Amillepora00047	3.550842597772455e-5	0.002806383289605753	0	0	0
Amillepora00048	2.5903768680996268e-5	0.004453655442711884	0	0	0
Amillepora00049	1.3420098426506102e-6	3.5319911788711614e-4	0	0	0
Amillepora00051	8.446892079500996e-6	0.006412624048412728	0	0	0
Amillepora00052	1.3794104426552773e-5	0.008358706145863443	0	0	0
Amillepora00055	2.723330037976524e-7	0.01137437778798659	0	1.45985401459854e-5	0.003750000000000014
Amillepora00056	1.3964745068833958e-6	0.005377842857802873	0	0	0
Amillepora00057	2.3250397262404805e-5	0.00795536743207019	0	5.882352941176471e-5	0.008185256410256386
Amillepora00058	7.999496371175897e-5	0.008553538178514685	0	0	0
Amillepora00059	1.4466968091808336e-7	0.003637809247623043	0	0	0
Amillepora00060	1.310151018360935e-7	0.007541666443646374	0	2.73972602739726e-5	0.027284188034188035
Amillepora00063	1.2256642937176113e-5	0.006566429480520509	0	0	0
Amillepora00064	4.62223991777345e-7	0.007251354399266548	0	0	0
Amillepora00065	7.532596502204376e-7	0.004794683335589715	0	0	0
Amillepora00066	2.0678935414394012e-5	0.0033468633146257615	0	1.4388489208633095e-5	0.003333333333333334
Amillepora00067	4.39602131110127e-5	0.004104037758328687	0	-2.8985507246376814e-5	0.0067692307692307704
Amillepora00069	7.678122745647771e-5	-0.00674249219283733	0	0	0
Amillepora00070	1.167255016468337e-4	-0.0042161325662121215	0	0	0
Amillepora00071	7.368394832577616e-5	0.010460074101056411	0	0	0
Amillepora00072	3.5185189893234218e-6	0.009648079177854015	0	0	0
Amillepora00074	1.9249621899480137e-5	0.008500463389227018	0	-1.5267175572519083e-5	0.0026666666666666666
Amillepora00075	8.490652592467977e-7	0.006824663075004888	0	-3.0534351145038166e-5	0.0039722222222222285
Amillepora00076	2.282617374370015e-5	0.007004550116785722	0	0	0.003971428571428589
Amillepora00077	2.5213375222872962e-5	0.009167629376685965	0	9.513791491351098e-5	0.06445832449323555
