gene	lassoCoef	MeanDecreaseAccuracy	MeanDecreaseGini
Amillepora16981	0	1.4388489208633095e-5	0.016153846153846154
Amillepora16989	0	0	0
Amillepora16990	0	0	0
Amillepora16993	0	0	0
Amillepora16999	0	0	0
Amillepora16997	0	-4.2857142857142856e-5	0.0095463075693292
Amillepora16996	0	-1.3422818791946309e-5	0.021620668220675838
Amillepora16998	0	0	0
Amillepora16992	0	0	0.0035555555555555553
Amillepora16994	0	4.296286507202326e-5	0.013815395379393351
Amillepora16995	0	-2.9411764705882354e-5	0.014999553662002256
Amillepora17006	0	0	0
Amillepora17005	0	0	0
Amillepora17002	0	0	0
Amillepora17007	0	1.7808219178082192e-4	0.023926156460855906
Amillepora17009	0	0	0.007
Amillepora17010	0	0	0.003913255051315104
Amillepora17001	0	2.7210884353741494e-5	0.011012569130216207
Amillepora17004	0	0	0
Amillepora17008	0	0	0
Amillepora17016	0	1.5151515151515151e-5	0.003968253968253976
Amillepora17021	0	2.7252159605100782e-5	0.029454799102901136
Amillepora17018	0	0	0.02505681818181818
Amillepora17017	0	0	0
Amillepora17015	0	0	0
Amillepora17013	0	0	0
Amillepora17014	0	0	0
Amillepora17012	0	0	0
Amillepora17019	0	0	0
Amillepora17025	0	0	0
Amillepora17022	0	1.3513513513513515e-5	0.0076666666666666715
Amillepora17023	0	0	0
Amillepora17026	0	0	0
Amillepora17029	0	0	0
Amillepora17036	0	-2.877697841726619e-5	0.007589743589743591
Amillepora17037	0	5.797101449275363e-5	0.015779220779220778
Amillepora17035	0	0	0
Amillepora17033	0	0	0
Amillepora17034	0	0	0
Amillepora17031	0	-1.4814814814814815e-5	0.010909090909090906
Amillepora17044	0	0	0
Amillepora17041	0	0	0
Amillepora17040	0	-1.5267175572519083e-5	0.007326086956521742
Amillepora17038	0	0	0
Amillepora17042	0	0	0
Amillepora17039	0	0	0
Amillepora17043	0	0	0
Amillepora17045	0	0	0
Amillepora17046	0	0	0
Amillepora17049	0	8.218347862183479e-5	0.01745477855182753
Amillepora17048	0	4.411764705882353e-5	0.035266581086863494
Amillepora17058	0	0	0
Amillepora17054	0	0	0
Amillepora17057	0	0	0
Amillepora17055	0	0	0
Amillepora17050	0	0	0
Amillepora17051	0	0	0
Amillepora17053	0	2.73972602739726e-5	0.01552941176470589
Amillepora17060	0	0	0
Amillepora17064	0	2.8169014084507043e-5	0.003915692737995641
Amillepora17066	0	0	0
Amillepora17061	0	-2.877697841726619e-5	0.0036000000000000016
Amillepora17065	0	0	0
Amillepora17067	0	0	0
Amillepora17062	0	1.4705882352941177e-5	0.003
Amillepora17068	0	0	0
Amillepora17069	0	0	0
Amillepora17072	0	0	0
Amillepora17070	0	0	0
Amillepora17080	0	-1.4705882352941177e-5	0.007111111111111111
Amillepora17077	0	0	0
Amillepora17079	0	0	0
Amillepora17076	0	0	0
Amillepora17074	0	0	0
Amillepora17075	0	0	0
Amillepora17073	0	0	0
Amillepora17084	0	0	0.019592504425321438
Amillepora17088	0	0	0
Amillepora17087	0	0	0
Amillepora17086	0	0	0
Amillepora17091	0	0	0
Amillepora17083	0	2.976790650174406e-5	0.02338073288980195
Amillepora17081	0	0	0
Amillepora17089	0	0	0
Amillepora17090	0	0	0
Amillepora17085	0	0	0.0108767165090035
Amillepora17100	0	1.3333333333333335e-5	0.002666666666666667
Amillepora17101	0	0	0
Amillepora17096	0	0	0
Amillepora17095	0	0	0
Amillepora17097	0	0	0
Amillepora17106	0	0	0
Amillepora17110	0	9.943241538784949e-5	0.05504630654444054
Amillepora17105	0	-4.195804195804196e-5	0.013877793405219564
Amillepora17102	0	5.5172413793103446e-5	0.036643704121965
Amillepora17107	0	0	0
Amillepora17109	0	0	0
Amillepora17117	0	0	0
Amillepora17115	0	0	0
Amillepora17116	0	0	0
Amillepora17114	0	0	0
Amillepora17113	0	4.316990440949737e-5	0.009523809523809525
Amillepora17111	0	0	0
Amillepora17112	0	0	0
Amillepora17119	0	0	0
Amillepora17129	0	1.4814814814814815e-5	0.02948954836729225
Amillepora17131	0	3.007518796992481e-5	0.003966942148760325
Amillepora17127	0	0	0
Amillepora17124	0	0	0
Amillepora17122	0	0	0.017334777211152272
Amillepora17128	0	0	0
Amillepora17136	0	4.580152671755725e-5	0.016618344141309506
Amillepora17140	0	0	0
Amillepora17146	0	0	0
Amillepora17144	0	0	0
Amillepora17143	0	0	0
Amillepora17141	0	2.891321978913219e-4	0.1815623394706609
Amillepora17142	0	0	0
Amillepora17147	0	0	0
Amillepora17156	0	0	0
Amillepora17153	0	0	0
Amillepora17154	0	-5.747041975064163e-7	0.044749798894054275
Amillepora17150	0	0	0
Amillepora17161	0	0	0
Amillepora17159	0	0	0
Amillepora17158	0	0	0.00387543859649125
Amillepora17187	0	-2.7586206896551723e-5	0.016904347826086963
Amillepora17162	0	0	0
Amillepora17189	0	0	0
Amillepora17200	0	0	0
Amillepora17203	0	0	0
Amillepora17204	0	0	0
Amillepora17208	0	0	0
Amillepora17212	0	0	0
Amillepora17218	0	0	0
Amillepora17222	0	-2.9304422498926577e-5	0.03179159706959706
Amillepora17241	0	0	0.008
Amillepora17269	0	0	0
Amillepora17270	0	0	0
Amillepora17278	0	0	0
Amillepora17273	0	0	0.0026666666666666666
Amillepora17287	0	-1.5384615384615384e-5	0.003916860916860969
Amillepora17295	0	0	0
Amillepora17311	0	0	0
Amillepora17315	0	0	0
Amillepora17317	0	0	0
Amillepora17319	0	0	0
Amillepora17314	0	0	0
Amillepora17320	0	0	0
Amillepora17327	0	0	0
Amillepora17331	0	0	0
Amillepora17339	0	0	0
Amillepora17340	0	0	0
Amillepora17366	0	2.8985507246376814e-5	0.01224
Amillepora17362	0	0	0.02113015873015875
Amillepora17373	0	0	0
Amillepora17376	0	0	0
Amillepora17374	0	0	0
Amillepora17380	0	0	0
Amillepora17387	0	0	0
Amillepora17392	0	0	0
Amillepora17396	0	5.83941605839416e-5	0.01569449838187701
Amillepora17403	0	0	0
Amillepora17397	0	1.3888888888888888e-5	0.013
Amillepora17405	0	0	0.007627906976744186
Amillepora17472	0	0	0
Amillepora17492	0	0	0
Amillepora17493	0	0	0
Amillepora17504	0	0	0
Amillepora17506	0	0	0
Amillepora17505	0	0	0
Amillepora17507	0	0	0
Amillepora17500	0	0	0
Amillepora17590	0	0	0
Amillepora17606	0	0	0
Amillepora17690	0	0	0
Amillepora17714	0	0	0
Amillepora17711	0	1.0181704260651627e-4	0.028177431259421012
Amillepora17715	0	4.411764705882353e-5	0.011130376344086045
Amillepora17725	0	0	0
Amillepora17719	0	0	0
Amillepora17726	0	-2.877697841726619e-5	0.0033333333333333357
Amillepora17728	0	9.060880639828008e-5	0.023722248816676596
Amillepora17727	0	0	0.003733333333333334
Amillepora17730	0	0	0
Amillepora17754	0	0	0
Amillepora17749	0	-1.4388489208633095e-5	0.033400395346183026
Amillepora17756	0	0	0
Amillepora17755	0	0	0
Amillepora17757	0	0	0
Amillepora17766	0	0	0
Amillepora17763	0	4.411764705882353e-5	0.01711111111111111
Amillepora17762	0	0	0
Amillepora17759	0	7.518796992481203e-5	0.01689999999999999
Amillepora17764	0	0	0
Amillepora17771	0	4.081632653061224e-5	0.021589417989417988
Amillepora17773	0	0	0.015000000000000006
Amillepora17767	0	0	0
Amillepora17772	0	0	0.01098855666297689
Amillepora17770	0	0	0
Amillepora17778	0	1.4388489208633095e-5	0.0037777777777777788
Amillepora17783	0	0	0
Amillepora17782	0	0	0
