Run,BioProject,Reference,Reference_year,Reference_DOI,Organism,Developmental_stage,Project_type,Treatment,Treat_description,Raw_counts,Gene_counted
SRR1206136,PRJNA242821,(Palumbi et al. 2014),2014,https://doi.org/10.1126/science.1251336,Acropora hyacinthus complex sp. E JTL-2012,adult,temperature_resilience,MVP_to_MVP,MVP_to_MVP,5305968,1124821
SRR1206137,PRJNA242821,(Palumbi et al. 2014),2014,https://doi.org/10.1126/science.1251336,Acropora hyacinthus complex sp. E JTL-2012,adult,temperature_resilience,MVP_to_MVP,MVP_to_MVP,20435133,3037249
SRR1653615,PRJNA266455,(Rosic et al. 2014),2014,https://doi.org/10.1186/1471-2164-15-1052,Acropora aspera,adult,temp,control,ambient 24 hrs,4446938,2097660
SRR1654665,PRJNA266455,(Rosic et al. 2014),2014,https://doi.org/10.1186/1471-2164-15-1052,Acropora aspera,adult,temp,control,ambient 24 hrs,19865403,6787560
SRR1653613,PRJNA266455,(Rosic et al. 2014),2014,https://doi.org/10.1186/1471-2164-15-1052,Acropora aspera,adult,temp,control,ambient 72 hrs,2645729,1247805
SRR1654664,PRJNA266455,(Rosic et al. 2014),2014,https://doi.org/10.1186/1471-2164-15-1052,Acropora aspera,adult,temp,control,ambient 72 hrs,11599658,4195585
SRR1653611,PRJNA266455,(Rosic et al. 2014),2014,https://doi.org/10.1186/1471-2164-15-1052,Acropora aspera,adult,temp,heat,6DegreeOverAmbient 24 hrs,27588956,3174715
SRR1653608,PRJNA266455,(Rosic et al. 2014),2014,https://doi.org/10.1186/1471-2164-15-1052,Acropora aspera,adult,temp,heat,6DegreeOverAmbient 72 hrs,24416729,3330560
SRR1703716,PRJNA269992,"(Kaniewska, Chan, et al. 2015)",2015,https://doi.org/10.1371/journal.pone.0139223,Acropora millepora,adult,pH,control,preindusctrial,39559337,11624569
SRR1703717,PRJNA269992,"(Kaniewska, Chan, et al. 2015)",2015,https://doi.org/10.1371/journal.pone.0139223,Acropora millepora,adult,pH,control,present day,33736675,9144131
SRR1706955,PRJNA269992,"(Kaniewska, Chan, et al. 2015)",2015,https://doi.org/10.1371/journal.pone.0139223,Acropora millepora,adult,pH,low_pH,RCP4.5,61610173,15865254
SRR1703718,PRJNA269992,"(Kaniewska, Chan, et al. 2015)",2015,https://doi.org/10.1371/journal.pone.0139223,Acropora millepora,adult,pH,low_pH,RCP8.5,34500222,10192384
SRR1843797,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,gamete,light,not_done_yet,Gamete,13749804,6904209
SRR1842722,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,NewMoon12pm,29550734,10402128
SRR1842771,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,NewMoon6pm,27369348,10441655
SRR1842773,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,NewMoon12am,28559116,10817918
SRR1842776,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,FullMoon12pm,27134624,9257548
SRR1842777,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,FullMoon6pm,25268154,9756561
SRR1842828,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,FullMoon12am,23570631,9140975
SRR1853176,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0615PM_Ambient_16/11/2011,16170210,7921247
SRR1853185,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0615PM_Dark_16/11/2011,15958231,9290821
SRR1853188,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0615PM_Light_16/11/2011,16556895,9321993
