Run,BioProject,Reference,Reference_year,Reference_DOI,Organism,Developmental_stage,Project_type,Treatment,Treat_description,Raw_counts,Gene_counted
SRR835893,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,viral mimic,5318211,1989490
SRR835895,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,viral mimic,2700305,1110812
SRR835896,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,viral mimic,1580216,685033
SRR835894,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,viral mimic,4051739,1660610
SRR2912594,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,g1r1,980,368
SRR2912603,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,R1g1,469149,124058
SRR2912607,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,R2r1,565187,162149
SRR2912606,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,R2g1,605259,170055
SRR2912605,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,R2d1,521997,134455
SRR2912604,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,R1r1,372951,100743
SRR2912601,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,M2r1,609135,170826
SRR2912600,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,g2r1,680006,199006
SRR2912599,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,M2g1,304686,91364
SRR2912598,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,g2g1,817256,228097
SRR2912597,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,M2d1,528451,148338
SRR2912596,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,g2d1,582016,173911
SRR2912595,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,M1r1,453974,130245
SRR2912593,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,M1g1,594818,175085
SRR2912592,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,g1g1,588019,154621
SRR2912591,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,M1d1,587123,165033
SRR2912590,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,g1d1,481860,142198
SRR2912602,PRJNA292574,(Strader et al. 2016),2016,https://doi.org/10.1111/mec.13488,Acropora millepora,larval,light,not done yet,R1d1,313262,86306
SRR629090,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,01_h_HV,19577661,763126
SRR629091,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,02_c_HV,18872907,1637079
SRR629092,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,02_h_HV,9457678,1074790
SRR629093,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,03_c_HV,13328694,734261
SRR629094,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,06_c_HV,9146242,993593
SRR629096,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,09_c_HV,10464369,1145901
SRR629126,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,09_h_HV,26399718,622661
SRR629130,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,31_h_MV,13561442,757801
SRR629131,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,40_c_MV,9235183,1299265
SRR629132,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,40_h_MV,10573276,963561
SRR629135,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,45_c_MV,5551198,299455
SRR629150,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,55_c_MV,17722284,1539927
SRR629151,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,55_h_MV,17905764,858555
SRR629155,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,65_h_MV,18368411,904566
SRR629089,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,01_c_HV,18753443,303262
SRR629095,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,06_h_HV,8011684,735115
SRR629127,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,75_c_HV,6256079,579219
SRR629128,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,75_h_HV,2440360,218116
SRR629129,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,31_c_MV,15613291,1973269
SRR629133,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,44_c_MV,16743882,1189820
SRR629134,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,44_h_MV,16198613,922340
SRR629136,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,45_h_MV,2083128,107096
SRR629152,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,61_c_MV,8838378,1125991
SRR629153,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,61_h_MV,15748515,2534487
SRR629154,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,65_c_MV,9584976,1231305
SRR629156,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,68_c_MV,18566614,126549
SRR629157,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,68_h_MV,6584461,903510
SRR629158,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,70_c_MV,16299011,1006237
SRR629159,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,70_h_MV,8193882,536474
SRR629160,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,control,71_c_MV,19108917,877861
SRR629161,PRJNA177515,(Barshis et al. 2013),2013,https://doi.org/10.1073/pnas.1210224110,Acropora hyacinthus,adult,temp,heat,71_h_MV,18492498,910248
SRR1566164,PRJNA260269,(Moya et al. 2015),2015,https://doi.org/10.1111/mec.13021,Acropora millepora,recruit,pH,control,380 ppm CO2,12269208,5249447
SRR1566165,PRJNA260269,(Moya et al. 2015),2015,https://doi.org/10.1111/mec.13021,Acropora millepora,recruit,pH,control,380 ppm CO2,12534784,5595785
SRR1566166,PRJNA260269,(Moya et al. 2015),2015,https://doi.org/10.1111/mec.13021,Acropora millepora,recruit,pH,control,380 ppm CO2,12898069,5537109
SRR1566168,PRJNA260269,(Moya et al. 2015),2015,https://doi.org/10.1111/mec.13021,Acropora millepora,recruit,pH,low_pH,750 ppm CO2,12631481,5628308
SRR1566167,PRJNA260269,(Moya et al. 2015),2015,https://doi.org/10.1111/mec.13021,Acropora millepora,recruit,pH,low_pH,750 ppm CO2,12501088,5431536
SRR1566169,PRJNA260269,(Moya et al. 2015),2015,https://doi.org/10.1111/mec.13021,Acropora millepora,recruit,pH,low_pH,750 ppm CO2,12467897,4817192
SRR3095777,PRJNA308355,(Zhou et al. 2017),2017,https://doi.org/10.1016/j.fsi.2017.06.027,Acropora aculeus,adult,temp,control,Aa_Control,30435303,11041872
SRR3095778,PRJNA308355,(Zhou et al. 2017),2017,https://doi.org/10.1016/j.fsi.2017.06.027,Acropora aculeus,adult,temp,control,Aa_Control,29084044,11301549
SRR3095779,PRJNA308355,(Zhou et al. 2017),2017,https://doi.org/10.1016/j.fsi.2017.06.027,Acropora aculeus,adult,temp,heat,Aa_Heat,30648486,11508072
SRR3095780,PRJNA308355,(Zhou et al. 2017),2017,https://doi.org/10.1016/j.fsi.2017.06.027,Acropora aculeus,adult,temp,heat,Aa_Heat,30151918,10359256
SRR3106399,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_48h_rep3,24533716,12439792
SRR3106398,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_48h_rep2,20055461,9624529
SRR3106397,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_48h_rep1,18805803,8063173
SRR3106396,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_48h_rep3,24849108,13153286
SRR3106395,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_48h_rep2,15729866,7726564
SRR3106394,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_48h_rep1,21477166,11024258
SRR3106393,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_12h_rep3,23520684,11690716
SRR3106392,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_12h_rep2,22705829,13279881
SRR3106391,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_12h_rep3,25197830,12980877
SRR3106390,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_12h_rep2,24035359,13411384
SRR3106389,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_4h_rep3,20333953,10839707
SRR3106388,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_4h_rep2,22040532,12830094
SRR3106387,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,infected,infected_4h_rep1,26154672,14050670
SRR3106386,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_4h_rep3,20912751,10446839
SRR3106385,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_4h_rep2,19542091,9803535
SRR3106384,PRJNA309168,(Mohamed et al. 2016),2016,https://doi.org/10.1111/mec.13659,Acropora digitifera,larval,zoox,control,control_4h_rep1,22430563,11025349
SRR3169421,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_FM,5957248,568629
SRR3169422,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_3Q,7695125,1076200
SRR3169423,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_NM,6374620,855048
SRR3169425,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_FM,13378891,1552968
SRR3169426,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_3Q,11417796,1266294
SRR3169518,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_NM,9614658,1222895
SRR3169527,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_1Q,8050468,1049829
SRR3169529,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_3Q,4827662,578988
SRR3169530,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_NM,8373673,1014176
SRR3169531,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_FM,7972791,953895
SRR3169532,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_3Q,8300636,918525
SRR3169533,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_NM,7551107,935971
SRR3169534,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_1Q,7708320,1111496
SRR3169535,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_FM,7805419,828532
SRR3169536,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_3Q,5247080,111278
SRR3169537,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_NM,8893168,998181
SRR3169538,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,field_day_FM,5443026,683818
SRR3169539,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_3Q,6395105,611870
SRR3169540,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_NM,5858257,746132
SRR3169541,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_1Q,4886830,655998
SRR3169528,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,field_night_FM,11530812,1357364
SRR3182557,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_3Q,9125561,674937
SRR3182684,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_NM,9995101,1111198
SRR3182685,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_FM,1232300,236348
SRR3182686,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_3Q,10457274,902920
SRR3182775,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_1Q,15985544,1246952
SRR3182776,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_FM,8287929,358072
SRR3182777,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_3Q,33920441,236797
SRR3182778,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_NM,9737226,602881
SRR3182779,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_1Q,5345938,695404
SRR3182780,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_FM,6206720,358450
SRR3182781,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_3Q,7255412,488086
SRR3182784,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_NM,11211400,626760
SRR3182785,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_1Q,11461998,756298
SRR3182786,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_FM,4030938,171484
SRR3182787,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_3Q,10121565,1017060
SRR3182788,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_NM,13592383,1434085
SRR3182790,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_FM,5309832,484259
SRR3182791,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_3Q,14688850,1356365
SRR3182793,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_1Q,13125154,1102087
SRR3182792,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_NM,9822337,1050818
SRR3182794,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_FM,9708428,599416
SRR3182410,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,night,tank_night_NM,8248214,697879
SRR3182448,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_1Q,6135657,842156
SRR3182789,PRJNA293100,(Oldach and Vize 2018),2018,https://doi.org/10.1016/j.margen.2017.12.007,Acropora gemmifera,adult,circadian.moon,day,tank_day_1Q,3363995,699835
SRR3316340,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Full_Moon_22:15,21260799,11287329
SRR3316339,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Full_Moon_11:45,20232871,10395737
SRR3316338,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,gamete,moon.spawn,not done yet,Bundles,15930577,10792163
SRR3316337,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Post_Spawning,22435750,11989983
SRR3316336,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Spawning,20842714,10473276
SRR3316334,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Super_Moon_11:45,17944465,9051636
SRR3316333,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Setting,19381094,9415556
SRR3316332,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Pre_Spawning,17124578,8459442
SRR3316343,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,New_Moon_21:00,19598949,9854776
SRR3316342,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,New_Moon_11:45,19948352,10188007
SRR3316341,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Full_Moon_00:15,19745912,10525492
SRR3316335,PRJNA316795,(Rosenberg et al. 2017),2017,https://doi.org/10.1111/mec.14062,Acropora digitifera,adult,moon.spawn,not done yet,Super_Moon_21:15,19746230,9628812
DRR024466,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,adult,development,adult,Adult 1,2179043,969208
DRR024468,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,adult,development,adult,Adult 3,2243159,936066
DRR024467,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,adult,development,adult,Adult 2,2382031,1041536
DRR024469,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,blastular,Blastula 1,4317125,2590733
DRR024471,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,blastular,Blastula 3,5981879,3460314
DRR024470,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,blastular,Blastula 2,4448367,2575535
DRR024472,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,gastrula,Gastrula 1,2578794,974784
DRR024473,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,gastrula,Gastrula 2,1966700,777523
DRR024474,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,gastrula,Gastrula 3,2850019,1271105
DRR024475,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,larval,development,planula,Planula 1,2486014,1518873
DRR024476,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,larval,development,planula,Planula 2,4492585,2578664
DRR024477,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,larval,development,planula,Planula 3,3716303,2342635
DRR024479,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,sphere,Sphere 2,2316467,1045877
DRR024480,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,sphere,Sphere 3,2099214,1033780
DRR024478,PRJDB3244,(Reyes-Bermudez et al. 2016),2016,https://doi.org/10.1093/gbe/evw042,Acropora digitifera,embryo,development,sphere,Sphere 1,1898377,906637
SRR3622488,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC221,247228,64836
SRR3622490,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC261,385341,104724
SRR3622491,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD91,522502,20120
SRR3622493,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD92,530609,115557
SRR3622496,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD93,1347483,17782
SRR3622499,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO221,262250,75681
SRR3622503,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO222,262612,75440
SRR3622506,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO223,367955,104131
SRR3622509,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO262,510419,121623
SRR3622512,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC262,699399,171086
