my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,bleached,stress
j1_thisStudy_PRJNA559404,s15_S53,adult,Acropora millepora,temp,control,Ht1.N1.C.tp1.3,none,388318,1829454,control,control
j1_thisStudy_PRJNA559404,s16_S54,adult,Acropora millepora,temp,control,Ht1.N10.C.tp1.1,none,521707,2160274,control,control
j1_thisStudy_PRJNA559404,s17_S55,adult,Acropora millepora,temp,control,Ht1.N10.C.tp1.2,none,489364,2060292,control,control
j1_thisStudy_PRJNA559404,s18_S56,adult,Acropora millepora,temp,control,Ht1.N10.C.tp1.3,none,466522,1975303,control,control
j1_thisStudy_PRJNA559404,s19_S57,adult,Acropora millepora,temp,heat,Ht1.N1.T.tp1.1,none,367073,1846821,bleached,stressed
j1_thisStudy_PRJNA559404,s20_S58,adult,Acropora millepora,temp,heat,Ht1.N1.T.tp1.2,none,317955,1968296,bleached,stressed
j1_thisStudy_PRJNA559404,s21_S59,adult,Acropora millepora,temp,heat,Ht1.N1.T.tp1.3,none,350812,1834892,bleached,stressed
j1_thisStudy_PRJNA559404,s22_S60,adult,Acropora millepora,temp,heat,Ht1.N10.T.tp1.1,none,436073,2017665,bleached,stressed
j1_thisStudy_PRJNA559404,s23_S61,adult,Acropora millepora,temp,heat,Ht1.N10.T.tp1.2,none,475976,1974437,bleached,stressed
j1_thisStudy_PRJNA559404,s24_S62,adult,Acropora millepora,temp,heat,Ht1.N10.T.tp1.3,none,490887,2302343,bleached,stressed
j1_thisStudy_PRJNA559404,s25_S63,adult,Acropora millepora,temp,control,Ht1.L1.C.tp2.1,none,475660,2194923,control,control
j1_thisStudy_PRJNA559404,s26_S64,adult,Acropora millepora,temp,control,Ht1.L1.C.tp2.2,none,442377,1759327,control,control
j1_thisStudy_PRJNA559404,s27_S65,adult,Acropora millepora,temp,control,Ht1.L1.C.tp2.3,none,405169,1780183,control,control
j1_thisStudy_PRJNA559404,s28_S66,adult,Acropora millepora,temp,control,Ht1.N2.C.tp2.1,none,357301,2041330,control,control
j1_thisStudy_PRJNA559404,s29_S67,adult,Acropora millepora,temp,control,Ht1.N2.C.tp2.2,none,399720,2093130,control,control
j1_thisStudy_PRJNA559404,s30_S68,adult,Acropora millepora,temp,control,Ht1.N2.C.tp2.3,none,546835,2477138,control,control
j1_thisStudy_PRJNA559404,s31_S69,adult,Acropora millepora,temp,heat,Ht1.L1.T.tp2.1,none,425492,2139418,bleached,stressed
j1_thisStudy_PRJNA559404,s32_S70,adult,Acropora millepora,temp,heat,Ht1.L1.T.tp2.2,none,500479,2431128,bleached,stressed
j1_thisStudy_PRJNA559404,s33_S71,adult,Acropora millepora,temp,heat,Ht1.L1.T.tp2.3,none,409994,1435315,bleached,stressed
j1_thisStudy_PRJNA559404,s34_S72,adult,Acropora millepora,temp,heat,Ht1.N2.T.tp2.1,none,425367,1519196,bleached,stressed
j1_thisStudy_PRJNA559404,s35_S73,adult,Acropora millepora,temp,heat,Ht1.N2.T.tp2.2,none,351030,1315989,bleached,stressed
j1_thisStudy_PRJNA559404,s42_S79,adult,Acropora millepora,salinity,control,Ls.N2.C.tp2.3,none,394603,1483523,control,control
j1_thisStudy_PRJNA559404,s43_S80,adult,Acropora millepora,salinity,low_salinity,Ls.L1.T.tp2.1,none,429751,1501388,bleached,stressed
j1_thisStudy_PRJNA559404,s44_S81,adult,Acropora millepora,salinity,low_salinity,Ls.L1.T.tp2.2,none,242080,1070334,bleached,stressed
j1_thisStudy_PRJNA559404,s45_S82,adult,Acropora millepora,salinity,low_salinity,Ls.L1.T.tp2.3,none,360246,1467744,bleached,stressed
j1_thisStudy_PRJNA559404,s46_S83,adult,Acropora millepora,salinity,control,Ls.L1.C.tp2.1,none,525094,2237676,control,control
j1_thisStudy_PRJNA559404,s47_S84,adult,Acropora millepora,salinity,control,Ls.L1.C.tp2.2,none,435909,2101138,control,control
j1_thisStudy_PRJNA559404,s48_S85,adult,Acropora millepora,salinity,control,Ls.L1.C.tp2.3,none,394880,1736242,control,control
j1_thisStudy_PRJNA559404,s49_S86,adult,Acropora millepora,salinity,low_salinity,Ls.N1.T.tp2.1,none,475277,1762063,bleached,stressed
j1_thisStudy_PRJNA559404,s50_S87,adult,Acropora millepora,salinity,low_salinity,Ls.N1.T.tp2.2,none,484705,1745297,bleached,stressed
j1_thisStudy_PRJNA559404,s51_S88,adult,Acropora millepora,salinity,low_salinity,Ls.N1.T.tp2.3,none,455886,1651105,bleached,stressed
j1_thisStudy_PRJNA559404,s52_S89,adult,Acropora millepora,salinity,low_salinity,Ls.N10.T.tp2.1,none,475158,1739839,bleached,stressed
j1_thisStudy_PRJNA559404,s53_S90,adult,Acropora millepora,salinity,low_salinity,Ls.N10.T.tp2.2,none,542146,2016336,bleached,stressed
