"Date Time, GMT+10:00","Temp, °C (LGR S/N: 9826668, SEN S/N: 9826668, LBL: temp)","Intensity, lum/ft² (LGR S/N: 9826668, SEN S/N: 9826668, LBL: light)"
12/12/18 10:33,31.268,0
12/12/18 10:38,33.848,480
12/12/18 10:43,35.649,480
12/12/18 10:48,37.055,480
12/12/18 10:53,36.946,864
12/12/18 10:58,37.604,896
12/12/18 11:03,38.379,896
12/12/18 11:08,38.826,864
12/12/18 11:13,38.714,768
12/12/18 11:18,38.379,672
12/12/18 11:23,36.295,864
12/12/18 11:28,30.154,480
12/12/18 11:33,28.754,2
12/12/18 11:38,28.655,1
12/12/18 11:43,28.754,1
12/12/18 11:48,28.853,2
12/12/18 11:53,28.953,2
12/12/18 11:58,29.053,1
12/12/18 12:03,29.252,2
12/12/18 12:08,29.352,1
12/12/18 12:13,29.452,2
12/12/18 12:18,29.552,2
12/12/18 12:23,29.853,1
12/12/18 12:28,30.356,1
12/12/18 12:33,30.76,2
12/12/18 12:38,31.064,2
12/12/18 12:43,31.268,2
12/12/18 12:48,31.472,2
12/12/18 12:53,31.676,2
12/12/18 12:58,31.88,1
12/12/18 13:03,32.188,2
12/12/18 13:08,32.6,2
12/12/18 13:13,33.014,2
12/12/18 13:18,33.326,2
12/12/18 13:23,33.639,2
12/12/18 13:28,33.848,2
12/12/18 13:33,34.058,2
12/12/18 13:38,34.268,2
12/12/18 13:43,34.479,3
12/12/18 13:48,34.585,2
12/12/18 13:53,34.691,2
12/12/18 13:58,34.796,2
12/12/18 14:03,34.796,2
12/12/18 14:08,34.903,2
12/12/18 14:13,34.903,2
12/12/18 14:18,35.009,2
12/12/18 14:23,35.009,2
12/12/18 14:28,35.115,2
12/12/18 14:33,35.115,2
12/12/18 14:38,35.115,2
12/12/18 14:43,35.115,2
12/12/18 14:48,35.222,2
12/12/18 14:53,35.222,2
12/12/18 14:58,35.222,2
12/12/18 15:03,35.222,2
12/12/18 15:08,35.222,2
12/12/18 15:13,35.222,2
12/12/18 15:18,35.222,2
12/12/18 15:23,35.222,2
12/12/18 15:28,35.222,2
12/12/18 15:33,35.222,2
12/12/18 15:38,35.328,2
12/12/18 15:43,35.222,2
12/12/18 15:48,35.222,2
