"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20446386, SEN S/N: 20446386, LBL: tmp)","Intensity, lum/ft² (LGR S/N: 20446386, SEN S/N: 20446386, LBL: light)"
12/13/18 0:32,27.961,3
12/13/18 0:37,27.862,4
12/13/18 0:42,27.764,6
12/13/18 0:47,27.665,2
12/13/18 0:52,27.468,0
12/13/18 0:57,27.567,0
12/13/18 1:02,27.665,0
12/13/18 1:07,27.764,0
12/13/18 1:12,27.862,0
12/13/18 1:17,27.862,0
12/13/18 1:22,27.961,0
12/13/18 1:27,27.961,0
12/13/18 1:32,28.06,0
12/13/18 1:37,28.06,0
12/13/18 1:42,28.06,0
12/13/18 1:47,28.06,0
12/13/18 1:52,28.06,0
12/13/18 1:57,28.159,0
12/13/18 2:02,28.159,0
12/13/18 2:07,28.159,0
12/13/18 2:12,28.159,0
12/13/18 2:17,28.159,0
12/13/18 2:22,28.159,0
12/13/18 2:27,28.159,0
12/13/18 2:32,28.159,0
12/13/18 2:37,28.159,0
12/13/18 2:42,28.159,0
12/13/18 2:47,28.159,0
12/13/18 2:52,28.159,0
12/13/18 2:57,28.159,0
12/13/18 3:02,28.159,0
12/13/18 3:07,28.159,0
12/13/18 3:12,28.159,0
12/13/18 3:17,28.159,0
12/13/18 3:22,28.159,0
12/13/18 3:27,28.159,0
12/13/18 3:32,28.06,0
12/13/18 3:37,28.06,0
12/13/18 3:42,28.06,0
12/13/18 3:47,28.06,0
12/13/18 3:52,28.06,0
12/13/18 3:57,27.961,0
12/13/18 4:02,27.961,0
12/13/18 4:07,28.06,0
12/13/18 4:12,28.06,0
12/13/18 4:17,28.06,0
12/13/18 4:22,28.06,0
12/13/18 4:27,28.06,0
12/13/18 4:32,28.06,0
12/13/18 4:37,28.06,0
12/13/18 4:42,28.06,0
12/13/18 4:47,28.06,0
12/13/18 4:52,28.06,0
12/13/18 4:57,28.06,0
12/13/18 5:02,28.06,0
12/13/18 5:07,28.06,0
12/13/18 5:12,28.06,0
12/13/18 5:17,28.06,0
12/13/18 5:22,28.06,0
12/13/18 5:27,28.06,0
12/13/18 5:32,28.06,0
12/13/18 5:37,28.06,1
12/13/18 5:42,28.06,2
12/13/18 5:47,28.06,3
12/13/18 5:52,28.06,6
12/13/18 5:57,28.06,10
12/13/18 6:02,28.06,16
12/13/18 6:07,28.06,22
12/13/18 6:12,28.06,27
12/13/18 6:17,28.06,29
12/13/18 6:22,28.06,31
12/13/18 6:27,28.06,33
12/13/18 6:32,28.06,33
12/13/18 6:37,28.06,32
12/13/18 6:42,28.159,24
12/13/18 6:47,28.159,19
12/13/18 6:52,28.06,14
12/13/18 6:57,28.06,16
12/13/18 7:02,28.159,18
12/13/18 7:07,28.159,22
12/13/18 7:12,28.159,32
12/13/18 7:17,28.159,31
12/13/18 7:22,28.159,39
12/13/18 7:27,28.258,43
12/13/18 7:32,28.258,63
12/13/18 7:37,28.258,51
12/13/18 7:42,28.258,38
12/13/18 7:47,28.258,58
12/13/18 7:52,28.258,73
12/13/18 7:57,28.258,77
12/13/18 8:02,28.258,59
12/13/18 8:07,28.258,66
12/13/18 8:12,28.258,63
12/13/18 8:17,28.357,107
12/13/18 8:22,28.456,152
12/13/18 8:27,28.357,105
12/13/18 8:32,28.357,63
12/13/18 8:37,28.258,57
