"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20494110, SEN S/N: 20494110, LBL: temp)","Intensity, lum/ft² (LGR S/N: 20494110, SEN S/N: 20494110, LBL: light)"
12/12/18 10:24,32.911,0
12/12/18 10:29,31.37,2
12/12/18 10:34,32.291,2176
12/12/18 10:39,36.079,1984
12/12/18 10:44,38.379,1984
12/12/18 10:49,39.729,2048
12/12/18 10:54,40.415,2048
12/12/18 10:59,40.876,2048
12/12/18 11:04,41.341,2048
12/12/18 11:09,41.575,2048
12/12/18 11:14,41.458,1792
12/12/18 11:19,41.108,1728
12/12/18 11:24,32.911,800
12/12/18 11:29,30.76,768
12/12/18 11:34,29.452,0
12/12/18 11:39,28.754,0
12/12/18 11:44,28.159,0
12/12/18 11:49,27.665,0
12/12/18 11:54,27.173,0
12/12/18 11:59,26.683,0
12/12/18 12:04,26.292,0
12/12/18 12:09,25.805,0
12/12/18 12:14,25.416,0
12/12/18 12:19,24.931,0
12/12/18 12:24,24.545,0
12/12/18 12:29,24.158,0
12/12/18 12:34,23.773,0
12/12/18 12:39,23.388,0
12/12/18 12:44,23.004,0
12/12/18 12:49,22.621,0
12/12/18 12:54,22.238,0
12/12/18 12:59,21.951,0
12/12/18 13:04,21.569,0
12/12/18 13:09,21.282,0
12/12/18 13:14,20.996,0
12/12/18 13:19,20.615,0
12/12/18 13:24,20.329,0
12/12/18 13:29,20.138,0
12/12/18 13:34,19.758,0
12/12/18 13:39,19.472,0
12/12/18 13:44,19.377,0
12/12/18 13:49,20.234,0
12/12/18 13:54,21.473,0
12/12/18 13:59,22.717,0
12/12/18 14:04,23.773,0
12/12/18 14:09,24.835,0
12/12/18 14:14,25.61,0
12/12/18 14:19,26.488,0
12/12/18 14:24,27.173,0
12/12/18 14:29,27.764,0
12/12/18 14:34,28.555,0
12/12/18 14:39,29.252,0
12/12/18 14:44,29.853,0
12/12/18 14:49,30.457,0
12/12/18 14:54,31.064,0
12/12/18 14:59,31.472,0
12/12/18 15:04,31.88,0
12/12/18 15:09,32.291,0
12/12/18 15:14,32.6,0
12/12/18 15:19,32.807,0
12/12/18 15:24,33.014,0
12/12/18 15:29,33.326,0
12/12/18 15:34,33.43,0
12/12/18 15:39,33.639,0
12/12/18 15:44,33.743,0
12/12/18 15:49,34.058,352
12/12/18 15:54,33.848,272
12/12/18 15:59,33.743,288
12/12/18 16:04,33.535,272
12/12/18 16:09,33.43,208
12/12/18 16:14,33.014,144
12/12/18 16:19,32.704,136
12/12/18 16:24,32.394,128
12/12/18 16:29,32.086,124
12/12/18 16:34,31.88,120
12/12/18 16:39,31.676,104
12/12/18 16:44,31.064,104
12/12/18 16:49,30.558,94
12/12/18 16:54,30.154,89
12/12/18 16:59,29.853,83
12/12/18 17:04,29.652,79
12/12/18 17:09,29.452,74
12/12/18 17:14,29.352,71
12/12/18 17:19,29.252,65
12/12/18 17:24,29.152,60
12/12/18 17:29,29.053,1
12/12/18 17:34,28.953,1
12/12/18 17:39,28.953,1
12/12/18 17:44,28.853,2
12/12/18 17:49,28.754,30
12/12/18 17:54,28.754,25
12/12/18 17:59,28.754,21
12/12/18 18:04,28.754,18
