"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20446383, SEN S/N: 20446383, LBL: tmp)","Intensity, lum/ft² (LGR S/N: 20446383, SEN S/N: 20446383, LBL: light)"
12/6/18 7:17,28.456,27
12/6/18 7:22,28.456,31
12/6/18 7:27,28.555,41
12/6/18 7:32,28.555,50
12/6/18 7:37,28.555,55
12/6/18 7:42,28.555,60
12/6/18 7:47,28.555,58
12/6/18 7:52,28.555,55
12/6/18 7:57,28.555,29
12/6/18 8:02,28.555,31
12/6/18 8:07,28.555,28
12/6/18 8:12,28.555,26
12/6/18 8:17,28.655,21
12/6/18 8:22,28.655,22
12/6/18 8:27,28.655,21
12/6/18 8:32,28.655,19
12/6/18 8:37,28.655,20
12/6/18 8:42,28.655,18
12/6/18 8:47,28.655,9
12/6/18 8:52,28.655,22
12/6/18 8:57,28.655,24
12/6/18 9:02,28.655,22
12/6/18 9:07,28.655,22
12/6/18 9:12,28.655,14
12/6/18 9:17,28.555,22
12/6/18 9:22,28.456,0
12/6/18 9:27,28.456,1
12/6/18 9:32,28.456,0
12/6/18 9:37,28.357,4
12/6/18 9:42,28.06,4
12/6/18 9:47,27.862,3
12/6/18 9:52,27.665,5
12/6/18 9:57,27.567,51
12/6/18 10:02,27.665,53
12/6/18 10:07,27.764,49
12/6/18 10:12,27.961,42
12/6/18 10:17,28.06,32
12/6/18 10:22,28.06,15
12/6/18 10:27,28.159,14
12/6/18 10:32,28.258,25
12/6/18 10:37,28.258,75
12/6/18 10:42,28.357,144
12/6/18 10:47,28.456,176
12/6/18 10:52,28.456,100
12/6/18 10:57,28.555,123
12/6/18 11:02,28.555,99
12/6/18 11:07,28.853,480
12/6/18 11:12,28.853,216
12/6/18 11:17,28.853,288
12/6/18 11:22,29.352,768
12/6/18 11:27,29.352,448
12/6/18 11:32,29.552,512
12/6/18 11:37,29.252,304
12/6/18 11:42,29.152,232
12/6/18 11:47,29.053,152
12/6/18 11:52,28.953,93
12/6/18 11:57,28.853,87
12/6/18 12:02,28.754,6
12/6/18 12:07,28.754,0
12/6/18 12:12,28.655,2
12/6/18 12:17,28.655,1
12/6/18 12:22,28.754,112
12/6/18 12:27,29.152,464
12/6/18 12:32,29.652,512
12/6/18 12:37,29.752,704
12/6/18 12:42,29.652,512
12/6/18 12:47,29.252,384
12/6/18 12:52,29.152,304
12/6/18 12:57,29.152,320
12/6/18 13:02,29.152,272
12/6/18 13:07,29.053,176
12/6/18 13:12,28.953,176
12/6/18 13:17,28.953,248
12/6/18 13:22,28.953,224
12/6/18 13:27,29.252,608
12/6/18 13:32,29.152,352
12/6/18 13:37,29.252,416
12/6/18 13:42,29.252,400
12/6/18 13:47,29.252,416
12/6/18 13:52,29.652,864
12/6/18 13:57,29.552,464
12/6/18 14:02,29.352,400
12/6/18 14:07,29.652,27
12/6/18 14:12,28.953,1
12/6/18 14:17,28.853,1
12/6/18 14:22,28.754,1
12/6/18 14:27,28.853,184
12/6/18 14:32,28.853,304
12/6/18 14:37,31.676,27
12/6/18 14:42,29.652,40
12/6/18 14:43,,
12/6/18 14:43,,
12/6/18 14:47,29.152,0
12/6/18 14:47,,
12/6/18 14:47,,
12/6/18 14:48,,
