"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20446386, SEN S/N: 20446386, LBL: tmp)","Intensity, lum/ft² (LGR S/N: 20446386, SEN S/N: 20446386, LBL: light)"
12/5/18 17:11,27.862,0
12/5/18 17:16,29.552,103
12/5/18 17:21,29.252,0
12/5/18 17:26,28.754,0
12/5/18 17:31,28.159,0
12/5/18 17:36,27.665,0
12/5/18 17:41,27.075,0
12/5/18 17:46,26.585,0
12/5/18 17:51,26.097,0
12/5/18 17:56,25.513,0
12/5/18 18:01,25.125,0
12/5/18 18:06,24.641,0
12/5/18 18:11,24.255,0
12/5/18 18:16,23.773,0
12/5/18 18:21,23.388,0
12/5/18 18:26,22.908,0
12/5/18 18:31,22.525,0
12/5/18 18:36,22.142,0
12/5/18 18:41,21.76,0
12/5/18 18:46,21.378,0
12/5/18 18:51,20.996,0
12/5/18 18:56,20.615,0
12/5/18 19:01,20.329,0
12/5/18 19:06,19.948,0
12/5/18 19:11,19.567,0
12/5/18 19:16,19.282,0
12/5/18 19:21,18.996,0
12/5/18 19:26,18.711,0
12/5/18 19:31,18.426,0
12/5/18 19:36,18.236,0
12/5/18 19:41,17.95,0
12/5/18 19:46,17.665,0
12/5/18 19:51,17.379,0
12/5/18 19:56,17.094,0
12/5/18 20:01,16.808,0
12/5/18 20:06,16.618,0
12/5/18 20:11,16.427,0
12/5/18 20:16,16.237,0
12/5/18 20:21,15.951,0
12/5/18 20:26,15.76,0
12/5/18 20:31,15.473,0
12/5/18 20:36,15.282,0
12/5/18 20:41,15.187,0
12/5/18 20:46,14.996,0
12/5/18 20:51,14.804,0
12/5/18 20:56,14.613,0
12/5/18 21:01,14.325,0
12/5/18 21:06,14.134,0
12/5/18 21:11,14.038,0
12/5/18 21:16,13.846,0
12/5/18 21:21,13.75,0
12/5/18 21:26,13.558,0
12/5/18 21:31,13.365,0
12/5/18 21:36,13.173,0
12/5/18 21:41,12.98,0
12/5/18 21:46,12.883,0
12/5/18 21:51,12.69,0
12/5/18 21:56,12.594,0
12/5/18 22:01,12.401,0
12/5/18 22:06,12.207,0
12/5/18 22:11,12.11,0
