gene,MMgreen4
Amillepora22266,-0.5263410836087733
Amillepora03521,0.06503340954727731
Amillepora28431,-0.27200704495495864
Amillepora05277,0.03599374874597627
Amillepora06614,0.24720512090218788
Amillepora28432,-0.20234387191701064
Amillepora28430,-0.2609519501196567
Amillepora05838,0.1826868854790687
Amillepora03522,0.06961551836701609
Amillepora28539,0.17409690069120914
Amillepora37412,0.19959739796844006
Amillepora08040,0.17518058690096797
Amillepora17884,0.0058211868315060575
Amillepora28246,0.09630047600032274
Amillepora17156,0.13752792357167593
Amillepora17883,-0.03373443239036998
Amillepora35865,0.22186994513923106
Amillepora18145,-0.24216230025471364
Amillepora15443,0.21894464224651328
Amillepora12613,0.3874600649226329
Amillepora30505,0.19824028884343003
Amillepora06896,0.37095882521234114
Amillepora15459,-0.3435244139531674
Amillepora06876,0.21546876655502928
Amillepora08895,-0.25420610490712614
Amillepora02835,-0.30937170748015236
Amillepora14539,0.09292202264880815
Amillepora36389,0.2551422974726575
Amillepora15460,-0.3528159213981358
Amillepora32673,0.2912792905361591
Amillepora06894,0.37830713270367106
Amillepora14023,-0.3931151490603464
Amillepora22682,0.006284745135489954
Amillepora12612,0.3704138167821594
Amillepora35233,-0.013431601861700327
Amillepora19312,-0.2398364014781516
Amillepora05278,0.008001895428721928
Amillepora31481,0.2524185728056922
Amillepora13360,0.41482718206502833
Amillepora12736,-0.4161882816308556
Amillepora21090,0.18375443730094346
Amillepora25295,-0.39726329617242373
Amillepora26951,0.22104048980332838
Amillepora26852,-0.03086033551459993
Amillepora33122,-0.3260228438085288
Amillepora21623,0.14384376458161496
Amillepora10225,0.10050200849153292
Amillepora04414,0.2283565801242797
Amillepora28043,0.16568126799100785
Amillepora04869,0.2639852624992291
Amillepora04293,0.527982026040032
Amillepora13318,0.21232382656375443
Amillepora01162,0.31790665536203155
Amillepora25300,0.1438464596767366
Amillepora04415,0.23739414265599543
Amillepora21603,0.26187454629088275
Amillepora07197,0.2156387251124153
Amillepora13332,0.339232967354716
Amillepora36407,0.2766853485871835
Amillepora30922,0.1315499052185517
Amillepora14129,0.23476804400903137
Amillepora09832,0.19850524358886257
Amillepora06637,0.1381177362587808
Amillepora19702,-0.2523541676294777
Amillepora16172,-0.28754083659104024
Amillepora05804,0.15623190219161315
Amillepora05036,-0.023561756183022864
Amillepora03261,0.4964337895000215
Amillepora13082,0.40374721761054583
Amillepora09936,0.23472599286023366
Amillepora26644,0.13168292332424247
Amillepora22657,0.15773756996631827
Amillepora32586,-0.2952302753022863
Amillepora32748,0.1539267125495259
Amillepora23389,0.190797328492055
Amillepora17064,0.3516943263915367
Amillepora00723,-0.4274536241927408
Amillepora37941,-0.31297798987178144
Amillepora36403,0.12347168914336948
Amillepora32119,-0.4627595153684425
Amillepora08078,0.06045871864050417
Amillepora27299,0.20556331597413025
Amillepora09831,0.19687552849346612
Amillepora29189,-5.58910846209959e-4
Amillepora15474,0.6469004003819565
Amillepora06695,-0.17654828398334674
Amillepora19313,0.3819309607706941
Amillepora24851,0.17533906280264538
Amillepora22339,0.3780124597300558
Amillepora19701,-0.24393299817758993
Amillepora03728,0.5688423520378658
Amillepora33123,-0.36764599130056297
Amillepora25829,0.09488053952324363
Amillepora19494,0.2325719548291545
Amillepora18761,0.1332978879965096
Amillepora14184,0.16940956113462174
Amillepora21890,0.34640385422751474
Amillepora10467,0.0556912737457815
Amillepora11267,-0.12082479442554217
Amillepora04585,0.33787930207457834
Amillepora26653,0.19973367929103186
Amillepora37317,0.08957053563512754
Amillepora20058,0.21368329303042377
Amillepora28542,0.38000120074812677
Amillepora19424,0.42781288209763335
Amillepora33913,0.5625571309064212
Amillepora08799,0.14115904920514138
Amillepora36060,0.19458557405577395
Amillepora03482,0.034395725249500124
Amillepora10092,0.01782906264779102
Amillepora25830,0.13324753872485395
Amillepora02982,0.11531926224984279
Amillepora32745,0.14848627644587659
Amillepora21014,-0.15829354266461543
Amillepora11328,-0.15197184756262908
Amillepora12222,0.06420276631837106
Amillepora19206,0.16626981247908798
Amillepora26915,0.32396460300693064
Amillepora34298,0.07810422772603615
Amillepora21799,0.26969491172403204
Amillepora08340,0.06696115625520839
Amillepora24489,0.536945111486339
Amillepora04871,0.4260449697769255
Amillepora12992,0.1660533591867656
Amillepora37836,0.3162698609395571
Amillepora32742,0.1282239430166742
Amillepora01492,0.2672498922482541
Amillepora27634,0.1050024846979503
Amillepora16645,-0.062351871830776034
Amillepora01490,0.3379208713548284
Amillepora13991,-0.27150892944201127
Amillepora32148,-0.49719836293752057
Amillepora03351,0.01745812203506191
Amillepora27311,-0.38357905918108487
Amillepora19776,0.24966802402148072
Amillepora02304,0.05848149748562861
Amillepora24114,0.09820373444909464
Amillepora16819,0.04797323489008113
Amillepora27564,-0.06821511456407535
Amillepora05952,0.25654338719095654
Amillepora08299,0.2138582634093557
Amillepora22194,-0.2413399683124436
Amillepora05976,0.4602763102486176
Amillepora01014,0.3452000624968692
Amillepora13178,-0.16972422645836974
Amillepora19990,0.07437063987738537
Amillepora24488,0.4359492126235143
Amillepora26871,-0.21975117841049954
Amillepora22361,0.5899395172792541
Amillepora25035,0.13862936078298818
Amillepora17874,0.03822316558010136
Amillepora34399,0.36028330009292564
Amillepora32751,0.1456874653155541
Amillepora24448,0.03171686406839658
Amillepora33941,0.1939200919742592
Amillepora06747,0.016810872411774216
Amillepora19983,0.33569319397527786
Amillepora04870,0.33999944257139036
Amillepora10727,0.36585262855156725
Amillepora17881,0.06423376748680157
Amillepora26526,0.16936691378921181
Amillepora08356,0.16350254434401207
Amillepora32142,-0.10267452848087831
Amillepora26652,0.18620981611285967
Amillepora08763,0.14261730682113755
Amillepora13846,0.22482743111873504
Amillepora19113,0.0649136940447536
Amillepora26643,0.19483768308819455
Amillepora24051,0.32006167506784233
Amillepora23014,0.23581509749848156
Amillepora33902,0.5767971151575775
Amillepora31029,-0.29803158340374314
Amillepora26607,-0.2756312959152628
Amillepora08173,0.21278793716220293
Amillepora25036,0.07842275127295227
Amillepora21383,-0.013353026710749068
Amillepora01078,0.5239849723458172
Amillepora06721,-0.3789084621261414
Amillepora01745,0.11679932543543972
Amillepora07144,0.5853918981230384
Amillepora05613,-0.03237014550473686
Amillepora05953,0.24477084255352105
Amillepora28060,0.09505954467699522
Amillepora12229,0.569506906173779
Amillepora35754,0.10299073402723699
Amillepora25026,0.46019811783937137
Amillepora14130,0.2146941940690475
Amillepora26562,-0.05099668527175619
Amillepora14158,0.0920625469713861
Amillepora04591,0.02864209284855196
Amillepora13086,0.2069021397562732
