gene,inMod
Amillepora22266,0
Amillepora03521,0
Amillepora28431,1
Amillepora05277,0
Amillepora06614,0
Amillepora28432,1
Amillepora28430,1
Amillepora05838,0
Amillepora03522,0
Amillepora28539,0
Amillepora37412,0
Amillepora08040,0
Amillepora17884,0
Amillepora28246,0
Amillepora17156,0
Amillepora17883,0
Amillepora35865,0
Amillepora18145,0
Amillepora15443,0
Amillepora12613,0
Amillepora30505,0
Amillepora06896,0
Amillepora15459,0
Amillepora06876,0
Amillepora08895,0
Amillepora02835,0
Amillepora14539,0
Amillepora36389,0
Amillepora15460,0
Amillepora32673,0
Amillepora06894,0
Amillepora14023,0
Amillepora22682,0
Amillepora12612,0
Amillepora35233,0
Amillepora19312,0
Amillepora05278,0
Amillepora31481,0
Amillepora13360,0
Amillepora12736,0
Amillepora21090,0
Amillepora25295,0
Amillepora26951,0
Amillepora26852,0
Amillepora33122,0
Amillepora21623,0
Amillepora10225,0
Amillepora04414,0
Amillepora28043,0
Amillepora04869,0
Amillepora04293,0
Amillepora13318,0
Amillepora01162,0
Amillepora25300,0
Amillepora04415,0
Amillepora21603,0
Amillepora07197,0
Amillepora13332,0
Amillepora36407,0
Amillepora30922,0
Amillepora14129,0
Amillepora09832,0
Amillepora06637,0
Amillepora19702,0
Amillepora16172,0
Amillepora05804,0
Amillepora05036,1
Amillepora03261,0
Amillepora13082,0
Amillepora09936,0
Amillepora26644,0
Amillepora22657,0
Amillepora32586,0
Amillepora32748,0
Amillepora23389,0
Amillepora17064,0
Amillepora00723,0
Amillepora37941,0
Amillepora36403,0
Amillepora32119,0
Amillepora08078,0
Amillepora27299,0
Amillepora09831,0
Amillepora29189,1
Amillepora15474,0
Amillepora06695,0
Amillepora19313,0
Amillepora24851,0
Amillepora22339,0
Amillepora19701,0
Amillepora03728,0
Amillepora33123,0
Amillepora25829,0
Amillepora19494,0
Amillepora18761,0
Amillepora14184,0
Amillepora21890,0
Amillepora10467,1
Amillepora11267,0
Amillepora04585,0
Amillepora26653,0
Amillepora37317,0
Amillepora20058,0
Amillepora28542,0
Amillepora19424,0
Amillepora33913,0
Amillepora08799,0
Amillepora36060,0
Amillepora03482,0
Amillepora10092,0
Amillepora25830,0
Amillepora02982,0
Amillepora32745,0
Amillepora21014,0
Amillepora11328,0
Amillepora12222,0
Amillepora19206,0
Amillepora26915,0
Amillepora34298,0
Amillepora21799,0
Amillepora08340,0
Amillepora24489,0
Amillepora04871,0
Amillepora12992,0
Amillepora37836,0
Amillepora32742,0
Amillepora01492,0
Amillepora27634,0
Amillepora16645,0
Amillepora01490,0
Amillepora13991,0
Amillepora32148,0
Amillepora03351,0
Amillepora27311,0
Amillepora19776,0
Amillepora02304,1
Amillepora24114,0
Amillepora16819,0
Amillepora27564,0
Amillepora05952,0
Amillepora08299,0
Amillepora22194,0
Amillepora05976,0
Amillepora01014,0
Amillepora13178,0
Amillepora19990,0
Amillepora24488,0
Amillepora26871,0
Amillepora22361,0
Amillepora25035,0
Amillepora17874,0
Amillepora34399,0
Amillepora32751,0
Amillepora24448,0
Amillepora33941,0
Amillepora06747,1
Amillepora19983,0
Amillepora04870,0
Amillepora10727,0
Amillepora17881,0
Amillepora26526,0
Amillepora08356,0
Amillepora32142,0
Amillepora26652,0
Amillepora08763,0
Amillepora13846,0
Amillepora19113,0
Amillepora26643,0
Amillepora24051,0
Amillepora23014,0
Amillepora33902,0
Amillepora31029,0
Amillepora26607,0
Amillepora08173,0
Amillepora25036,0
Amillepora21383,0
Amillepora01078,0
Amillepora06721,0
Amillepora01745,0
Amillepora07144,0
Amillepora05613,0
Amillepora05953,0
Amillepora28060,0
Amillepora12229,0
Amillepora35754,0
Amillepora25026,0
Amillepora14130,0
Amillepora26562,0
Amillepora14158,0
Amillepora04591,0
Amillepora13086,0
Amillepora21015,0
Amillepora25968,0
Amillepora24153,0
Amillepora28303,0
Amillepora06280,0
Amillepora19775,0
Amillepora19900,0
Amillepora16129,0
Amillepora15360,0
Amillepora07727,0
Amillepora05747,0
Amillepora09450,0
Amillepora36949,0
Amillepora04961,0
Amillepora36587,0
Amillepora27724,0
Amillepora24283,0
Amillepora29524,0
Amillepora32765,0
Amillepora08800,0
Amillepora02934,0
Amillepora04584,0
Amillepora09464,0
Amillepora08578,0
Amillepora16791,0
Amillepora29026,0
Amillepora19085,0
Amillepora13084,0
Amillepora14687,0
Amillepora16173,0
Amillepora24750,0
Amillepora33362,0
Amillepora29211,0
Amillepora26854,0
Amillepora27312,0
Amillepora34731,0
Amillepora14172,0
Amillepora05305,0
Amillepora07761,0
Amillepora20939,0
Amillepora26930,0
Amillepora00029,0
Amillepora00180,0
Amillepora33440,0
Amillepora03081,0
Amillepora23548,0
Amillepora06386,0
Amillepora08786,0
Amillepora03228,0
Amillepora11033,0
Amillepora21573,0
Amillepora12508,0
Amillepora10706,0
Amillepora15098,0
Amillepora21745,0
Amillepora08722,0
Amillepora04217,0
Amillepora16513,0
Amillepora37400,0
Amillepora08771,0
Amillepora01102,0
Amillepora15760,0
Amillepora16208,1
Amillepora17857,0
Amillepora20298,0
Amillepora08798,0
Amillepora01735,0
Amillepora24113,0
Amillepora20332,0
Amillepora09062,0
Amillepora30872,0
Amillepora20964,0
Amillepora17856,0
Amillepora23205,0
Amillepora25941,0
Amillepora32572,0
Amillepora21929,0
Amillepora15383,0
Amillepora26855,0
Amillepora13533,0
Amillepora19923,0
Amillepora12320,0
Amillepora32594,0
Amillepora01105,0
Amillepora26175,0
Amillepora35516,0
Amillepora32126,0
Amillepora37779,0
Amillepora03660,0
Amillepora29292,0
Amillepora11526,0
Amillepora09525,0
Amillepora26258,0
Amillepora24807,0
Amillepora29046,0
Amillepora35366,0
Amillepora10020,0
Amillepora30937,0
Amillepora11366,0
Amillepora04070,0
Amillepora06740,0
Amillepora30936,0
Amillepora18727,0
Amillepora05398,0
Amillepora33314,0
Amillepora07821,0
Amillepora15595,0
Amillepora21108,0
Amillepora17880,0
Amillepora16455,0
Amillepora22686,0
Amillepora26761,0
Amillepora19316,0
Amillepora19050,0
Amillepora26557,0
Amillepora15334,1
Amillepora20315,0
Amillepora30897,0
Amillepora09401,0
Amillepora17882,0
Amillepora27575,0
Amillepora12183,0
Amillepora09681,0
Amillepora24284,0
Amillepora13085,0
Amillepora02570,0
Amillepora08341,0
Amillepora14146,0
Amillepora27314,0
Amillepora24631,0
Amillepora36863,0
Amillepora30896,0
Amillepora12206,0
Amillepora04927,0
Amillepora08383,0
Amillepora19921,0
Amillepora04630,0
Amillepora24282,0
Amillepora05799,0
Amillepora06959,0
Amillepora29212,0
Amillepora13448,0
Amillepora04929,0
Amillepora34779,0
Amillepora14070,0
Amillepora24682,0
Amillepora22180,0
Amillepora29480,0
Amillepora22683,0
Amillepora00394,0
Amillepora19122,0
Amillepora25298,0
Amillepora10725,0
